SNP,Chr,Pos,Effect,SE,ERG11_HYR1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0472414514445659,0.0716597815824611,0.510167391636229
2,1,1035,0.0315927743139142,0.0724688098448423,0.66313951634924
3,1,1074,-0.132619483062124,0.12229661767649,0.278923814078334
4,1,1470,-0.289769712726056,0.121080702310653,0.0172241960028008
5,1,1475,-0.0529747532083883,0.0900483220372188,0.55671216788273
6,1,1491,-0.0465187044438026,0.0787689615563389,0.555185456853943
7,1,21249,0.367542822467427,0.452009587715507,0.416691273056781
8,1,27243,-0.0501873813568244,0.0616633366531838,0.416254700951178
9,1,27272,-0.118444981352382,0.0604665081467825,0.0509169783639488
10,1,27498,0.2714594667693,0.554972090340314,0.625045829529037
11,1,27561,0.232994158973136,0.419223718352838,0.578716591899942
12,1,27816,0.0235936770924394,0.0620220390352546,0.703871408534464
13,1,27822,0.0211926000070267,0.0619456379293511,0.732467115882132
14,1,27823,0.0130122557678551,0.0632282719383189,0.837067288839952
15,1,27825,0.01759860558973,0.0619488256779997,0.776513366505308
16,1,27843,0.0156005727623983,0.0593500329902745,0.79281413211519
17,1,27848,0.0156005727623983,0.0593500329902745,0.79281413211519
18,1,28495,0.0557448096981562,0.0592826019484641,0.347694774158096
19,1,28975,0.0197196650088655,0.0589506932544477,0.738192529772072
20,1,29283,-0.24900393749559,0.1314660622424,0.0590349996101298
21,1,29752,-0.0254134588746193,0.137750669441058,0.853735935147165
22,1,29787,0.171160114586047,0.372644749845226,0.646293022419733
23,1,30057,0.196654948448741,0.120406807250153,0.103307075054444
24,1,30479,0.106464249970719,0.354091319447235,0.763843985537921
25,1,30706,0.0489983485341994,0.0608351634601421,0.4211148853536
26,1,31435,0.0627345670886782,0.0587089472940311,0.285994053144546
27,1,35128,-0.0217666637582851,0.0810410133861309,0.788403454687575
28,1,35129,-0.0236150601682301,0.0812471251101526,0.771484211088164
29,1,36146,0.0455628185562178,0.0584503200104058,0.436199533666997
30,1,37255,0.0748507843070765,0.118012360065522,0.526320499290389
31,1,37409,0.0598822737524266,0.0587304911186459,0.30861110854687
32,1,37478,0.0640663748988722,0.0587686286235675,0.276392507697596
33,1,39144,0.0270493271488676,0.0585811559048564,0.644551414084508
34,1,41499,0.0431887623386897,0.0583910744312849,0.460006018767046
35,1,45359,-0.196139112618554,0.0978237150686195,0.0457233302831041
36,1,45634,-0.0328657579189989,0.0903472785129964,0.716246476229289
37,1,51248,0.107169304566776,0.0584071682575459,0.0673669330667738
38,1,51462,0.0950141207864938,0.0585466106048832,0.105507747889897
39,1,52124,0.101190667475994,0.0584373700946043,0.0842168772342735
40,1,52667,0.0257860525012302,0.0585749087420456,0.660044656201808
41,1,55470,0.0267027317301865,0.0601687076640423,0.65746078531932
42,1,59265,0.0193649585769267,0.0585523566061849,0.741045461527197
43,1,60165,0.0619010747438021,0.0584243521070713,0.290092858183172
44,1,62308,0.0461794668870188,0.0584011196830508,0.42963298565966
45,1,62869,0.0235121719541572,0.0584320777015417,0.687644503207552
46,1,65431,0.0284862145161933,0.0610216441154712,0.640915587605467
47,1,65451,0.036728888525592,0.0601432113316124,0.541797479696013
48,1,65719,0.0328467580963963,0.0627269874659673,0.6008531194593
49,1,66841,0.0141318006955874,0.0584681838752193,0.80915243490405
50,1,66948,0.0328606745970109,0.0588058741172009,0.57665307906446
51,1,68621,0.0118477207982601,0.0586691119058085,0.84007888582445
52,1,69417,0.0317747758145931,0.0584927307928779,0.587317018867166
53,1,69820,-0.0941805508625493,0.228924610410238,0.681025821871921
54,1,69821,0.190075729712141,0.141712246585509,0.180692035220133
55,1,70906,-0.0838715122772737,0.0938949500603432,0.372332725783186
56,1,74327,-0.0460220547916787,0.0587878880794288,0.434240496375895
57,1,74572,-0.060495591932459,0.0585938474458262,0.302565198659095
58,1,75211,-0.0523508028782662,0.0585089680040605,0.371531288418076
59,1,76030,0.00398832947261895,0.0585748925153872,0.945753016506851
60,1,80108,-0.00904949897189329,0.0585594467097411,0.877276032475469
61,1,81262,-0.0318422657167105,0.0585147500426047,0.586664584272636
62,1,81999,-0.0329092529923478,0.0586561027127431,0.575116551975318
63,1,82431,0.00280373236393256,0.0589598470774629,0.962099182591374
64,1,83284,-0.0438993061644066,0.0584843378468176,0.453383560796713
65,1,83613,-0.00745673763012901,0.0585231973258087,0.89868443486243
66,1,84112,-0.0203422986200584,0.0585209779091578,0.728342555928668
67,1,84701,-0.0139497151310587,0.062672131637849,0.823989244586879
68,1,84858,-0.00100555538496904,0.0586961608587124,0.986341359182779
69,1,85751,-0.0436981629143251,0.058891532722395,0.458574104236555
70,1,87445,-0.0198826636508869,0.0590525501804566,0.7365473514159
71,1,87467,-0.0423629561867618,0.0593283939402553,0.475673161903418
72,1,89070,-0.0103069340453982,0.0589970876291722,0.861413621034023
73,1,89616,-0.00263073641692826,0.058682082633099,0.964267908067993
74,1,89679,0.00722189907139675,0.0586884219999768,0.902133639058329
75,1,89880,0.0200613669656681,0.0586948400025342,0.732711579351595
76,1,91472,0.0251328285253777,0.0591251720883529,0.671038582466861
77,1,93789,0.00555991276507004,0.0585302447289526,0.924374974840848
78,1,94351,0.0092416672197387,0.0586829745373059,0.874952952074463
79,1,99148,0.0259504873066254,0.0585146938107613,0.657685441471047
80,1,101281,-0.0905442690721113,0.640119496725003,0.887595926841433
81,1,106011,-0.014233686505752,0.0609955706898718,0.815620183903364
82,1,106800,0.0390490419479724,0.0585730821341156,0.505417074504928
83,1,107970,0.0242346735780269,0.0584220662729365,0.678525262628422
84,1,109000,0.0211866922904832,0.0585284263582273,0.717576263441906
85,1,112549,-0.0178643709063917,0.0584652905820423,0.760123472364302
86,1,112742,0.0166473347552634,0.0586941451365413,0.776861336779538
87,1,113050,0.0157655038603946,0.0585960731882937,0.788045367427473
88,1,113135,0.00221034598151556,0.0584527000119186,0.969857144924971
89,1,114076,0.051697192300563,0.0583880199617265,0.376539597201231
90,1,114628,0.0175274870094435,0.0585932676679932,0.765010605529452
91,1,116283,-0.0174625947008131,0.0589192943934622,0.767112970179862
92,1,126880,-0.0416588632519564,1.10562983281969,0.969965036242523
93,1,127853,-0.010551521642231,0.0588142288127219,0.857723239086557
94,1,128302,-0.0137047535287717,0.0585864446171374,0.815179875898711
95,1,128704,-0.0128653399088381,0.0586453108075098,0.826484406133835
96,1,128911,-0.0139944996737115,0.0586510698933135,0.811549534816538
97,1,130267,-0.0515018744405668,0.0585638785186983,0.379775281539838
98,1,130271,-0.044596783853879,0.0586495662521887,0.447526629744027
99,1,130613,-0.0496000320866759,0.0591872593785693,0.40258723454209
100,1,132012,-0.0313750883210133,0.059096760156336,0.595814688214591
101,1,133231,-0.0829871391034156,0.0585344191178276,0.157146028468315
102,1,137074,-0.0571440642908041,0.0585383885498605,0.329643251135526
103,1,137304,-0.0562606477883014,0.0585612137009288,0.337352975801
104,1,139686,-0.0985117846878032,0.0584802005796415,0.0929627303134451
105,1,149562,-0.077985368955489,0.0587021663479536,0.184873754542415
106,1,150447,-0.0814809651084541,0.0593432399958767,0.170609767253495
107,1,151446,-0.287811923557283,0.11855051315935,0.0156918434145997
108,1,154084,-0.0692507717426229,0.0595714059166527,0.245824457213211
109,1,156633,-0.0845244614485452,0.0603361141669778,0.162124423775017
110,1,157269,-0.0887865408756959,0.0584112345181617,0.129399836013754
111,1,160054,-0.118195132160542,0.0588234138681574,0.0452638634392465
112,1,166222,-0.117107392608769,0.0583895551413773,0.0456593294223619
113,1,166416,-0.115000067994153,0.0582815517153487,0.0492546297043023
114,1,167326,-0.105393597409931,0.0586675202407457,0.0732769418851076
115,1,168836,-0.105577722196861,0.0583860075418353,0.0714152190871313
116,1,171200,-0.0696795364254613,0.0586264538833197,0.235422041145734
117,1,171431,-0.083482018985757,0.0589431435567799,0.157565294297905
118,1,173339,-0.10880591900674,0.0583640902446517,0.0631148570743472
119,1,173845,-0.136984740785279,0.0581467606648782,0.0190268900020988
120,1,175121,-0.111160735930101,0.0581858608755229,0.0568862511950175
121,1,175281,-0.129622949817581,0.0581276057533357,0.0263776078413197
122,1,175315,-0.125485962258062,0.0581347694956896,0.0315598196741289
123,1,175523,-0.125310881444565,0.0584695569960115,0.0327816130399673
124,1,175541,-0.127912226430542,0.0582117937090622,0.028643979155032
125,1,175653,-0.131106814813693,0.0583784372155959,0.0253343554136854
126,1,175805,-0.176758214035632,0.0614028655841193,0.00423695873054377
