SNP,Chr,Pos,Effect,SE,ERG11_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.154435651526463,0.070438598265035,0.0289966969782873
2,1,1035,0.0990175687258347,0.0714984286381995,0.166960258544688
3,1,1074,0.11749142017206,0.120993613288761,0.332185916931587
4,1,1470,-0.403337884820024,0.118794684750626,0.000763678336823987
5,1,1475,-0.174237495300418,0.0886193331649521,0.0500664094339667
6,1,1491,-0.144130800340802,0.077564126187982,0.0639708167451574
7,1,21249,-0.00307043541082219,0.447464993788629,0.994528958978829
8,1,27243,-0.071031822517307,0.0609262855352102,0.244456159404611
9,1,27272,-0.132670275600624,0.0597106547553889,0.026924523935016
10,1,27498,0.199533542292936,0.548961796049307,0.716468131627815
11,1,27561,0.0168223651194468,0.414801066930256,0.967673379521799
12,1,27816,0.0104828581462063,0.0613510760682898,0.864426448106076
13,1,27822,0.00275703369857122,0.0612754592331291,0.964137459092071
14,1,27823,0.010765248848373,0.0625351561383597,0.8634204960536
15,1,27825,0.00371279438643568,0.0612753162939984,0.951718428845951
16,1,27843,0.0266376544517899,0.0586869948266389,0.650184301375579
17,1,27848,0.0266376544517899,0.0586869948266389,0.650184301375579
18,1,28495,0.0601642763656247,0.0586176666133677,0.305413087055265
19,1,28975,0.0383351939722996,0.058276951050959,0.511088592047339
20,1,29283,-0.0359286605420941,0.130667603498302,0.783506088370268
21,1,29752,-0.2209961226294,0.135736050424407,0.104389170081435
22,1,29787,0.0940477769459762,0.368629265490444,0.798772544915921
23,1,30057,0.153102802793511,0.11925576228428,0.200047364631176
24,1,30479,-0.284207043612471,0.349921453066892,0.417222876554158
25,1,30706,0.0424805381453293,0.0601799981879969,0.480721315458267
26,1,31435,0.0459890557643975,0.058106627654381,0.429207243727514
27,1,35128,-0.115712926353779,0.0799224332223615,0.148556241091789
28,1,35129,-0.0921167495255848,0.0802149553256261,0.251591891658051
29,1,36146,0.0340255629160569,0.0578299231668887,0.556658239569144
30,1,37255,0.0413155032896535,0.116762374787785,0.723668085582391
31,1,37409,0.0589133625659013,0.0580865313448753,0.311165541302463
32,1,37478,0.0505991474820646,0.0581587895975529,0.384882217267741
33,1,39144,0.0151066527017432,0.0579498550030356,0.794487508652022
34,1,41499,0.0432685045852706,0.0577487760832193,0.454203088685791
35,1,45359,-0.0842786517974341,0.0971955172320073,0.386473887309976
36,1,45634,-0.090470318534237,0.0892422042313172,0.31139086887702
37,1,51248,0.0386142266778974,0.0580042788634442,0.506029058587629
38,1,51462,0.0277411639669168,0.0581006235368203,0.633324696509556
39,1,52124,0.0163786556990496,0.0580341311976008,0.77793674180413
40,1,52667,-0.0140522285423472,0.0579428333181513,0.808519006699066
41,1,55470,-0.0357707149109292,0.0594942027805437,0.548061332558258
