SNP,Chr,Pos,Effect,SE,HNM1_TPO1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.187889152540689,0.178449834850196,0.293108744192117
2,1,1035,0.228283542826112,0.180276122892198,0.206240896442716
3,1,1074,0.251016927513081,0.305052695805932,0.411140767717304
4,1,1470,0.215835882395062,0.304028574995235,0.478222604983901
5,1,1475,0.346939284408446,0.223804875058958,0.121992818019043
6,1,1491,0.150204549865042,0.196274538814429,0.444617472213174
7,1,21249,0.280130055657088,1.12763980482269,0.803952700020051
8,1,27243,-0.0246120415829525,0.153841232098907,0.872985664029943
9,1,27272,0.133799767703008,0.15136895082669,0.377334871171986
10,1,27498,-0.973722696330611,1.3828269745537,0.481801327133212
11,1,27561,1.21360470620595,1.04342095529379,0.245573870044266
12,1,27816,0.0577711180807516,0.15459787608117,0.708862001092571
13,1,27822,0.0424390267279968,0.154415404301064,0.783602450791968
14,1,27823,0.0632738944897408,0.157576905946399,0.688263408226125
15,1,27825,0.0657728743619487,0.154392241096894,0.670359083865926
16,1,27843,0.0866922845560714,0.147879005676255,0.558090285663596
17,1,27848,0.0866922845560714,0.147879005676255,0.558090285663596
18,1,28495,0.0774356341462885,0.147895953569811,0.600897957514545
19,1,28975,0.0814609647184812,0.14690041637241,0.579566047359522
20,1,29283,-0.575824015766726,0.327925495613684,0.079962470885994
21,1,29752,0.290496243645745,0.343026996132854,0.397646264621215
22,1,29787,1.17541528885228,0.927027032706236,0.20565479078261
23,1,30057,0.312597432821686,0.300799300581698,0.29941250361866
24,1,30479,1.60395448436692,0.878586805433486,0.0687541819483652
25,1,30706,0.0844805697152969,0.151710999974474,0.577981435776927
26,1,31435,0.0618579278831808,0.146538026788544,0.673187952069878
27,1,35128,0.232778292539578,0.201644031424718,0.249116266651536
28,1,35129,0.130486408263787,0.202422536800946,0.519589610929466
29,1,36146,-0.105844366973514,0.145710343035706,0.468073400507465
30,1,37255,0.147776430469381,0.294221267059195,0.615795751770316
31,1,37409,0.0217462117791502,0.146603060484955,0.882163915644657
32,1,37478,0.0160887943455282,0.146731160474408,0.912750760900909
33,1,39144,0.0200413909197419,0.146060181089072,0.890940471722818
34,1,41499,-0.0574610714283541,0.145626815864122,0.693392973349468
35,1,45359,0.0118487476655265,0.245220109232983,0.96148947730482
36,1,45634,-0.206763648885255,0.224973753896144,0.358693450890226
37,1,51248,-0.158607265060005,0.146035125536317,0.278180352897077
38,1,51462,-0.146350948762479,0.146270010410787,0.317728156014045
39,1,52124,-0.106560962672507,0.146168923785717,0.466469091041693
40,1,52667,-0.134147889592218,0.145869849638385,0.358388403343513
41,1,55470,-0.153914679824674,0.149795130226623,0.304888053318472
