SNP,Chr,Pos,Effect,SE,ALO1_UIP4_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.188444868709789,0.0583509040653596,0.00135642665554893
2,1,1035,0.13760612655294,0.0594045728761153,0.0211072572909037
3,1,1074,0.0843127522471683,0.101050066424254,0.40463897688024
4,1,1470,-0.116297671322306,0.100595144533325,0.248423618722376
5,1,1475,-0.0232091206812264,0.0743800275775465,0.755198673153532
6,1,1491,-0.0867326334613296,0.0649085316949967,0.182335289443193
7,1,21249,-0.0462422266157794,0.373570325334691,0.901556333864612
8,1,27243,0.00634727894637011,0.0509626954752484,0.900952645338009
9,1,27272,-0.0342661653868785,0.0501653122854755,0.49501386686906
10,1,27498,0.144661377968591,0.458336883045677,0.752475664571537
11,1,27561,0.110798671456251,0.346258625841527,0.749166592455348
12,1,27816,-0.0355022883147326,0.0511878793607903,0.48840911892281
13,1,27822,-0.0294588725173651,0.051133608826657,0.564904133605241
14,1,27823,-0.0415072334805791,0.0521646199136963,0.426742878468456
15,1,27825,-0.0312461335415669,0.0511306033448075,0.541523810565224
16,1,27843,-0.00469355680087967,0.0490101043361403,0.923759870093599
17,1,27848,-0.00469355680087967,0.0490101043361403,0.923759870093599
18,1,28495,-0.00322971984507969,0.0490112331179986,0.947496700962464
19,1,28975,-0.0286227860769058,0.0486600786716344,0.556761400405526
20,1,29283,-0.119735510043996,0.108916826342757,0.272373425114201
21,1,29752,-0.223328738502082,0.113124879933966,0.0491406276950614
22,1,29787,-0.310988810433668,0.307343217330198,0.312297271126502
23,1,30057,0.011135868446436,0.0997943461205548,0.911213374284702
24,1,30479,0.0715552535061788,0.292389552275536,0.806810979324354
25,1,30706,-0.0392570708662728,0.0502349333840834,0.435050178340621
26,1,31435,-0.0140048892925873,0.0485492117049091,0.77315790656562
27,1,35128,-0.158103796403739,0.0663920872124617,0.0177781606723091
28,1,35129,-0.158666492633884,0.0665610404335309,0.0176640893547377
29,1,36146,-0.0053215446348967,0.0483037336085311,0.912338434802887
30,1,37255,-0.0617111784036766,0.0974442129763844,0.526949447938004
31,1,37409,0.000762515528787422,0.0485657230165798,0.987482043774703
32,1,37478,-0.00794035495442108,0.0486056517275131,0.870326282803517
33,1,39144,-0.0276269127506808,0.0483633324339605,0.56820267175226
34,1,41499,-0.0228744754093321,0.0482361072523984,0.635636989261701
35,1,45359,-0.0445850559428882,0.0811980441952657,0.583290657941446
36,1,45634,-0.104133264063106,0.0744085433771657,0.162547242817196
37,1,51248,-0.0277747585198147,0.0484342952537047,0.566703624754386
38,1,51462,-0.0346381214953436,0.0484875218729265,0.475469378433272
39,1,52124,-0.0403542560408322,0.0484092254966201,0.405066332219442
40,1,52667,-0.0480267056869358,0.0483116135090239,0.320853802758178
41,1,55470,-0.0237824102557699,0.0496796681005189,0.632437655750247
42,1,59265,0.0206616318566052,0.0483422787085484,0.669346461322174
43,1,60165,0.00467814705080674,0.0483176036645415,0.922923684115801
44,1,62308,-0.0254792045422272,0.0482460502230562,0.597755059695452
45,1,62869,-0.0192611253077146,0.0482481537290178,0.689980187723761
46,1,65431,0.0143083196343016,0.0503960086881788,0.776639895857087
47,1,65451,0.0217758747275562,0.0496735876553418,0.661379472244975
48,1,65719,0.00115589144315764,0.0518144080768061,0.982214631299207
49,1,66841,0.00962170812287072,0.0482790717948632,0.842147860197962
50,1,66948,0.00389850846790035,0.0485776556931822,0.936081420171415
51,1,68621,0.0718027874605131,0.0482955289365265,0.137976694440125
52,1,69417,0.0163447049136451,0.0483104132062503,0.735318103306464
53,1,69820,-0.305397437335541,0.1883707508979,0.105855326117146
54,1,69821,0.127969018020536,0.117113190123391,0.275272808348399
55,1,70906,-0.0465325357707744,0.0775780938425713,0.549014084103885
56,1,74327,-0.0204837596658564,0.0485716610767808,0.673484318371503
57,1,74572,0.00666831528363676,0.0484532496364857,0.890616292649891
58,1,75211,0.0025227698029292,0.0483660347875718,0.958430751001916
59,1,76030,-0.00379336676051112,0.0483657997619549,0.93752983957641
60,1,80108,-0.0438037790250758,0.0482985471386499,0.36505835290507
61,1,81262,-0.0982642832214586,0.0480527207532171,0.0416032809440151
62,1,81999,-0.106352426425692,0.0481227735260809,0.0277446979199129
63,1,82431,-0.100150434627186,0.0483912203720529,0.0392169863316674
