SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0288762331745337,0.0648286546271759,0.656286466634032
2,1,1035,0.000991498803598556,0.0655562686121499,0.987941484320837
3,1,1074,-0.0254187429284771,0.110777253919513,0.81864574240757
4,1,1470,-0.40030856636265,0.108310827573309,0.000253878003013644
5,1,1475,-0.145648609333017,0.0811073287491041,0.0733891347531873
6,1,1491,-0.123391516276008,0.070968271731989,0.0829619268988011
7,1,21249,-0.470899788429866,0.408398412925065,0.249674047385364
8,1,27243,-0.0349721881811076,0.0557877544902401,0.531143573482857
9,1,27272,-0.0707904537813926,0.0548512722633989,0.197690859453344
10,1,27498,0.78969883389587,0.500307966538474,0.115363555058226
11,1,27561,0.0348716518175229,0.379294838370787,0.926799361034361
12,1,27816,-0.0489672135620376,0.0560418244235926,0.382841930205795
13,1,27822,-0.0600706788642421,0.055939795971226,0.283625582831267
14,1,27823,-0.0558739601895665,0.0571078311400746,0.328549523026733
15,1,27825,-0.0617030396596556,0.0559347625452737,0.270724307502842
16,1,27843,-0.0247117800467644,0.0536635521014529,0.64544473623441
17,1,27848,-0.0247117800467644,0.0536635521014529,0.64544473623441
18,1,28495,-0.0047806110439777,0.0536799342877911,0.929086565308129
19,1,28975,0.0169704449792805,0.0533140628286964,0.750437386154961
20,1,29283,0.0803562558755084,0.119420074529362,0.50145922029507
21,1,29752,-0.171592245191192,0.124248431418271,0.168139833864036
22,1,29787,-0.273997359381526,0.336793998852729,0.416453571555498
23,1,30057,0.152274921587286,0.109002119980742,0.163293997167519
24,1,30479,-0.27636395051829,0.319932760971612,0.388273966981821
25,1,30706,-0.00776522893694792,0.0550665027200815,0.887938154387378
26,1,31435,-0.00703144331128103,0.0531791222639466,0.894884131096745
27,1,35128,-0.167743881499179,0.0727528113961109,0.0217082709960508
28,1,35129,-0.0558934477951993,0.0734260497556364,0.447033318226692
29,1,36146,-0.023763597474611,0.0528910975707479,0.653496063163326
30,1,37255,0.0535669393678084,0.106749620509822,0.616121171977838
31,1,37409,0.0377284139558744,0.0531543574326613,0.478303161503148
