SNP,Chr,Pos,Effect,SE,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.16478036069584,0.0918818611868508,0.0737658410171716
2,1,1035,0.118060917929126,0.0930974143951866,0.205582307903352
3,1,1074,0.141603203705156,0.157505827924663,0.369247020978814
4,1,1470,-0.0499512488659946,0.157095699793305,0.75069798239544
5,1,1475,-0.0198952214271739,0.115965004602747,0.86387996341883
6,1,1491,-0.0170284761918925,0.101439912855822,0.866783559654795
7,1,21249,0.534825045951802,0.581689508710187,0.358496512502065
8,1,27243,0.120039213883549,0.0791921176133645,0.130465493640563
9,1,27272,0.0243360791616382,0.0782455559991694,0.755967575819244
10,1,27498,-0.49272009311957,0.714138223701297,0.490678590906608
11,1,27561,-0.317774854273917,0.539608998147338,0.556306104568263
12,1,27816,0.0226807647639528,0.0798439560982008,0.776528158094416
13,1,27822,0.0103502138878241,0.0797496883978824,0.896811437871532
14,1,27823,-0.0009131159310522,0.0813942875181624,0.991055514865359
15,1,27825,0.0127796865631576,0.0797486903421248,0.872776209695022
16,1,27843,0.0356092284618224,0.0763811941066896,0.641356941061305
17,1,27848,0.0356092284618224,0.0763811941066896,0.641356941061305
18,1,28495,0.0833599666748543,0.0762770132670306,0.27520127147571
19,1,28975,0.0613112239676115,0.0758250242171507,0.419296631331778
20,1,29283,-0.114174146092103,0.169976387144421,0.502210276350494
21,1,29752,-0.373333100340213,0.176208711732993,0.0348140100669877
22,1,29787,-1.09417512603908,0.476276071752611,0.0221830960789464
23,1,30057,0.240391106308237,0.155048920310021,0.121936542971252
24,1,30479,-0.134888691193611,0.455799301034435,0.767450845670907
25,1,30706,0.034638184910175,0.0783591721817618,0.658728213409212
26,1,31435,0.027069235545596,0.0756804168281,0.720797908169983
27,1,35128,-0.146881273327663,0.104035885014209,0.158880067538126
28,1,35129,-0.114252591939379,0.104419447430265,0.274626620965535
29,1,36146,-0.0494754095636303,0.0752577623731792,0.511344003175815
30,1,37255,-0.106343143548775,0.151890333164961,0.484306602517521
31,1,37409,0.00565478192450392,0.075710377662554,0.940503946778513
32,1,37478,0.00546154189280769,0.0757755025181889,0.942582803461499
33,1,39144,-0.0785814086424759,0.0753142304318588,0.297486048077748
34,1,41499,-0.0301414275077211,0.0752039384734819,0.688812899296365
35,1,45359,0.0286750957750828,0.126627562667811,0.820980768392531
36,1,45634,-0.16283988795774,0.115996307640963,0.161246568836293
37,1,51248,0.0335992231912357,0.0755200530166234,0.656661331650531
38,1,51462,0.0217746876116515,0.0756347792465413,0.773597957348783
39,1,52124,-0.043010078738598,0.0755065297219605,0.569297320188802
40,1,52667,-0.0311978030313035,0.0754018771442149,0.679305780944766
41,1,55470,-0.0785330841114882,0.07735981477484,0.310721804909704
42,1,59265,-0.0216175043845184,0.0753733293565488,0.774429325120572
43,1,60165,-0.0275593736849348,0.0753108634120375,0.714627897968205
44,1,62308,-0.0685612034008302,0.0751537644384891,0.362244449854599
45,1,62869,-0.0805599330012995,0.0751105688658441,0.284205199841998
46,1,65431,-0.143653175255074,0.0782003291255078,0.0670519926856755
47,1,65451,-0.0881912300570982,0.0773167628042381,0.25478960593988
48,1,65719,-0.0892179505430945,0.0806358050693549,0.269293471471862
49,1,66841,-0.0659877437004787,0.0751863248103907,0.380727260454706
50,1,66948,-0.0534017758470608,0.0756768857399571,0.480868092522129
51,1,68621,0.0201364168190692,0.0755174827881127,0.789897609723483
52,1,69417,0.0180381881269494,0.0753190282353741,0.810864294135291
53,1,69820,-0.589224008614054,0.293076433342268,0.0451406772656046
54,1,69821,-0.0328376096554726,0.182872350911663,0.857596527341931
55,1,70906,-0.112850978947403,0.120851879961382,0.351047520929884
56,1,74327,-0.0874042428293452,0.0755962745667386,0.24838217084694
57,1,74572,-0.0753853899212947,0.0754309986198907,0.318287777008062
58,1,75211,-0.0934464318293606,0.075235719634462,0.215043123947613
59,1,76030,-0.0494146581265223,0.0753540537459782,0.512401591171681
60,1,80108,-0.132197356073893,0.075053015526374,0.0790387113124914
61,1,81262,-0.100407054412585,0.0751638692365073,0.182461502296417
62,1,81999,-0.0699096884738505,0.0754459366422611,0.354757122353344
63,1,82431,-0.0772889938229343,0.0757836450893083,0.308491520325143
64,1,83284,-0.0385556429131164,0.0753149824842763,0.609023416560019
65,1,83613,-0.0293614877181862,0.0753184211687311,0.696896299999354
66,1,84112,-0.0286438023353392,0.0753275080629271,0.703983446982226
67,1,84701,-0.0823804717919686,0.0805599644734381,0.307198153689522
68,1,84858,-0.0451667198984369,0.0755173212535816,0.550158418878187
69,1,85751,-0.0384103315861475,0.0758385782566182,0.612839532139772
70,1,87445,-0.013430946718543,0.076023143127698,0.859869563260087
71,1,87467,0.00171731694718273,0.0764244515729964,0.982085117585472
72,1,89070,-0.0332238869880915,0.0759255995021049,0.661954908961104
73,1,89616,-0.021441437780947,0.075529015715862,0.776666131797055
74,1,89679,-0.0386075804192393,0.0755192510347279,0.609510789062667
75,1,89880,-0.0336751387665446,0.0755450850961297,0.656042341852331
76,1,91472,-0.0405739563843304,0.0760966204452986,0.594237591270721
77,1,93789,-0.0449228162258534,0.0753049856188615,0.551193536541512
78,1,94351,-0.0291096121143798,0.0755253332763584,0.700152157850711
79,1,99148,-0.0309962376122701,0.0753248698802312,0.680955146690345
80,1,101281,0.924946132578369,0.822533366694017,0.261561240388802
81,1,106011,-0.0553614834730828,0.0784661658040868,0.480935884651948
82,1,106800,-0.0550515305907384,0.075387642474745,0.465724122209249
83,1,107970,-0.0290323151579773,0.0752051745795095,0.699698525828229
84,1,109000,-0.0145627145510203,0.0753496262316194,0.846859792939561
85,1,112549,0.0578464092671903,0.0752053153644359,0.442300925744456
86,1,112742,0.0320982280557377,0.075542241673028,0.671165272067811
87,1,113050,0.0183697021729593,0.0754281047931312,0.807729170295021
88,1,113135,0.0253935195036517,0.075230165822802,0.735907190237313
89,1,114076,0.0744675611502398,0.0751378411155666,0.322325694957059
90,1,114628,0.0767216332137158,0.0753220465751938,0.309099338271546
