SNP,Chr,Pos,Effect,SE,ERG11_TPO4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0910728432922073,0.0694967866724726,0.190891854547081
2,1,1035,0.0661608347883946,0.0703396754828662,0.347557917328515
3,1,1074,-0.0374306678163236,0.119001290244742,0.753296753233253
4,1,1470,-0.221742129168463,0.118000622107555,0.0610462320407264
5,1,1475,0.021589926295583,0.0875239456489039,0.805303522667403
6,1,1491,0.0197352080459638,0.0765604700181846,0.796732451592961
7,1,21249,-0.0122446694033251,0.439571384912562,0.977792799312826
8,1,27243,0.0415756565303349,0.0599258405435901,0.488273254769486
9,1,27272,-0.026373388833566,0.0590494373684604,0.655414409274068
10,1,27498,0.229994097496717,0.539240243653242,0.669992542147709
11,1,27561,-0.295636746322157,0.407181121310687,0.468284878808898
12,1,27816,0.0947996990976541,0.0600597793517647,0.115364265979013
13,1,27822,0.0930466463565123,0.0599906821882713,0.121793348523307
14,1,27823,0.0919722937288163,0.0612392942270001,0.1340295752008
15,1,27825,0.0874106232140129,0.060014691060047,0.146146882788232
16,1,27843,0.0922327821856843,0.0574592717076381,0.109347223581049
17,1,27848,0.0922327821856843,0.0574592717076381,0.109347223581049
18,1,28495,0.120889769619643,0.0573094585972663,0.0356118947206472
19,1,28975,0.109153189334292,0.0569886773005665,0.056255787518423
20,1,29283,-0.0676758365118069,0.128325866355912,0.598264584179444
21,1,29752,-0.222405429057516,0.133316923445153,0.0961536170669042
22,1,29787,-0.132666871625337,0.36209129219082,0.714293079176671
23,1,30057,0.219389352870838,0.116843277427141,0.0612550495942423
24,1,30479,-0.0623930871437377,0.344053954484256,0.856199446293167
25,1,30706,0.0702122700839195,0.059042002331145,0.235163468317429
26,1,31435,0.10702796676651,0.0568475644758107,0.0605606807579295
27,1,35128,-0.0343896691136978,0.0787241136076946,0.662496067593671
28,1,35129,-0.0155862412007672,0.0789426837377667,0.843598872005354
