SNP,Chr,Pos,Effect,SE,PMC1_CTR2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0561843758225388,0.10004904707382,0.57476651118819
2,1,1035,0.0958411047263935,0.101060084740273,0.343596186424331
3,1,1074,-0.201044251743683,0.170666732597281,0.239592843423723
4,1,1470,-0.387656511016648,0.169132171726541,0.0224917787200119
5,1,1475,-0.268789363133226,0.124946566599051,0.032135822428247
6,1,1491,-0.0446855199288809,0.10998469201198,0.684776795107976
7,1,21249,-0.664507216018255,0.630574098382822,0.292689281823521
8,1,27243,-0.175091495014342,0.0856530604061743,0.0416759496860053
9,1,27272,-0.278485479740312,0.0835601928283237,0.000950988489437382
10,1,27498,0.55107981967936,0.774410423141812,0.477175008321734
11,1,27561,0.291779091666383,0.585257693924891,0.618408295117903
12,1,27816,-0.00772108369263036,0.0865953056345654,0.929003058859802
13,1,27822,-0.0136902468634958,0.0864831505393881,0.874311253018324
14,1,27823,-0.00991174030037639,0.0882660734313946,0.910654217973612
15,1,27825,-0.0160414009757808,0.0864820056415142,0.852952582174403
16,1,27843,-0.00954174680209909,0.0828551494833706,0.908382367980166
17,1,27848,-0.00954174680209909,0.0828551494833706,0.908382367980166
18,1,28495,0.00564176473673256,0.0828575033932425,0.945752567380836
19,1,28975,0.00787795044144762,0.0823031208114551,0.923798277301573
20,1,29283,-0.098301802230413,0.184373597556093,0.594253921946832
21,1,29752,-0.486115344316662,0.19055127561031,0.01115955718419
22,1,29787,0.0206009288546989,0.520340919191674,0.968441413416737
23,1,30057,0.203832764237632,0.168364385768488,0.226834023196434
24,1,30479,0.241102507522243,0.494184034812126,0.625937722298364
25,1,30706,0.0323922856302968,0.0849822477082386,0.703309884480047
26,1,31435,-0.0336148056198604,0.0820666258343685,0.682345013685208
27,1,35128,0.0882683030905822,0.113041702292748,0.435415658012033
28,1,35129,0.0679040208166897,0.113371422728621,0.549589179808203
29,1,36146,-0.0386095714194805,0.0816369953123398,0.63654678887562
30,1,37255,0.00278878910127212,0.164830981815781,0.986510727229112
31,1,37409,-0.0010033169110254,0.0821043775453163,0.990256982826459
32,1,37478,-0.0096357690892887,0.0821733747233618,0.906719560845693
33,1,39144,-0.0810179418546562,0.0816862515662003,0.32196539308592
34,1,41499,-0.072765294770801,0.0814811045337556,0.37244802753903
35,1,45359,0.0788162626426985,0.137266524966597,0.566208883263587
36,1,45634,-0.00458710455888323,0.126142039488159,0.971012197139344
37,1,51248,-0.0350708840616419,0.0818990384380801,0.668751418694697
38,1,51462,-0.0430888309222537,0.0819993274814328,0.599580954071507
39,1,52124,0.0138029060422563,0.0819170135275905,0.866287509379183
40,1,52667,-0.0346963592369859,0.081768168589473,0.671586567538222
41,1,55470,-0.00119743933834335,0.0840148162659728,0.988636414544416
42,1,59265,-0.0487814544780276,0.0817065168401007,0.550868345521572
43,1,60165,-0.0476071492474189,0.081646675172289,0.560206762566147
44,1,62308,-0.0440039542371674,0.0815625277554378,0.589873825522939
45,1,62869,-0.053417807116462,0.081536344994214,0.512803630257983
46,1,65431,-0.0394836459563285,0.0851824238257561,0.643278281979917
47,1,65451,-0.0213086493669444,0.0839925020338465,0.799877316183107
48,1,65719,-0.0493136600973229,0.0875572669675311,0.573645321468837
49,1,66841,0.0170363908272467,0.0816193136098592,0.834779490782461
50,1,66948,-0.0050959796745457,0.0821248407150439,0.950556840329965
51,1,68621,-0.0309596294696992,0.0818862313071745,0.705597660218443
52,1,69417,-0.0419789628800164,0.0816554218424556,0.607504518076496
53,1,69820,0.0776399751172265,0.319613031220876,0.808209484043732
54,1,69821,0.219757317279929,0.197978866275214,0.267752900653812
55,1,70906,-0.106247824674682,0.131097083502422,0.418226777497896
56,1,74327,-0.0821130766513678,0.0820187292952139,0.317439913952757
57,1,74572,-0.0543988171166915,0.0818652336814493,0.506809107034711
58,1,75211,-0.1014445141263,0.0815886289463584,0.214558187486513
59,1,76030,0.0204083852543502,0.0817598766209172,0.803031291975279
60,1,80108,0.0374597427807447,0.0817234415211575,0.646967214854322
61,1,81262,-0.00852426888403784,0.0817155946364263,0.916977582413711
62,1,81999,0.0116589368242781,0.0819140678035206,0.88689951490757
63,1,82431,-0.0287321062306732,0.0822899804690795,0.727179777720037
64,1,83284,0.0111986190265279,0.0817030998595334,0.891057716460509
65,1,83613,0.00761636656522621,0.0816952648020373,0.925774538285763
66,1,84112,0.0219992823057483,0.0816968835249044,0.787872061280249
