SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.179692048755759,0.0888149652933946,0.0438038985899228
2,1,1035,0.0642799294478473,0.090240847246008,0.476740129151557
3,1,1074,-0.0244254058099003,0.15260470283823,0.872927953455565
4,1,1470,-0.245824521428956,0.151496726257794,0.105559265377944
5,1,1475,-0.0422682284398945,0.112214300825011,0.706642075405886
6,1,1491,-0.0247730476450152,0.0981696961857416,0.800918004331539
7,1,21249,-0.47498177678273,0.563071771904478,0.399489601496295
8,1,27243,-0.00796949183403184,0.0768908342158297,0.917508475614605
9,1,27272,-0.0470117858107504,0.0756959162553589,0.534960263548346
10,1,27498,-0.0400276058804998,0.691613188019726,0.953880376508132
11,1,27561,0.358335153149181,0.522147622359142,0.492992281931512
12,1,27816,-0.114917965411567,0.0770402444477278,0.136681005655289
13,1,27822,-0.118830080314231,0.0769248755376476,0.123301540699801
14,1,27823,-0.139597999582223,0.0784230886064695,0.0759258350785282
15,1,27825,-0.124990335244766,0.076897214062287,0.104965337768293
16,1,27843,-0.0750444222702838,0.0738373361516537,0.310159824558582
17,1,27848,-0.0750444222702838,0.0738373361516537,0.310159824558582
18,1,28495,-0.0241959244207672,0.0739352725742572,0.743666583295718
19,1,28975,-0.0500980042550369,0.0734037831283941,0.495371128514515
20,1,29283,-0.0715101167415311,0.164566054360845,0.664163693502577
21,1,29752,-0.422305761605717,0.170139255705764,0.0135248225946086
22,1,29787,-0.0886090090486027,0.464354223415188,0.848774738010933
23,1,30057,0.107333164207907,0.15045964236196,0.47608912324726
24,1,30479,0.162192485357084,0.441097689050151,0.71331584381323
25,1,30706,-0.0696530116960679,0.0757671882902654,0.358564797965127
26,1,31435,-0.0459021734019195,0.073216837542339,0.531107318953779
27,1,35128,-0.144811369592804,0.100676310531687,0.151210614842177
28,1,35129,-0.136786596779058,0.100967340180136,0.176360176312598
29,1,36146,-0.0805050476952716,0.0727537713313631,0.269245830659246
30,1,37255,-0.0081812949280291,0.147102472696482,0.955678945447454
31,1,37409,-0.0201899375463873,0.0732660115775034,0.783039355644504
32,1,37478,-0.0422731171864295,0.0733023583758495,0.564512938557945
33,1,39144,-0.127866704244581,0.0726843039409817,0.0794087278569688
34,1,41499,-0.0686715359977058,0.0727079235391093,0.345567911856953
35,1,45359,-0.0440974716771976,0.122537934396536,0.7191611083031
36,1,45634,0.0904496469555172,0.112472421797254,0.421826185856504
37,1,51248,-0.0460124591119816,0.073068574369231,0.529287695060402
38,1,51462,-0.0483211767329907,0.0731635509344668,0.509393124923089
39,1,52124,-0.0867727376357775,0.0729635805811419,0.235136330775988
40,1,52667,-0.129729517380774,0.07266511763555,0.075070052813604
41,1,55470,-0.143618891698703,0.0745881926632446,0.0549710085620927
42,1,59265,-0.128171447585987,0.0726359648837189,0.0785003463179155
43,1,60165,-0.124129760577407,0.0726004893380869,0.0881881408273148
44,1,62308,-0.159345929459944,0.072324737762286,0.0282260583171664
45,1,62869,-0.184862173241825,0.0721432950397821,0.0108084895539895
46,1,65431,-0.139980111421452,0.0756781482792544,0.0651958162059647
47,1,65451,-0.124184438672441,0.0746738090987236,0.0971949124870755
48,1,65719,-0.134432687222647,0.0778472660257336,0.0850644874941906
49,1,66841,-0.1208983484574,0.0725607142961334,0.0965669925500232
50,1,66948,-0.133174451085505,0.0729489832277423,0.0687577967412447
51,1,68621,-0.0812045053970716,0.0729660920357369,0.266505473051107
52,1,69417,-0.123649986481051,0.0726028086104703,0.0894291863140466
53,1,69820,-0.335385826667601,0.284702735961684,0.23958174322419
54,1,69821,-0.0438101761256817,0.176978538549189,0.804630285864569
55,1,70906,0.0111714130564744,0.1171046011709,0.924053728320895
56,1,74327,-0.162264811610725,0.0727907229300574,0.0264296696884052
57,1,74572,-0.179306603248208,0.0724805331240322,0.0138359487981774
58,1,75211,-0.173710340788789,0.0723847832985323,0.0169207125192469
59,1,76030,-0.101069464782546,0.0727743186762995,0.165767118848001
60,1,80108,-0.229861010240157,0.0719224868845164,0.00151941248476225
61,1,81262,-0.190509221449547,0.0722196831952491,0.00871096009560071
62,1,81999,-0.17832803627268,0.0724873719826255,0.0143673276317761
63,1,82431,-0.140981600500785,0.0730679129677683,0.0544749873417215
64,1,83284,-0.150609180139679,0.0724757367439864,0.0384257000146796
65,1,83613,-0.101730216163524,0.0727083313209883,0.162644604523697
66,1,84112,-0.106500336983414,0.0726970380287867,0.143814068143462
67,1,84701,-0.0633277239203828,0.078009407985816,0.417455770771236
68,1,84858,-0.0416725982607407,0.0730898468605452,0.568934747892246
69,1,85751,-0.105534457102699,0.073208879665901,0.150315123751056
70,1,87445,-0.123690931322732,0.0732841509397397,0.0923278026779336
71,1,87467,-0.14124209053827,0.0735814296768226,0.0557225419992697
72,1,89070,-0.135515807001677,0.0731467790431121,0.0647661979991144
73,1,89616,-0.133766034799,0.072758622975105,0.0668301301069792
74,1,89679,-0.128732571627185,0.0727936389555191,0.0778478037066564
75,1,89880,-0.124331057514313,0.0728339115517714,0.0886922977367604
76,1,91472,-0.123012755316336,0.0733852820652096,0.0945727994030735
77,1,93789,-0.123545373378249,0.0726205983168647,0.0897777253802075
78,1,94351,-0.0953912155516739,0.0729330965139962,0.19174893185187
79,1,99148,-0.106383320207884,0.0726975233945628,0.144256208939607
80,1,101281,-0.0818085162518898,0.797469244614083,0.918350465111515
81,1,106011,-0.130160342580334,0.0756774892362718,0.0863207665162002
82,1,106800,-0.106406584476341,0.0727960820891451,0.144710973536266
83,1,107970,-0.108904896098765,0.0725686073891854,0.134322825225767
84,1,109000,-0.0983803400765137,0.0727398064741719,0.177082243313195
85,1,112549,0.0148485561862737,0.0728411898147872,0.838589475976524
86,1,112742,0.0320599155122619,0.0731093722796439,0.661277690151652
87,1,113050,0.0192224236593307,0.0729990894178418,0.79245437791573
88,1,113135,0.00176403350174223,0.0728202472550767,0.980687229797387
89,1,114076,0.015951578997718,0.0728153582432892,0.82672300037142
90,1,114628,0.0437115644490733,0.0729674495968051,0.549520010109173
