SNP,Chr,Pos,Effect,SE,FMP45_MID2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0572573850436218,0.0600371734056353,0.340888681916405
2,1,1035,0.0291976802602735,0.0607522442521804,0.631096753888926
3,1,1074,0.0118789050843562,0.102698653550486,0.907981768405323
4,1,1470,-0.152488222848538,0.102008396291604,0.135844495064791
5,1,1475,-0.0497031294514558,0.0754845781539649,0.510675603445029
6,1,1491,-0.0742053969522425,0.0659520912770117,0.261293752065621
7,1,21249,0.0297472887330565,0.37930325093631,0.937533519589196
8,1,27243,-0.0270024003860827,0.051725286998942,0.601973508239438
9,1,27272,-0.0495458117121371,0.0508998876928645,0.331022431581525
10,1,27498,0.193898955344916,0.465315844373772,0.677148227556074
11,1,27561,-0.110580305540344,0.351569573551598,0.753301919790006
12,1,27816,0.015862153799537,0.052001296105603,0.760520168921627
13,1,27822,0.00966549268126965,0.0519395010131427,0.85248000315351
14,1,27823,0.0121304721335216,0.0530080111282781,0.81912405190336
15,1,27825,0.0115073557078567,0.051938437510458,0.824786400716893
16,1,27843,0.027130940100458,0.0497412721065789,0.585794575324226
17,1,27848,0.027130940100458,0.0497412721065789,0.585794575324226
18,1,28495,0.0445756028002781,0.0497064455224818,0.370449030400201
19,1,28975,0.0441730195822132,0.0493744518541525,0.371582008919959
20,1,29283,-0.159685089920297,0.110449474190446,0.149127534082241
21,1,29752,-0.323335081247816,0.11420238301232,0.00490238939592906
22,1,29787,0.114120238892677,0.312448939187298,0.715147688170185
23,1,30057,0.114938702565328,0.101141449146978,0.256553630234131
24,1,30479,-0.363388782070825,0.29626732282013,0.220806609769096
25,1,30706,0.0317929125172328,0.0510212389328766,0.533600857410923
26,1,31435,0.0316931248636563,0.0492705646473565,0.520481708671095
27,1,35128,-0.0847334153286692,0.0677995649652496,0.212213935160623
28,1,35129,-0.00812141021394552,0.0681220297784042,0.905170020334578
29,1,36146,0.042690748435174,0.0489925613722761,0.384143274799786
30,1,37255,0.146096097091566,0.098688658639852,0.139665477536647
31,1,37409,0.0539351005955512,0.0492267730540027,0.27398081380909
32,1,37478,0.0516241465584872,0.0492762467582003,0.295517732431635
33,1,39144,0.00523097563657244,0.0491267951283113,0.915262742911535
34,1,41499,0.0212940427729821,0.0489782036084701,0.66399816600373
35,1,45359,-0.117114789237556,0.0822423783278238,0.155324031706511
36,1,45634,-0.161620179731303,0.0752687937724462,0.0324547593305611
37,1,51248,0.0306418101542927,0.0491728065051966,0.533591339767977
38,1,51462,0.0314880322404116,0.0492380461077884,0.522908515774418
39,1,52124,-0.0164761772649388,0.0491920289286165,0.737872364800314
40,1,52667,-0.0372183835100076,0.0490810359674834,0.448774522765589
41,1,55470,-0.0257057325764047,0.0504392303182024,0.610623775299667
42,1,59265,-0.0480829354268957,0.049029469130556,0.327415011346038
43,1,60165,-0.0363130304627734,0.0490210282676737,0.459328780411536
44,1,62308,-0.084852500434858,0.04879661139488,0.0829238926996196
45,1,62869,-0.086066957197017,0.0487844037633219,0.0785579509402366
46,1,65431,-0.0274862039999844,0.0511536635760841,0.591380845970446
47,1,65451,-0.0178392166282262,0.0504400297087289,0.723795985089317
48,1,65719,-0.0305490202281166,0.0525837892076945,0.561638880936601
49,1,66841,-0.0309768938834971,0.0489943648346071,0.527630057683585
50,1,66948,-0.0318161112071191,0.0492938743324071,0.51906305556685
51,1,68621,-0.0479737192101609,0.0491230187124392,0.329434196720992
52,1,69417,-0.0393354357225014,0.049014421410062,0.422787681375442
53,1,69820,-0.216764264702057,0.191622808067751,0.258737644094312
54,1,69821,0.026422162934538,0.119101526454455,0.824562277441324
