SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0163633777516831,0.0929571385643831,0.860370192527457
2,1,1035,-0.0864037706601539,0.0938656181009648,0.357937545712118
3,1,1074,0.137944257047513,0.158646752894519,0.385161418514332
4,1,1470,-0.172874029398063,0.15797690448434,0.274569822251438
5,1,1475,0.0384595444762175,0.116783330183163,0.742106175048154
6,1,1491,-0.0244840816295473,0.102162939107622,0.81073513161689
7,1,21249,0.112778159188724,0.586530220705873,0.847633277994129
8,1,27243,-0.00399201857102938,0.0800187459602885,0.960239423759866
9,1,27272,-0.0149294580605208,0.0788133181603505,0.849866163625053
10,1,27498,0.131554341160941,0.71970888695215,0.855069087425103
11,1,27561,-0.0778129744297837,0.543728778575742,0.886285035270918
12,1,27816,0.073584420200987,0.0803301588504493,0.360279217968999
13,1,27822,0.0721078507577961,0.0802316173437352,0.369400557779202
14,1,27823,0.0699652606358693,0.081893224270755,0.39349196685818
15,1,27825,0.0614253688303541,0.0802567966115115,0.444568407862521
16,1,27843,0.123674865929758,0.0766704238380687,0.107622583726998
17,1,27848,0.123674865929758,0.0766704238380687,0.107622583726998
18,1,28495,0.161810116607772,0.0764702830009053,0.0350455989627561
19,1,28975,0.118502765942002,0.0761786709550758,0.120701720896033
20,1,29283,-0.0457097327878486,0.171287104310678,0.789732528780945
21,1,29752,-0.383131818197343,0.177428858493897,0.0314957555343175
22,1,29787,0.0653761875131753,0.483250855014822,0.892464313743452
23,1,30057,0.359294820747758,0.155519990779676,0.0214487253623896
24,1,30479,-0.331793318918157,0.458784283462272,0.470035230609266
25,1,30706,0.0885446019826832,0.0788020003288815,0.261931909894061
26,1,31435,0.120173670749192,0.0759680166264002,0.114568332774872
27,1,35128,-0.124718120539692,0.104867288683959,0.235123036888802
28,1,35129,-0.106420315253571,0.105193873066433,0.312394104230464
29,1,36146,0.0352003605351348,0.0758205551516648,0.642748516639995
30,1,37255,0.101597605562354,0.15298993287986,0.507072411194792
31,1,37409,0.118188431363998,0.07599386422264,0.120785817508928
32,1,37478,0.113521519821518,0.0760797743069737,0.136556119647592
33,1,39144,0.0187776461737096,0.0759644872271243,0.804905043447861
34,1,41499,0.00379589532108026,0.0757600652672595,0.960067713297223
35,1,45359,-0.286275229349565,0.126631270115935,0.0243863342491268
36,1,45634,-0.0571711911713253,0.11711406690583,0.625734833231749
37,1,51248,0.108955426642977,0.0758614766306177,0.151819142182805
38,1,51462,0.114264978057836,0.0759428438463972,0.133316475274816
39,1,52124,0.0938128740368467,0.0759187838258575,0.217391633383076
40,1,52667,0.0818719657810759,0.0758357797060763,0.281059434873368
41,1,55470,0.0435154426381458,0.0779937039887648,0.577242212099606
42,1,59265,-0.022037540390901,0.0759134913138582,0.771758672015534
43,1,60165,-0.0138095980508751,0.0758616194949405,0.855658421623301
44,1,62308,-0.00774761862670825,0.0757806230131263,0.918626243039763
45,1,62869,-0.028923964639416,0.0757565867041401,0.702838468937303
46,1,65431,0.0485577305135707,0.0790943273839216,0.539662440328679
47,1,65451,0.065041387792842,0.0779376055436044,0.404545939631357
48,1,65719,0.00762996791226989,0.0813536000588164,0.925331003563175
49,1,66841,0.0222321443418728,0.0757987020648078,0.769461324973304
50,1,66948,0.0324504519750943,0.0762536222422561,0.670688197111795
51,1,68621,0.05507403327573,0.0760100531948511,0.469200442404477
52,1,69417,0.0401098763024199,0.0758351372393983,0.597201077730716
53,1,69820,-0.425928369159876,0.295995902544524,0.151045920188709
54,1,69821,0.0140264584169536,0.184190327573209,0.939341325257933
55,1,70906,0.0817299515681569,0.121790889983141,0.502616160621709
56,1,74327,0.0290089406299582,0.0762666540409084,0.703905451695807
57,1,74572,0.0314007363468068,0.0760608339217883,0.679976582671786
58,1,75211,0.0173702032283925,0.0759348799347777,0.819194676291977
59,1,76030,0.0150995121700831,0.075936255200397,0.842498804880255
60,1,80108,-0.0605747020230332,0.0758540661366879,0.425077329079419
61,1,81262,-0.103887540559123,0.0756921558917093,0.170779006544579
62,1,81999,-0.121732915897239,0.0758027953397915,0.109186537672041
63,1,82431,-0.118463977613849,0.0761788418581511,0.120823755130045
64,1,83284,-0.151542527411121,0.0754532110175524,0.0453588291995832
65,1,83613,-0.155468640590643,0.0754221682200171,0.0400051297762232
66,1,84112,-0.163219415914754,0.0753841829633644,0.031044290060551
67,1,84701,-0.139407510162144,0.0809181396132724,0.0857965930307747
68,1,84858,-0.115566875874469,0.0758482576167965,0.128489270665201
69,1,85751,-0.14146725872617,0.0760381496336852,0.0636493925470197
70,1,87445,-0.135285313206837,0.0762322588191029,0.0768180335985496
71,1,87467,-0.16415647525527,0.0764749339024602,0.032510979459944
72,1,89070,-0.12341453469107,0.0762081072266384,0.106245418452216
73,1,89616,-0.064919387434845,0.076000687539767,0.393576400747151
74,1,89679,-0.0819683796814688,0.0759636505522852,0.281303341023173
75,1,89880,-0.0804272284945189,0.0759876268377467,0.290585306386005
76,1,91472,-0.0877107736098489,0.0765307875664388,0.252536376747925
77,1,93789,-0.132925844677064,0.0755525610532242,0.0793788299916409
78,1,94351,-0.102893977817088,0.0758854488964076,0.175993964774531
79,1,99148,-0.107326317659923,0.075667777463112,0.156959547779992
80,1,101281,-1.01769531596253,0.828143340206687,0.219932424971359
81,1,106011,-0.14125308995132,0.0787262545926853,0.0736318893354016
82,1,106800,-0.0750913202953947,0.0758802695956553,0.323046174415513
83,1,107970,-0.0414508342043395,0.0757282045587218,0.584475102989041
84,1,109000,-0.121296938781628,0.0756187590715571,0.109595372894725
85,1,112549,-0.039415997641928,0.0757789036335571,0.603288746971499
86,1,112742,0.00991230340400551,0.0761014568201026,0.896441906867671
87,1,113050,-0.0103865371865602,0.0759732467552315,0.891335520599994
