SNP,Chr,Pos,Effect,SE,ADE17_HYR1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.386110868931883,0.187935004201163,0.0406639112430859
2,1,1035,0.110182991700896,0.191033520411443,0.564460369336252
3,1,1074,0.483425197374747,0.32195877805836,0.134116950024509
4,1,1470,-0.105992129201498,0.321772719184907,0.742048269592008
5,1,1475,0.0840927365858422,0.23749661339373,0.723490534394163
6,1,1491,-0.0652634421723526,0.207756673097773,0.753604805567962
7,1,21249,-0.450859823473619,1.19264780441931,0.705633548035248
8,1,27243,0.277959020225568,0.162060856715249,0.0871949042635521
9,1,27272,0.0230476255339778,0.1602861272499,0.885747939009162
10,1,27498,-0.363004531520671,1.46361398406789,0.804263676371267
11,1,27561,1.13930727753653,1.10414962013662,0.302852849295366
12,1,27816,-0.0331641912302841,0.163552001193871,0.839428037378044
13,1,27822,-0.0534261991146334,0.163328893767092,0.743780032636083
14,1,27823,-0.0280401278888942,0.16671169877571,0.866525944821679
15,1,27825,-0.0354339626172103,0.163342758327236,0.828388130765814
16,1,27843,-0.0356161204321378,0.156486801869662,0.820090354307197
17,1,27848,-0.0356161204321378,0.156486801869662,0.820090354307197
18,1,28495,0.0275033261577642,0.15649397092337,0.860593580277239
19,1,28975,-0.0213883534075199,0.155450530650448,0.890643337408958
20,1,29283,0.325764134407369,0.347950051625617,0.349790608208373
21,1,29752,-0.145551827955043,0.363129858761625,0.688790853774059
22,1,29787,1.52231812564631,0.979467315163305,0.1210254707575
23,1,30057,0.100539032478226,0.318618261827723,0.752532849406895
24,1,30479,0.268827302457586,0.933611088234675,0.773558921327389
25,1,30706,-0.0822145871127823,0.160486352467997,0.608772641694385
26,1,31435,0.00206632044470031,0.155042786544289,0.989374100535945
27,1,35128,-0.0369064075057057,0.213686458080386,0.862976087743691
28,1,35129,-0.127894668010378,0.214134553743942,0.550714639654627
29,1,36146,-0.0245677309706572,0.154237816684193,0.87353563568249
30,1,37255,0.130367011737537,0.311252641776415,0.675583210766457
31,1,37409,0.0909622271188136,0.155001739689438,0.557681924145508
32,1,37478,0.0607797009310126,0.155176926073464,0.695530995406885
33,1,39144,0.0656209849873345,0.154462894374867,0.671217011681536
34,1,41499,0.0135600983475228,0.154072130861936,0.929917550858352
35,1,45359,-0.118998345622637,0.259310294845313,0.646586051094451
36,1,45634,-0.0114713630986527,0.238254521080158,0.961625907390408
37,1,51248,-0.0572624285789154,0.154699611472676,0.711490946348266
38,1,51462,-0.0831641538621023,0.154876205251895,0.59162537803919
39,1,52124,-0.113837059426961,0.154610956933977,0.462048899729549
40,1,52667,-0.11893262754858,0.154351907250091,0.441501516025803
41,1,55470,-0.0929856939178752,0.158608551241399,0.558076141232143
42,1,59265,0.0848657414489229,0.154337639567241,0.582755810157807
43,1,60165,0.0757108051525298,0.154234412818073,0.623815349389347
44,1,62308,-0.188678299210603,0.153789834712904,0.220693581871723
45,1,62869,-0.204496650669623,0.153713137421741,0.18425241143591
46,1,65431,-0.240342286316703,0.160430823829579,0.134999533187748
47,1,65451,-0.218851039407605,0.158229846284413,0.167501912575295
48,1,65719,-0.0850718040505561,0.165388938965694,0.607312263213931
49,1,66841,-0.15821300104281,0.153940486354554,0.304769117961669
50,1,66948,-0.180708645898672,0.154818317156571,0.243905186583928
51,1,68621,-0.264959987852389,0.154052440161284,0.0863209501004178
52,1,69417,-0.191950303338655,0.153948419523866,0.213279851230136
53,1,69820,-1.51736027323466,0.598303827380656,0.0116398459171941
54,1,69821,-0.704835965878196,0.372707769473138,0.059426575939292
55,1,70906,-0.18919194194226,0.247639473779805,0.445388691862053
56,1,74327,-0.138347882972322,0.154960450578054,0.37257529254626
57,1,74572,-0.0857518443072105,0.154654952160167,0.579606959061148
58,1,75211,-0.0195674631302623,0.154436727943329,0.899248294043557
59,1,76030,0.0167276888905714,0.154437673256725,0.913808532772242
60,1,80108,-0.0015629000514813,0.154403701003402,0.991929535151832
61,1,81262,-0.0359019331240135,0.15433352222455,0.81618693728434
62,1,81999,-0.0905310660079292,0.154647235850095,0.558650331268496
63,1,82431,-0.0951838219659098,0.155372126830809,0.540523139812931
64,1,83284,0.0269305857026367,0.154316822160878,0.861560862439702
65,1,83613,0.0221417716737472,0.154301973158026,0.885980063412493
66,1,84112,-0.0458109757840825,0.154304215694726,0.766727097588003
67,1,84701,-0.072642623213688,0.165208411553078,0.660421346976889
68,1,84858,0.0590623157940365,0.154727096776232,0.702899271614726
69,1,85751,0.00237014530333779,0.155395076027872,0.987839447136145
70,1,87445,-0.0550872679936412,0.155696017074559,0.723690290175351
71,1,87467,-0.0504254566298062,0.156515832599598,0.747510988979844
72,1,89070,-0.152968983576988,0.155345905927895,0.32544629327757
73,1,89616,-0.0387911678540005,0.154708508389446,0.802163227654149
74,1,89679,-0.10086002074782,0.154648733079012,0.514704451204131
75,1,89880,-0.0862708205978273,0.154712961304851,0.577458301994967
76,1,91472,-0.12571524235815,0.155786362898786,0.420225950842984
77,1,93789,0.0181571240362212,0.154320452991867,0.906405111165676
78,1,94351,0.0431107587821792,0.154712616558528,0.780676161212533
79,1,99148,-0.0326149060853787,0.154313715356979,0.832732583803702
80,1,101281,1.76044099760069,1.68519127094173,0.2968979663932
81,1,106011,-0.119337779620806,0.160708546076298,0.458234263344638
82,1,106800,-0.0830343282954621,0.154468433992422,0.591227256911765
83,1,107970,-0.0166615225818514,0.154071269171338,0.913944763386801
84,1,109000,0.047182654397933,0.154324920125224,0.759986023277929
85,1,112549,-0.150791796670369,0.153961584889813,0.328047283948179
86,1,112742,-0.206456905631691,0.154380698733127,0.181978186872823
87,1,113050,-0.197930059504013,0.154151356071236,0.199984704295199
88,1,113135,-0.239364977624432,0.153589880019001,0.1200183022582
89,1,114076,-0.11962386946783,0.153985790996999,0.437767491060423
90,1,114628,-0.0957536923451925,0.154423176513791,0.535609580901234
91,1,116283,-0.132802480573125,0.155205736806964,0.392769342955255
92,1,126880,-0.718686479202558,2.91487103042219,0.805393174373173
93,1,127853,-0.205526254664722,0.154691033200266,0.184830207537816
94,1,128302,-0.197207753281867,0.154124655693531,0.20154938735932
95,1,128704,-0.208291045567571,0.154237519339115,0.177734753122141
96,1,128911,-0.159166870327826,0.154420341412514,0.303369524095029
97,1,130267,-0.19254080461459,0.154239168147315,0.212738920348612
98,1,130271,-0.198388929166386,0.154402066035652,0.199674860304023
99,1,130613,-0.151379683902933,0.156001023851787,0.332523410282768
