SNP,Chr,Pos,Effect,SE,ERV25_PIS1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.138551148419112,0.155994932513442,0.375050204708051
2,1,1035,0.183261355512682,0.157576015682647,0.2456139274758
3,1,1074,-0.074530541127821,0.266772565296147,0.780117921704237
4,1,1470,-0.183459123119582,0.265661874490168,0.490287246958197
5,1,1475,0.137086393104405,0.196083254748109,0.484935293964677
6,1,1491,0.288429652305439,0.170953527711075,0.0924518159089295
7,1,21249,-1.41460682947901,0.982505667447273,0.150811603901951
8,1,27243,-0.162925516844892,0.134147065255617,0.225357561493723
9,1,27272,-0.187637769831153,0.132031091633677,0.156152009776678
10,1,27498,-0.968253715904039,1.20802519786253,0.423371128024796
11,1,27561,0.160902445559008,0.913417309498503,0.8602736843404
12,1,27816,-0.0519292928897554,0.135081756927612,0.700892276006817
13,1,27822,-0.0541171882187079,0.134907565146498,0.688557756161516
14,1,27823,-0.0580915068478722,0.137683036587103,0.673338761863029
15,1,27825,-0.0468815714926846,0.134915237670221,0.728431015388072
16,1,27843,-0.03428155036785,0.129262559918491,0.791003525829612
17,1,27848,-0.03428155036785,0.129262559918491,0.791003525829612
18,1,28495,-0.00144537963991456,0.129277507447806,0.991085799929938
19,1,28975,0.0100723240809354,0.128412265003343,0.937524567762021
20,1,29283,-0.0619451085398435,0.287761953823529,0.829684947107312
21,1,29752,-0.314730839444409,0.299563743943302,0.294146988584
22,1,29787,1.56819978931899,0.80755077985085,0.052941904897426
23,1,30057,0.0353978347354085,0.263225051058117,0.893101678089764
24,1,30479,1.67348539365943,0.766139931769102,0.0295970885818284
25,1,30706,-0.0506524725951534,0.13259164688633,0.702677456170103
26,1,31435,-0.0253268845098192,0.128066061647008,0.843343374990557
27,1,35128,0.219531756166014,0.176136060899659,0.213452859126816
28,1,35129,0.0517524481495093,0.17695380536528,0.77010443682228
29,1,36146,-0.0502651727778563,0.127384666041126,0.693381140048531
30,1,37255,-0.0838084693869439,0.257135497633265,0.744669570812334
31,1,37409,0.0250109555716817,0.128094742761652,0.845306780090297
32,1,37478,0.0143325981474029,0.128209511549591,0.911053103199985
33,1,39144,0.0135996003757126,0.127624665377041,0.915199106380564
34,1,41499,-0.0290323619010079,0.127263329016637,0.819678616341212
35,1,45359,-0.274471462121476,0.213768618763734,0.199996237194537
36,1,45634,-0.216322791048015,0.196473767227446,0.271635394986656
37,1,51248,0.0535560231217269,0.127782651887991,0.675384736749476
38,1,51462,0.0604257318988405,0.127947344283085,0.637025681747876
39,1,52124,0.0590298682127619,0.127775820460164,0.644380277969056
40,1,52667,-0.0127362844044185,0.127607801166167,0.920553383144253
41,1,55470,-0.0333558007028234,0.131070369218447,0.799266966008371
42,1,59265,0.117854266223872,0.127390883399246,0.355525645596151
43,1,60165,0.0933006419885393,0.127352061980472,0.464276524858411
44,1,62308,0.0301333171350523,0.127298574864859,0.813016205426727
45,1,62869,-0.00669708401395117,0.127292189211577,0.958070894828396
46,1,65431,0.0554950395672893,0.132911712793659,0.676542354463629
47,1,65451,0.0479856718023323,0.131034597487048,0.714430651848011
48,1,65719,0.105298702923143,0.136555794547624,0.441161186700658
49,1,66841,0.0751799398191019,0.127289802177813,0.555152800666916
50,1,66948,0.0461548904017481,0.128110707850549,0.718858097858724
51,1,68621,-0.0488976299787859,0.127760634901375,0.702151462771855
52,1,69417,-0.0425783616920394,0.127428693916356,0.738476256109331
53,1,69820,-0.239357660056716,0.498548458721988,0.631447169649731
54,1,69821,0.177795522532316,0.309286245593971,0.565753852992084
55,1,70906,-0.122707005473405,0.204627484232093,0.549117266076803
56,1,74327,-0.0190834711929889,0.128145522650676,0.88170155140893
57,1,74572,0.00136323492662205,0.127808352428956,0.991495756284919
58,1,75211,-0.00581181663874723,0.127575014718355,0.963689841798433
59,1,76030,-0.0433919115790892,0.127554483226643,0.733920792914432
60,1,80108,-0.00233661475842206,0.127545164921162,0.985394001810097
61,1,81262,-0.0258957534730893,0.127489557181494,0.83915781301155
62,1,81999,0.0157100326323233,0.127805637788742,0.902239387472212
63,1,82431,0.0170291492410038,0.128410185324377,0.894573229217676
64,1,83284,0.0267383616935058,0.127470995580305,0.833975722626715
65,1,83613,0.093484027341201,0.127367741708688,0.463454589389437
66,1,84112,0.0535579292993147,0.127447063968507,0.674568254191691
67,1,84701,0.0745663723701204,0.136450102413545,0.585085696495992
68,1,84858,0.150330321980737,0.127588083408912,0.239491670046525
69,1,85751,0.0874444679603953,0.128279771664457,0.495894641590052
70,1,87445,0.0675465931797718,0.128585278938731,0.599700411232334
71,1,87467,0.0260275369633586,0.129301519945122,0.840585135329462
72,1,89070,0.0973945820004437,0.128395034494284,0.448625489055287
73,1,89616,0.0951823635461047,0.127707930030927,0.456578560052604
74,1,89679,0.0857500237417832,0.127743052002011,0.502487828256804
75,1,89880,0.112969725300135,0.127715484929974,0.377005715328652
76,1,91472,0.120611971926177,0.128645929767337,0.349116798045124
77,1,93789,0.0980147021503018,0.127372151890564,0.442102614518833
78,1,94351,0.0695584274276494,0.127760811779689,0.586480689304991
79,1,99148,0.0857972696679165,0.127397122663713,0.501093366140524
