SNP,Chr,Pos,Effect,SE,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.165799270877799,0.0610661753120485,0.00695168425965891
2,1,1035,0.14514921231144,0.0618952256415402,0.0195763366935311
3,1,1074,0.0471343400642743,0.105380340208365,0.654948450767694
4,1,1470,-0.057605400014145,0.104985839304443,0.583560369983691
5,1,1475,-0.215836405057546,0.0766678043973074,0.00514798316221316
6,1,1491,-0.116646837468636,0.0675286083252553,0.084976070964002
7,1,21249,-0.361843804876746,0.388837322364458,0.352707394417218
8,1,27243,-0.034117928861061,0.0530794151312128,0.52078972637061
9,1,27272,-0.0766270079561024,0.0521536444345365,0.142654226477332
10,1,27498,-0.431420729254372,0.477157754797318,0.366534100864922
11,1,27561,-0.0511914642122755,0.360885473252929,0.887279716533365
12,1,27816,0.0940937811438481,0.0531448562673226,0.0775043436016692
13,1,27822,0.0924114456008599,0.0530850835497742,0.0825868673954043
14,1,27823,0.100039050839312,0.0541494289784157,0.065516633023953
15,1,27825,0.0901085205119782,0.0530962977192359,0.0905634959000277
16,1,27843,0.0858579681534007,0.0508702866183074,0.0923363013382399
17,1,27848,0.0858579681534007,0.0508702866183074,0.0923363013382399
18,1,28495,0.109915302820022,0.0507398105817336,0.0309605901297508
19,1,28975,0.101447237686294,0.050446399690317,0.0450863279038436
20,1,29283,-0.200328473146658,0.113197603194717,0.0776364329279466
21,1,29752,-0.0950429104955117,0.118430849075461,0.422793230636891
22,1,29787,-0.221358574865463,0.3205365630702,0.490278567865333
23,1,30057,0.269707109051961,0.103004152110518,0.00921464281262022
24,1,30479,-0.114904238559655,0.304669800991288,0.706293582689399
25,1,30706,0.0840460691842963,0.0522048454547236,0.108307305170115
26,1,31435,0.0780786397598798,0.0504291826078724,0.122450236541208
27,1,35128,-0.0394962442147033,0.0697104461233282,0.571362541416429
28,1,35129,-0.0200832903130794,0.0699125613910826,0.774079524222502
29,1,36146,0.037526260773434,0.050299566844331,0.456130510283619
30,1,37255,0.118010146315576,0.101412019383429,0.245343625647706
31,1,37409,0.0689067214021711,0.0504783253903435,0.173098708986954
32,1,37478,0.0726929094611509,0.0505069146000169,0.150961165340697
33,1,39144,-0.00216169917094024,0.0504236086947031,0.965828784452918
34,1,41499,0.0170321015932416,0.0502757035189852,0.734981406321277
35,1,45359,0.0274727792494875,0.0846416965194961,0.745693212616659
36,1,45634,-0.0645251279470864,0.0776816526662926,0.406741087961914
37,1,51248,0.0044330154856013,0.0504973560018667,0.93009568438431
38,1,51462,0.00770173199675232,0.0505647212250286,0.879026036010758
39,1,52124,-0.0325748799952811,0.0504681346979655,0.519052064671024
40,1,52667,-0.0762814609371324,0.0502532346808359,0.129924244632875
41,1,55470,-0.0646041173936163,0.0516747575732574,0.212052267002852
42,1,59265,-0.0217287749189178,0.0503782704156108,0.666504483194267
43,1,60165,-0.0322233207010975,0.0503242472502745,0.522383873886408
44,1,62308,-0.0483699766334436,0.0502321566312016,0.336242547248363
45,1,62869,-0.055524148048838,0.0502048653817379,0.269500646504231
46,1,65431,-0.0258377147716782,0.0525067354907836,0.622965969314416
47,1,65451,-0.0229208423094658,0.0517656107788066,0.658195161244888
48,1,65719,-0.0565160104696558,0.053913076593859,0.295226721962495
49,1,66841,-0.045004207114199,0.050258422214565,0.371153551328316
50,1,66948,-0.0451105812747991,0.0505672940922301,0.372952345846242
51,1,68621,-0.0237959739897176,0.0504712319352279,0.637592124113288
52,1,69417,-0.0346210636244012,0.0503197359157649,0.491891052970278
53,1,69820,-0.296132329726883,0.196403214000686,0.132505920947371
54,1,69821,-0.0992381072395223,0.122138203036203,0.417048554592566
55,1,70906,0.0352001062529301,0.0808652588477608,0.663615562492085
56,1,74327,-0.0681975476561007,0.0505000225250431,0.177738121434448
57,1,74572,-0.0700843485005405,0.0503575416270433,0.164878996365337
58,1,75211,-0.056195524828591,0.0503146386556727,0.264804312121434
59,1,76030,-0.0407410856569253,0.0503567947261456,0.419032250744008
60,1,80108,-0.0921035428223431,0.0501525303187644,0.0671291223750691
61,1,81262,-0.11511896150697,0.0499984589663717,0.0218910237067644
62,1,81999,-0.120713780242023,0.0500850931644395,0.0164556896593201
63,1,82431,-0.108869787756111,0.0504025484897282,0.0314449164858331
64,1,83284,-0.0958794318697914,0.0501061555682906,0.0564893201597845
65,1,83613,-0.0917778561718561,0.0501223326806002,0.0679317734066134
66,1,84112,-0.0882932007935082,0.050145636219822,0.0791490464800641
67,1,84701,-0.118963178311486,0.0535595789381693,0.0269756660823467
68,1,84858,-0.0809440816085871,0.050323423105153,0.108624649902119
69,1,85751,-0.102121486250538,0.050422991157175,0.0435890670359709
70,1,87445,-0.0722938485423027,0.0506764378007075,0.154585645166525
71,1,87467,-0.0818057686097446,0.0509024856635978,0.108924841964181
72,1,89070,-0.0692371980471995,0.0506346972020451,0.172374217989006
73,1,89616,-0.0706721249544592,0.0503552144938247,0.161355227929277
74,1,89679,-0.0560707463337255,0.0504136488714682,0.266803189265218
75,1,89880,-0.0722489514560978,0.0503681212020385,0.152338228035139
76,1,91472,-0.0646520575029838,0.0507731859629106,0.203731591900464
77,1,93789,-0.0723277414854683,0.0502180185255539,0.150675999929927
78,1,94351,-0.0917301678265826,0.050261334435172,0.0688362683597702
79,1,99148,-0.0779773990763561,0.0501940613683616,0.121195392976182
