SNP,Chr,Pos,Effect,SE,ERV25_EMP47_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.216342246041742,0.212338702118673,0.3089698067943
2,1,1035,0.180572089574586,0.214762123184142,0.401028898920272
3,1,1074,0.38976944354297,0.362703311949626,0.283277381408447
4,1,1470,0.00298995233672716,0.361987790653857,0.993414361642376
5,1,1475,0.223546573657226,0.266920232149769,0.402876386405493
6,1,1491,0.216697796335028,0.23343406210345,0.353884154818832
7,1,21249,-0.775173510902602,1.34113563006978,0.563634092719218
8,1,27243,-0.124594994401182,0.182924993902854,0.496238243876899
9,1,27272,0.0695084201630212,0.180258276445512,0.700021795398387
10,1,27498,0.671381005707895,1.64603884780717,0.683611416356196
11,1,27561,0.900777056337738,1.24290241877102,0.46909364460196
12,1,27816,0.114959938567621,0.183873371562555,0.532235521135613
13,1,27822,0.123147009177119,0.183624379910366,0.502884421738591
14,1,27823,0.104959817140138,0.187442769085774,0.575864190559165
15,1,27825,0.141114891023721,0.183587749674679,0.442614510649095
16,1,27843,0.120238185360363,0.175913994756089,0.49473585571696
17,1,27848,0.120238185360363,0.175913994756089,0.49473585571696
18,1,28495,0.0974219058791514,0.175956828679737,0.580155665184192
19,1,28975,0.0864018331172644,0.174796049261386,0.621401194542277
20,1,29283,-0.77968642909938,0.389658709399031,0.0461633608233833
21,1,29752,-0.143466887719096,0.408472576338061,0.725627057528262
22,1,29787,2.706256122254,1.09605076107218,0.0140181722261212
23,1,30057,0.129472309750192,0.358368340768709,0.718104198276652
24,1,30479,1.39169372353102,1.04764025619891,0.184901511314161
25,1,30706,-0.00485033900311384,0.180583076178314,0.978587115669011
26,1,31435,0.0494787374619063,0.174373369324729,0.776767034135527
27,1,35128,0.572925845757472,0.238424054144843,0.0167779780744164
28,1,35129,0.190136003192732,0.240769128564471,0.430231608438741
29,1,36146,-0.103130195978535,0.173407155078232,0.552405902464226
30,1,37255,-0.0983115858367256,0.350147036786997,0.779049544375297
31,1,37409,-0.0171685382605503,0.174429673472054,0.921649334832021
32,1,37478,-0.0219769229793066,0.174578097162089,0.899893900622153
33,1,39144,-0.0306791252545804,0.173777682152201,0.859969099941764
34,1,41499,-0.0682971619979375,0.173265183856928,0.693688331348798
35,1,45359,-0.339114928781867,0.291202195554212,0.244993979122392
36,1,45634,-0.187056637111169,0.267806231774462,0.485338486967622
37,1,51248,-0.280701572045485,0.173398526197672,0.106378359078492
38,1,51462,-0.264840915854523,0.173705970099338,0.128241647877668
39,1,52124,-0.204371097964418,0.173700713629716,0.240159849909596
40,1,52667,-0.260421752431866,0.17320833043283,0.133599757129574
41,1,55470,-0.261857256835984,0.177945868931767,0.142031801699376
42,1,59265,-0.115926054387964,0.173564750458887,0.504625936067014
43,1,60165,-0.108763214867589,0.173446570961644,0.531018430423007
44,1,62308,-0.124178885646012,0.173226245007081,0.473934801765645
45,1,62869,-0.174340249360349,0.173081958044541,0.31449502551787
46,1,65431,-0.0736238425148388,0.180984035050724,0.684403300742446
47,1,65451,-0.0769991128648578,0.178412583516235,0.666310933902205
48,1,65719,-0.028261765912881,0.186094259685511,0.87937779353415
49,1,66841,-0.0645408165205088,0.173378177438424,0.709926709337824
50,1,66948,-0.113650242327969,0.174371567030834,0.514973358516281
51,1,68621,-0.167175682282439,0.173776145584017,0.336699354510986
52,1,69417,-0.226254160181535,0.173124831522644,0.192102654115085
53,1,69820,-1.05583167333932,0.676750405753,0.119620645859241
54,1,69821,-0.689134825397984,0.419743060199672,0.101521676165501
55,1,70906,-0.107677632944851,0.278717881778304,0.699483568282899
56,1,74327,-0.137468209431347,0.17434381251162,0.430939821203736
57,1,74572,-0.122713746189599,0.173910103852549,0.480892367192778
58,1,75211,-0.12292193063852,0.173592216397267,0.479345865576167
59,1,76030,-0.0915617332202714,0.173647090751361,0.598326007226851
60,1,80108,-0.0998145197062359,0.173593114429485,0.565663510387568
61,1,81262,-0.0704890675502756,0.173568187404933,0.684902388060663
62,1,81999,-0.179519782151442,0.173770215256251,0.302270347006456
