SNP,Chr,Pos,Effect,SE,PMC1_CTR2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.151701713146874,0.20754140195413,0.46529656263998
2,1,1035,-0.0595658788330797,0.209946671870094,0.77679199460571
3,1,1074,-0.306476454569111,0.354460407987358,0.387830070925234
4,1,1470,-0.0445882874099084,0.353549768199723,0.899711890679504
5,1,1475,0.218143884227624,0.260704571653856,0.403300630219708
6,1,1491,0.2837859500445,0.227775641315169,0.213626917206734
7,1,21249,-1.94796438813885,1.30641486726446,0.136834474929416
8,1,27243,-0.0273374501158428,0.178776422326107,0.878553321886135
9,1,27272,-0.0103853501961315,0.17609657062985,0.95300514337311
10,1,27498,0.198470744151821,1.60804945167928,0.901842163302495
11,1,27561,1.84316337262696,1.2108927042435,0.128866138568175
12,1,27816,0.121073596746199,0.17957508739625,0.5006110259754
13,1,27822,0.11206960402523,0.179363138391465,0.532493120949882
14,1,27823,0.11515954331784,0.183056244569886,0.52969455730071
15,1,27825,0.126951603256501,0.179335045668915,0.479473370551445
16,1,27843,0.0878274270820512,0.171867350249387,0.609657427020358
17,1,27848,0.0878274270820512,0.171867350249387,0.609657427020358
18,1,28495,0.105175351104717,0.171842539495048,0.540902057826481
19,1,28975,0.101903405491919,0.170698269734438,0.550903612456493
20,1,29283,-0.533881482395914,0.381680155363444,0.162760931831792
21,1,29752,-0.251333332925564,0.398805345290506,0.528961301290677
22,1,29787,3.39413736831648,1.06451032550734,0.00155826324373701
23,1,30057,-0.0965493663178751,0.350049528830335,0.78285055561922
24,1,30479,0.47929764794612,1.02547964152277,0.640510153405369
25,1,30706,-0.00925048390534633,0.176377090654846,0.958202035250078
26,1,31435,-0.0458904231063751,0.170314413273376,0.787744437527298
27,1,35128,0.346325516392684,0.234043688371961,0.13983256649205
28,1,35129,0.126343362583982,0.235273569809287,0.591601646489779
29,1,36146,-0.187736753281493,0.169158759806978,0.26782956298344
30,1,37255,-0.327442035280356,0.341586576998726,0.33842058690485
