SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.168637779156051,0.127410784413947,0.186500646759235
2,1,1035,0.252256512522291,0.12842393902224,0.0502855350153258
3,1,1074,0.319450543585717,0.217546823096607,0.142880135159678
4,1,1470,-0.0480654973977206,0.21740938491228,0.825155708141858
5,1,1475,0.113270835163622,0.160368939544182,0.480458770622762
6,1,1491,0.091429499720947,0.140296545565548,0.515026868730861
7,1,21249,-0.801580867982622,0.804790990942353,0.319926934292275
8,1,27243,-0.025858447866467,0.109935664534726,0.814178744247638
9,1,27272,0.102874592800885,0.108154653405754,0.342163572955872
10,1,27498,-1.73289801750436,0.984599487507658,0.0792733745436728
11,1,27561,0.423966261615928,0.746751473945139,0.570567366700645
12,1,27816,-0.0343984157231824,0.110487699969207,0.755731614241481
13,1,27822,-0.0384783260177386,0.110343419019946,0.727511714147626
14,1,27823,-0.06846457452896,0.112576690125798,0.543472832408681
15,1,27825,-0.0406800998406465,0.110341181725631,0.712590557853286
16,1,27843,-0.0569289613978056,0.105687484857729,0.590465292845087
17,1,27848,-0.0569289613978056,0.105687484857729,0.590465292845087
18,1,28495,0.00158422466581304,0.10573258913638,0.988053956387362
19,1,28975,-0.035938137903114,0.105008440773199,0.732373607383386
20,1,29283,-0.168149528393997,0.235198012528949,0.475126382340026
21,1,29752,-0.439224976828836,0.244271806616638,0.0730155811671832
22,1,29787,1.52770447561583,0.658995175975893,0.0210075468855736
23,1,30057,0.0768558912929294,0.215251354246793,0.721266350671117
24,1,30479,1.28508882529106,0.627106652373979,0.0411779007987104
25,1,30706,-0.0525254876159536,0.108429529583057,0.628387890133366
26,1,31435,-0.00777558739390968,0.104746779747403,0.940867644916269
27,1,35128,0.131425235111055,0.144204027645272,0.362715054458178
28,1,35129,0.133805281726448,0.14456799178992,0.355310836745725
29,1,36146,-0.0460369579462038,0.104178662830531,0.658829337658252
30,1,37255,0.0657333435791312,0.21030676552293,0.754800034649771
31,1,37409,0.039455286453327,0.104749861813449,0.706651153881641
32,1,37478,0.0201899680115802,0.104855468622731,0.847421777566798
33,1,39144,-0.0387274326571039,0.104362113755995,0.710795275235249
34,1,41499,-0.0388178474332768,0.104072427928522,0.709380664412128
35,1,45359,-0.150929011325574,0.175059180170918,0.389184822658087
36,1,45634,0.09296075095045,0.160890242880599,0.563774369190043
37,1,51248,-0.0642832504990121,0.104479994822763,0.538773852400663
38,1,51462,-0.0665673630368134,0.104617775915848,0.524999030541094
39,1,52124,-0.0430417679144796,0.104510896619647,0.680706657357622
40,1,52667,-0.156779071519485,0.104034352217667,0.132706735694049
41,1,55470,-0.0996848861455847,0.107077402813623,0.352509972288453
42,1,59265,0.00951219937144129,0.10431458856569,0.927395231593039
43,1,60165,-0.00263198149533419,0.10423689494592,0.979869823791839
44,1,62308,-0.153316290645751,0.103802095804196,0.140565658069491
45,1,62869,-0.124692318209714,0.103897521879784,0.230886992232388
46,1,65431,-0.18109497132429,0.108303699766347,0.0953900402539396
47,1,65451,-0.145604257072633,0.106909520088742,0.174085580305985
48,1,65719,-0.208151093994657,0.111228964057681,0.062120062551465
49,1,66841,-0.142600528834027,0.103881440559354,0.170709678656462
50,1,66948,-0.178496995680696,0.104366051482121,0.0880895236700606
51,1,68621,-0.290989497072885,0.103359738438926,0.00514653760185805
52,1,69417,-0.266250805104684,0.103269210338286,0.0103356888194717
53,1,69820,-0.913568857554706,0.404973843903928,0.0246902815501
54,1,69821,-0.420439206038042,0.252083999404151,0.0962315778420253
55,1,70906,0.0460785838317577,0.167426587083192,0.783310817901087
56,1,74327,-0.185096758973473,0.104346039516953,0.0769459401189219
57,1,74572,-0.155817930756994,0.104201527393384,0.135716111246137
58,1,75211,-0.166337132601046,0.10396421326253,0.11050512443634
59,1,76030,-0.117488138786111,0.104152935949258,0.26007131194555
60,1,80108,-0.18858736747791,0.10383177957295,0.0701758429028639
61,1,81262,-0.183384977677271,0.103818564446836,0.0781932048158682
62,1,81999,-0.219806983177451,0.103874289375301,0.0350370666304045
63,1,82431,-0.222476889828305,0.10435619872449,0.0337051558709978
64,1,83284,-0.212743284907222,0.103644910797718,0.0408465886741046
65,1,83613,-0.189483278161327,0.10376114692269,0.0686724232287407
66,1,84112,-0.196881074166205,0.103733669487944,0.0585185433266093
67,1,84701,-0.168861241589033,0.111283731885451,0.130062315575425
68,1,84858,-0.132350137071121,0.104318293157069,0.205378863928909
69,1,85751,-0.190587227374007,0.104494400343856,0.0690127162003709
70,1,87445,-0.167602816447795,0.104828673036983,0.110753898013965
71,1,87467,-0.207081106625048,0.105182414092265,0.0497602338982806
72,1,89070,-0.207978473505044,0.104511811010257,0.0473620012798748
73,1,89616,-0.128291105330411,0.104307780351187,0.219542963583115
74,1,89679,-0.146637553473392,0.104252538210899,0.160437333912801
75,1,89880,-0.154443057303237,0.104247175164709,0.139363233518711
76,1,91472,-0.133543914490131,0.105106912363207,0.204724406276528
77,1,93789,-0.108458580787776,0.104101672913229,0.298193107938323
78,1,94351,-0.135186180858797,0.104288082997406,0.195727089911343
79,1,99148,-0.119481847510791,0.104067479647492,0.251696901531326
80,1,101281,1.91311998173255,1.13572545729497,0.092970591698342
81,1,106011,-0.155948987823928,0.108342664653617,0.150921924903992
82,1,106800,-0.0825247833262225,0.104309803334694,0.429387242927702
83,1,107970,-0.0422506174751705,0.104068640327926,0.684997416046576
84,1,109000,-0.0384739826220354,0.104256272004415,0.712324532223901
85,1,112549,0.00767694773310648,0.104157537971682,0.9412867415679
86,1,112742,0.0497897305451436,0.104530554108974,0.634142891021719
87,1,113050,0.0664536147076566,0.10432829509429,0.524559612847814
88,1,113135,0.0261794964421059,0.104113027310655,0.801610484997036
89,1,114076,0.0527490362810893,0.104084492973089,0.61261820485506
90,1,114628,0.0917630166328297,0.104271441010713,0.379436474900193
91,1,116283,0.104241925516197,0.104819610262123,0.320666169044582
92,1,126880,-4.17290091489149,1.95690544686434,0.0336638681165727
93,1,127853,0.104448338743899,0.104623317417551,0.318804396828658
94,1,128302,0.0847641226791199,0.10427091287122,0.416810683684979
95,1,128704,0.0732653246063392,0.104399557960192,0.483279974851569
