SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.114702249705002,0.0638008132685141,0.0730602652283081
2,1,1035,0.111455594261367,0.0645212659383346,0.084966190287325
3,1,1074,0.102274803057268,0.109360888358849,0.350322189753032
4,1,1470,-0.122598010860345,0.108906663995078,0.261050369314382
5,1,1475,0.0279920170783905,0.0805150063062632,0.728301160023905
6,1,1491,-0.00586737044302921,0.0704414114651642,0.933664718609889
7,1,21249,-0.45896752049822,0.40366673296726,0.256311110488695
8,1,27243,-0.027324062139148,0.0551500530096444,0.620591192252504
9,1,27272,-0.0179849200392821,0.0543322764879281,0.740827869555684
10,1,27498,0.0314702911928784,0.496224900817351,0.94946842592427
11,1,27561,-0.144749161112065,0.374806228634622,0.699583202367318
12,1,27816,-0.000103269320270383,0.0554495202508371,0.998515070751457
13,1,27822,0.00587462657423199,0.0553781635591853,0.915577546264849
14,1,27823,0.00902265256265422,0.0565176951217131,0.873253634679113
15,1,27825,0.00944057381287711,0.0553767666768537,0.864731143899889
16,1,27843,0.030660077295257,0.0530298851768055,0.563520689311155
17,1,27848,0.030660077295257,0.0530298851768055,0.563520689311155
18,1,28495,0.0532301325851577,0.0529801483497211,0.315720647654188
19,1,28975,0.0357880805233711,0.052666764367441,0.497254242856907
20,1,29283,-0.0238332742317873,0.118099220084493,0.840183689405784
21,1,29752,-0.202596927951795,0.122660773426928,0.0994880671628058
22,1,29787,-0.593670760404175,0.331684893760495,0.074332828433572
23,1,30057,0.135691707598857,0.107789358088217,0.208912775071631
24,1,30479,0.503420972627072,0.315407606021897,0.111362068449065
25,1,30706,-0.00104471412097015,0.0544271880066973,0.984696621754152
26,1,31435,0.0195001839653195,0.0525513201601257,0.71080847657443
27,1,35128,-0.038330067952586,0.0724168652437258,0.596931756169988
28,1,35129,-0.0540074494468552,0.0725742115454093,0.457269555468037
29,1,36146,0.0196504791344182,0.0522800780305604,0.707239803544707
30,1,37255,0.0779144516658388,0.105463478068546,0.46053069443282
31,1,37409,0.0654300732436381,0.052457798143901,0.213118145842776
32,1,37478,0.047709061714873,0.0525571531415019,0.364626519276416
33,1,39144,-0.0347001160010872,0.0523457772838528,0.507825988999533
34,1,41499,-0.0170549826777577,0.0522251747444265,0.744189462389473
35,1,45359,-0.0912893719526897,0.0878014991095524,0.299179516096986
36,1,45634,0.0932809048848044,0.0806189660085289,0.248030594421126
37,1,51248,0.00245669755064826,0.0524552282650399,0.962671872327359
38,1,51462,0.00171053403166375,0.0525264422700194,0.974039727434984
39,1,52124,0.0283064721665714,0.0524337507872445,0.589639396873327
40,1,52667,-0.00343893800910541,0.0523710045504556,0.947681771112762
41,1,55470,-0.00617319763676943,0.0537955636220214,0.908706215555714
42,1,59265,-0.00383818349674558,0.0523445056287142,0.941588684649866
43,1,60165,0.0001344461062644,0.0523053484231734,0.997950565051261
44,1,62308,-0.00718885588774758,0.0522464233882304,0.890638816083869
45,1,62869,-0.0060890829174178,0.052240257000406,0.907275649264328
46,1,65431,0.0268355501590544,0.0545420942542692,0.623014286847021
47,1,65451,0.0493447517098131,0.0537230070248829,0.358982665996644
48,1,65719,0.026533704606017,0.0560722643993399,0.636359047108372
49,1,66841,0.0147415310343973,0.0522599934902788,0.778047003307436
50,1,66948,0.00282452869935909,0.0525864301374829,0.957194909760073
51,1,68621,0.00421186309234362,0.0524437074630288,0.936034564549602
52,1,69417,-0.0229688660818796,0.0522910603812699,0.660748908786303
53,1,69820,-0.0477899665208286,0.204656616346412,0.815498483540831
54,1,69821,0.0417389991738295,0.126971875469987,0.742557474023275
55,1,70906,-0.0157747080865516,0.0840182390710861,0.851177861992265
56,1,74327,-0.0382732476354781,0.0525534539426835,0.466929471607722
57,1,74572,-0.0316206622724356,0.0524258934936463,0.54679642275932
58,1,75211,-0.0338918167205316,0.052326199729619,0.517598329637537
59,1,76030,0.0200385122303603,0.0523464196132417,0.702094170103886
60,1,80108,-0.0252053028670826,0.0523277102964445,0.630330523495917
61,1,81262,-0.0665792195060798,0.0522049826474938,0.203026806024271
62,1,81999,-0.049061738584633,0.0523878606232991,0.349651082714284
63,1,82431,-0.0541842366914734,0.0526222317416589,0.303863660012105
64,1,83284,-0.0816665023205851,0.0521368222384838,0.118153733406432
65,1,83613,-0.0578775582482213,0.052221154883122,0.26847978934986
66,1,84112,-0.0435320201274672,0.0522663696001019,0.40547117860143
67,1,84701,-0.0065364925592859,0.0560220918849344,0.907182327038408
68,1,84858,-0.0161161027035891,0.0524583444726502,0.758859256667073
69,1,85751,-0.0161202143486401,0.0526740159309595,0.759756644404122
70,1,87445,-0.00625852515349798,0.0527913163084623,0.905697592477397
71,1,87467,-0.0128445184449583,0.0530643340684505,0.808877653595834
72,1,89070,-0.00275847729914358,0.0527363926921632,0.958313741315558
73,1,89616,-0.00127212218544394,0.0524528569924552,0.98066476420861
