SNP,Chr,Pos,Effect,SE,SSH1_PIS1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.10654342869133,0.164661840758676,0.518024094205059
2,1,1035,0.0417821380775643,0.166547066624691,0.802058373542777
3,1,1074,0.0458645618788935,0.281467322234097,0.870652550575561
4,1,1470,-0.415919363600695,0.279589253385815,0.137746859200169
5,1,1475,0.096451564939132,0.206948617065222,0.641456228288407
6,1,1491,0.13056487686736,0.180949429929342,0.471046063287642
7,1,21249,-0.731580113345391,1.03885954422589,0.481763404707521
8,1,27243,-0.106704587511416,0.141707655565237,0.451957203413097
9,1,27272,-0.0588496194540395,0.139656459789177,0.673727920310546
10,1,27498,0.0028924478601775,1.27563363446642,0.998192111292722
11,1,27561,0.491854580708919,0.963347929300552,0.609972748657486
12,1,27816,0.00715447957356152,0.142541453353074,0.959997556763966
13,1,27822,0.00924318660570222,0.142359946435088,0.948267856388372
14,1,27823,0.00693104676072154,0.145292653904669,0.961979090620507
15,1,27825,0.0146075291924112,0.142358673438182,0.918330181165449
16,1,27843,0.0133615399915502,0.136384574040926,0.922012049494362
17,1,27848,0.0133615399915502,0.136384574040926,0.922012049494362
18,1,28495,0.0440330038179936,0.136368499006905,0.746964288183277
19,1,28975,0.0169452825295281,0.135473954401808,0.900530247225322
20,1,29283,-0.338246407780766,0.303076433047772,0.265162749089173
21,1,29752,-0.222306602133079,0.316314221090555,0.482641702499198
22,1,29787,1.66312902135927,0.851923521742098,0.0517041425566232
23,1,30057,0.165870983193843,0.277570893678324,0.550502950218869
24,1,30479,1.01503126329775,0.811931343866819,0.212074988751888
25,1,30706,-0.00517045218052735,0.139913693259074,0.97054210744286
26,1,31435,0.00137814050435253,0.135117993837548,0.991867852536214
27,1,35128,0.161815030405111,0.186033868885353,0.384992632045637
28,1,35129,0.0905173985745158,0.186647866135105,0.628003059464348
29,1,36146,-0.0950850231174152,0.134325985613317,0.479494543332043
30,1,37255,0.15672098514421,0.271192187232255,0.563702521391535
31,1,37409,0.0500744896585461,0.135121803180891,0.711166856947267
32,1,37478,0.0111107144639391,0.135262971326418,0.93458068234704
33,1,39144,-0.0471863737954484,0.134623594294292,0.726168071681625
34,1,41499,0.0220998715546911,0.134268385631442,0.869357171192576
35,1,45359,-0.303293077332219,0.225476178554799,0.179449185535276
36,1,45634,-0.190447617755844,0.207389145612108,0.359083382269455
37,1,51248,-0.0137659963506741,0.134843077751122,0.918743989336297
38,1,51462,-0.00830587781750727,0.135027195655592,0.950985769169388
39,1,52124,-0.0320162835298144,0.134834300714801,0.812446151750732
40,1,52667,-0.0620314578709187,0.134588471095787,0.645156142314787
41,1,55470,-0.139980404103384,0.138091939641172,0.311431940980486
42,1,59265,-0.0416724665530833,0.134542762523732,0.756946013208252
43,1,60165,-0.0272729019556932,0.134451524532993,0.839372570916971
44,1,62308,-0.15678203986144,0.134052009911194,0.242966657901894
45,1,62869,-0.120169991416069,0.134142218635944,0.370948592696526
46,1,65431,-0.183612411065765,0.139916463621237,0.1902714945849
47,1,65451,-0.170122710663291,0.137971811732439,0.21838686931027
48,1,65719,-0.1478095672027,0.143973756983763,0.305291841872996
49,1,66841,-0.0764426225030195,0.134296289689376,0.569576483945837
50,1,66948,-0.121555874090153,0.135027568764594,0.368611564417816
51,1,68621,-0.321500293966141,0.133725890751747,0.0167237332806442
52,1,69417,-0.248788123272965,0.1338057477003,0.0638131915811667
53,1,69820,-0.798748339619803,0.524423200886072,0.128629306299944
54,1,69821,-0.597064245395228,0.324901274395084,0.066949993353283
55,1,70906,0.00643589491583985,0.215992986616352,0.9762459678523
56,1,74327,-0.198260365958592,0.134786170576187,0.142202190864166
57,1,74572,-0.15860429135847,0.134574159150984,0.239365565886413
58,1,75211,-0.161759390069621,0.134317217600057,0.229277159461165
59,1,76030,-0.0539651863682579,0.134562215715681,0.688631371744305
60,1,80108,-0.143721187521687,0.134343438700266,0.285438364273042
61,1,81262,-0.164072625314474,0.134226400346335,0.222388063409989
62,1,81999,-0.177606022271773,0.134506900777885,0.187549260280262
63,1,82431,-0.225648923811456,0.134943557555545,0.0953763556057769
64,1,83284,-0.108872639320788,0.134366217758634,0.418332087124627
