SNP,Chr,Pos,Effect,SE,SRO9_DHH1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.207356395846481,0.162471512627594,0.202701573894431
2,1,1035,0.170870878438369,0.164376050836704,0.299278150778102
3,1,1074,0.151501524915204,0.278091916071563,0.586242377515673
4,1,1470,-0.0100866509151736,0.277206408963522,0.970994516132744
5,1,1475,0.11718799955946,0.204512929777064,0.567002588315781
6,1,1491,-0.00743525407548962,0.17897927290692,0.966886864475502
7,1,21249,-1.25381457050473,1.02534577612315,0.22221298565989
8,1,27243,-0.187689808563785,0.139817871325811,0.180332934334706
9,1,27272,-0.136465430951683,0.137878009553177,0.322971883937678
10,1,27498,-2.3642075038438,1.25452326781574,0.0603124703720418
11,1,27561,0.89669764449291,0.951314589160695,0.346536352811208
12,1,27816,-0.0294628893402429,0.140877739608334,0.834461142266113
13,1,27822,-0.0306594829861511,0.140697942825973,0.827625176968053
14,1,27823,-0.046246180268827,0.143584578786232,0.747580320812295
15,1,27825,-0.0208368778652729,0.140703034996242,0.882355368078261
16,1,27843,-0.0480849313390869,0.134778127087653,0.72147639120836
17,1,27848,-0.0480849313390869,0.134778127087653,0.72147639120836
18,1,28495,-0.0688597599138138,0.134754775646387,0.609670135180656
19,1,28975,-0.0384147447568664,0.133887904490516,0.774344044731078
20,1,29283,-0.319932944230359,0.299600974635704,0.286311820860433
21,1,29752,0.135096035773311,0.312776533458095,0.666059552076251
22,1,29787,2.21111526495267,0.838342398514928,0.00872174336440549
23,1,30057,-0.321854960302318,0.273950813072874,0.240841003366778
24,1,30479,1.46463410807772,0.800489226827945,0.0681419990304728
25,1,30706,-0.136802515304712,0.138097169373315,0.322547236617609
26,1,31435,-0.10973612105928,0.133420961362724,0.411358780907125
27,1,35128,0.257351673416577,0.183559845467898,0.161792704172678
28,1,35129,0.0172188612326893,0.184539291298832,0.925712375123539
29,1,36146,-0.199114943779862,0.132436756417574,0.133611494740087
30,1,37255,-0.195526940806499,0.267967296000744,0.466077545175531
31,1,37409,-0.157523423713798,0.133315086785511,0.23816486196201
32,1,37478,-0.141782227698799,0.133480147751653,0.288872344807947
33,1,39144,-0.0943411248708877,0.132988455631403,0.478548701003199
34,1,41499,-0.11544544881103,0.132571753504526,0.384447080164139
35,1,45359,-0.0996999784394728,0.223364868641485,0.655614667156542
36,1,45634,-0.235308329065804,0.204842695182919,0.251446364579652
37,1,51248,-0.220265080853229,0.132762350253706,0.097985218041353
38,1,51462,-0.211895252044034,0.132982312291866,0.111963375719346
39,1,52124,-0.202436133268938,0.132842730275579,0.128434503689821
40,1,52667,-0.224613961392455,0.132527243809344,0.0909855400917078
41,1,55470,-0.0879536073464846,0.136606446102551,0.520092944652032
42,1,59265,0.0547676215723811,0.132966291481527,0.680669295266775
43,1,60165,0.0306399773777828,0.132887731194916,0.817782132356457
44,1,62308,0.00166611358549884,0.132751549283844,0.989993411018593
