SNP,Chr,Pos,Effect,SE,ADE17_PGM2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.222042516753673,0.162719148895904,0.173255824078642
2,1,1035,-0.00782743679911674,0.164932050800955,0.962174599628595
3,1,1074,0.340535259687174,0.278134509480515,0.221634970637193
4,1,1470,-0.396092696825173,0.276919394745954,0.153500054498625
5,1,1475,-0.0214062067176073,0.204984085236181,0.916888513079508
6,1,1491,-0.167315305417404,0.179090168172155,0.350812658910996
7,1,21249,-0.416415165328043,1.02918096777859,0.686010506460083
8,1,27243,0.117817505929572,0.140294021789644,0.401594580210545
9,1,27272,-0.0306453420111725,0.138315477813202,0.824783609252748
10,1,27498,-0.0221892175249758,1.26315463359634,0.98599459869953
11,1,27561,0.116840848536003,0.954256194784251,0.902618810433386
12,1,27816,0.0107383407691464,0.141146435908782,0.93939900206061
13,1,27822,0.0123155430705814,0.140966675779911,0.930430985740597
14,1,27823,-0.00434354996201813,0.143871655277334,0.975932226691647
15,1,27825,0.0267650970561604,0.140961001592291,0.849515514333101
16,1,27843,0.13468620834853,0.134861882936998,0.318625404485551
17,1,27848,0.13468620834853,0.134861882936998,0.318625404485551
18,1,28495,0.152458298870499,0.134810465414058,0.258861361444354
19,1,28975,0.0960102165681224,0.134054336201873,0.474339080995372
20,1,29283,-0.242382958998353,0.300363773610478,0.420230192921774
21,1,29752,-0.0410247205389993,0.313431436225945,0.895937694101072
22,1,29787,1.77721077250354,0.842840121324036,0.0356834396833355
23,1,30057,0.273763917986813,0.274608335938229,0.319483786295003
24,1,30479,-1.02863714521198,0.803904568550799,0.201543338898472
25,1,30706,0.0216223314652137,0.138540522629086,0.87606528416045
26,1,31435,0.0507999211505228,0.133768944538402,0.704352904666984
27,1,35128,0.202356080685764,0.184096577727359,0.272436742398588
28,1,35129,-0.0577992789047967,0.184858009498728,0.754717150181514
29,1,36146,0.0382657822413211,0.133090774509128,0.773885648167336
30,1,37255,0.419166695722797,0.267738428977414,0.118342284022001
31,1,37409,0.239733499435704,0.133216363740608,0.0727808102516193
32,1,37478,0.160449631009869,0.133668565132552,0.230806697929474
33,1,39144,0.129723400920946,0.133150985416243,0.330595637099188
34,1,41499,0.0179657576843869,0.132956613491795,0.892590087806826
35,1,45359,-0.197688099415,0.223594574038403,0.377224366559043
36,1,45634,-0.0933863086075446,0.205545492577234,0.649867674774914
37,1,51248,-0.0674249220751801,0.133477758189708,0.613775903512643
38,1,51462,-0.0898827655281982,0.133621442366994,0.501599102523311
39,1,52124,-0.101628512140663,0.133416384541152,0.446724189604213
40,1,52667,-0.0677983633719389,0.133263150613143,0.611241424381143
41,1,55470,-0.17786518509148,0.136612357633701,0.193775583552255
42,1,59265,-0.0431821210525925,0.133224921699557,0.746031996953387
43,1,60165,-0.00699500849369449,0.133143536158924,0.958130253607495
44,1,62308,-0.0439807477348751,0.132977025222992,0.741037528094809
45,1,62869,-0.00836664647549246,0.132980177610232,0.94986861092359
46,1,65431,-0.16633282058068,0.138602876650096,0.230917859254463
47,1,65451,-0.153044047416726,0.136673518399855,0.263569540534751
48,1,65719,-0.00367503553015003,0.142777926724582,0.979479644983762
49,1,66841,0.00624302071073807,0.133043180927188,0.962599721625437
50,1,66948,-0.0708954352126686,0.133806905671873,0.596560174192951
51,1,68621,-0.159450203557438,0.133227440183319,0.232177128845898
52,1,69417,-0.0189561196179098,0.133140233921206,0.886863381727482
53,1,69820,-0.178485851389803,0.520910129658708,0.732071501880816
54,1,69821,-0.262347435902723,0.322956577576607,0.417149560137868
55,1,70906,-0.152212198672604,0.213726887009958,0.47682321399728
56,1,74327,-0.136514934992991,0.133678751968953,0.307851271339741
57,1,74572,-0.0922227122138898,0.133429396685329,0.489911498626834
58,1,75211,-0.0982555859053674,0.133173615737619,0.461125738204581
59,1,76030,-0.0841004375426735,0.133201067288655,0.528200967999038
60,1,80108,-0.1090214209811,0.133118337323119,0.413349670390038
61,1,81262,-0.101363499869519,0.133085064794944,0.446780783867794
62,1,81999,-0.101217662728407,0.133410924438058,0.448543709856501
63,1,82431,-0.118845009225303,0.134002487078045,0.375743784418866
64,1,83284,-0.118859350866918,0.133025154513939,0.372192684781568
65,1,83613,-0.140579316808818,0.132950442087,0.291060641665718
66,1,84112,-0.204232003113239,0.132731128426734,0.124775967731986
67,1,84701,-0.216908388485765,0.142139754228234,0.127899836685043
68,1,84858,-0.136370986430099,0.133353975557688,0.307185913389276
69,1,85751,-0.169838001555347,0.133795269693447,0.205139254014736
70,1,87445,-0.179231397037402,0.13404474959094,0.182050589602562
71,1,87467,-0.20223103326941,0.134657770169191,0.134038915045031
72,1,89070,-0.305357158479588,0.133254335216159,0.0225207710145498
73,1,89616,-0.187405804701561,0.133146553579566,0.160154594163808
74,1,89679,-0.281553025880757,0.132693051642906,0.0345475678265692
75,1,89880,-0.277967036517947,0.132748512198142,0.0369784398462732
76,1,91472,-0.250469911697711,0.13389986496475,0.0622310950445411
77,1,93789,-0.311172172293861,0.132141637959319,0.0190776838432707
78,1,94351,-0.233369931865079,0.132947013948429,0.0800650505745536
79,1,99148,-0.21716304792166,0.132672966241242,0.102557220753223
80,1,101281,2.8020715315455,1.4488486963156,0.053912316421174
81,1,106011,-0.318109363283513,0.137757272800013,0.0215091856212255
82,1,106800,-0.350168292186966,0.132046328710858,0.00836607063272
83,1,107970,-0.260308870379557,0.132236223288241,0.049791004129777
