SNP,Chr,Pos,Effect,SE,HNM1_ERG11_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0584868513071715,0.112745452294869,0.604259210935305
2,1,1035,0.0297121849864273,0.114011347613104,0.794547346276856
3,1,1074,0.0166379344555004,0.192687650516563,0.931239805711278
4,1,1470,-0.345478439789887,0.191113220977926,0.0715017741163629
5,1,1475,-0.202253388167378,0.141303732376528,0.153218118214619
6,1,1491,-0.0488185582841729,0.12393557409936,0.693890701970158
7,1,21249,-0.415545339394414,0.711321610543277,0.559467163761078
8,1,27243,0.0403936220301489,0.0970620501828287,0.677543724162106
9,1,27272,-0.0430387290496537,0.0956004081148762,0.652846920849722
10,1,27498,-0.459860489915214,0.872909986372164,0.598654207842023
11,1,27561,0.640549060005138,0.658835393134679,0.331594674490367
12,1,27816,0.0453766697434338,0.0975492243595349,0.642098766158003
13,1,27822,0.0357065856349609,0.0974365657285964,0.714241539915103
14,1,27823,0.0155475198145878,0.099459020647917,0.875869473361945
15,1,27825,0.0339968906694202,0.0974382981061215,0.727367252672891
16,1,27843,0.0279856122482404,0.0933533771284144,0.76452029646387
17,1,27848,0.0279856122482404,0.0933533771284144,0.76452029646387
18,1,28495,0.0698156099776053,0.0932927971966022,0.454747723638935
19,1,28975,0.0838791646197228,0.0926351512960015,0.365829389697541
20,1,29283,0.183957027979314,0.207610227050774,0.376183453667084
21,1,29752,-0.3895034842128,0.215694835271748,0.0718000408550808
22,1,29787,-0.455638402994663,0.585834304554575,0.437231546508851
23,1,30057,0.294474756673567,0.189463993161256,0.121020423246849
24,1,30479,-0.388144670039926,0.556664928861784,0.486094014479942
25,1,30706,0.0574512381165455,0.0957312605445169,0.548804399634921
26,1,31435,0.0644701127656539,0.0924332786559606,0.485963263421675
27,1,35128,-0.0242118225104613,0.127482007247323,0.849478281929933
28,1,35129,-0.00669667007526153,0.127814499031836,0.95824465788995
29,1,36146,0.027111095954527,0.0920086808872276,0.768428339878464
30,1,37255,0.283180707900127,0.185123696050645,0.12699062181436
31,1,37409,0.10891705456106,0.0923357361403145,0.238963090656965
32,1,37478,0.114948346397432,0.0923947278792395,0.214287961231704
33,1,39144,0.103276351696339,0.0920104735673851,0.262437735955903
34,1,41499,0.176391999138632,0.0914381379327188,0.0545215881713431
35,1,45359,-0.00724432637705327,0.154747502618664,0.962688063230987
36,1,45634,0.0513737245915202,0.14211435086494,0.717945202043815
37,1,51248,0.184367911417004,0.0917870430391383,0.0453355614214761
38,1,51462,0.155711789582981,0.0920629877558176,0.0916503692273684
39,1,52124,0.184960927446762,0.091783663156895,0.0446430370342972
40,1,52667,0.208783975060765,0.0914897660818777,0.0230811030484514
41,1,55470,0.168725964263231,0.0942433784510654,0.0742590715792987
42,1,59265,0.203835354420485,0.0914745535456616,0.0264880000154629
43,1,60165,0.241954991724167,0.0911407418061988,0.0082963768958529
44,1,62308,0.1129140356331,0.0917482070623873,0.219256469017818
45,1,62869,0.124341111439223,0.0916947644123834,0.175955497559971
46,1,65431,0.203969453176456,0.0953994335968276,0.0331983418408903
47,1,65451,0.21496720384648,0.0939596742180284,0.0227360469388805
48,1,65719,0.198707296178645,0.0981380658691805,0.0436430724732845
49,1,66841,0.193797635452889,0.0913963945544316,0.0346686672447837
50,1,66948,0.186010309957524,0.0920099701315044,0.043968476735643
51,1,68621,0.112870193680122,0.0920946518213567,0.221170423294222
52,1,69417,0.103944374481707,0.0918796459260365,0.258692559368089
53,1,69820,-0.126546372211718,0.360116045230306,0.725494612497238
54,1,69821,0.147700306296176,0.223338819705833,0.508833138235107
55,1,70906,-0.0465274192946324,0.147840502701922,0.753165040146363
56,1,74327,0.0485757292008063,0.0925160016273977,0.599876514159776
57,1,74572,0.0541218499431346,0.0922607579897636,0.55783502707544
58,1,75211,0.015578302871926,0.0921337211440841,0.865827717038899
59,1,76030,0.0561095527881007,0.0920890406885268,0.54271970596959
60,1,80108,0.143635278279326,0.0917978815264213,0.118551476540715
61,1,81262,0.0386556678895884,0.0920578543998649,0.674809402879176
62,1,81999,0.0312967783524307,0.0922906856379041,0.734727821972643
63,1,82431,0.0585774443847509,0.092690247668039,0.527815629997936
64,1,83284,0.00347009548395419,0.0920676085545011,0.969955571783095
65,1,83613,-0.00723250938098252,0.092056843667858,0.937422595017465
66,1,84112,0.0235948779597593,0.0920592284969365,0.797867678021466
67,1,84701,-0.0300418785565646,0.0985756523329318,0.760728833920935
68,1,84858,0.0148367615194913,0.0923242602738564,0.872419457631948
69,1,85751,-0.00125096365626108,0.0927071042035214,0.989241519225243
70,1,87445,0.00379815675498702,0.092902884573034,0.967412213457504
71,1,87467,0.00544560680570492,0.0933890067448426,0.953533896150964
72,1,89070,0.00597390198387889,0.0928044164436572,0.948711352516792
73,1,89616,-0.0594288578389051,0.0922515059042856,0.519861033652523
74,1,89679,-0.0170933089296662,0.0923129229355513,0.853204377701718
75,1,89880,-0.0300751945196714,0.0923269215251568,0.744808978935773
76,1,91472,-0.0265632687497684,0.093015478441662,0.775368074554307
77,1,93789,-0.0366207143708447,0.0920471595043804,0.690983230915072
78,1,94351,-0.0694557486249918,0.0922360479328065,0.451938751924243
79,1,99148,-0.0547536466501759,0.0920216596640589,0.552219172690997
80,1,101281,0.832788629258256,1.00594449067708,0.408304941208335
81,1,106011,-0.121689617653008,0.095733064667612,0.204517709749631
82,1,106800,-0.0560502106303175,0.0921437022592499,0.543385488663167
83,1,107970,-0.0551830508827575,0.0918719138769373,0.548457226771852
84,1,109000,0.0123565855479939,0.0920784939806385,0.893323894252409
85,1,112549,0.0255894911859841,0.091966521997302,0.780984980643005
86,1,112742,0.0174540691504994,0.0923302742555648,0.850170495807881
87,1,113050,0.0219456294674553,0.0921722131294733,0.811946511981109
88,1,113135,0.0152131887624775,0.0919412619415684,0.868671621902683
89,1,114076,-0.0254190303225364,0.0919348731415917,0.782333909179942
90,1,114628,-0.022841581971543,0.0921694140888659,0.804416444823355
91,1,116283,0.0180703400668535,0.0926851230181233,0.845532637341234
92,1,126880,-0.526759247936954,1.73890568180142,0.762124907687544
93,1,127853,-0.0153270969049132,0.0925139378272174,0.868508837016161
94,1,128302,-0.052739743504073,0.0921194023447868,0.5673375471198
95,1,128704,-0.0579862036865782,0.0922022617256216,0.529819841141762
96,1,128911,-0.0528989233250723,0.0922211422783064,0.56659734279213
97,1,130267,-0.058804904940323,0.0921672491596689,0.523871804171403
98,1,130271,-0.0534340024187619,0.0922860184463734,0.562955535812043
99,1,130613,-0.0445594762417401,0.0931624645644749,0.632733775060421
100,1,132012,-0.0723655018268518,0.0929150402269943,0.436598587212439
