SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.165287053797527,0.163428354564238,0.312530580830942
2,1,1035,0.236287599272751,0.164976787434445,0.152957877304103
3,1,1074,0.0684823792508098,0.279584295787811,0.806642441527847
4,1,1470,-0.17316586356519,0.27844865063244,0.534412262002664
5,1,1475,-0.0489347658636827,0.205620605572784,0.812030254800981
6,1,1491,-0.0270265652951358,0.179874140097687,0.880651107819127
7,1,21249,-2.3335590070042,1.02518677887778,0.0234307079357052
8,1,27243,-0.0993828102981846,0.140779959310807,0.480688402877687
9,1,27272,-0.0225607890650705,0.138758416196972,0.870933963370284
10,1,27498,-0.234600182971228,1.26709810725151,0.853219592619081
11,1,27561,0.792079481044641,0.956372956087691,0.40811008800108
12,1,27816,0.105689273357844,0.141483273743213,0.455555414848904
13,1,27822,0.109261659030264,0.141295471802642,0.439871276459989
14,1,27823,0.0935535040245949,0.144242022282535,0.517027039122329
15,1,27825,0.121789883133994,0.141266450958389,0.389201901728892
16,1,27843,0.116933807641953,0.135337384882484,0.388165232448103
17,1,27848,0.116933807641953,0.135337384882484,0.388165232448103
18,1,28495,0.128008934704841,0.135311186698926,0.344778537693866
19,1,28975,0.130877481933878,0.134396581494813,0.330814956841466
20,1,29283,-0.324563464057913,0.301098639573883,0.281800736763
21,1,29752,0.0943743638404309,0.3143925797385,0.764216556652725
22,1,29787,1.84048974498189,0.845162112818443,0.0300917478763174
23,1,30057,0.0791079430378758,0.275834291271884,0.774437419653964
24,1,30479,0.939447501424162,0.806773138656891,0.245027794028749
25,1,30706,0.0265912884172796,0.138977311210219,0.848372781397035
26,1,31435,0.0651486792171252,0.134175628706465,0.627589048420075
27,1,35128,0.230291652976544,0.184589473939994,0.213008892657311
28,1,35129,0.0674426408754081,0.185434981707295,0.716300016747163
29,1,36146,0.0062812595174408,0.133527911327055,0.962507312746832
30,1,37255,0.146116414808082,0.269405836814132,0.587909008114397
31,1,37409,0.112580829627376,0.134116508162785,0.401798646014008
32,1,37478,0.0884066935654224,0.134283289851622,0.510736231135048
33,1,39144,-0.0539968088311448,0.133721680548069,0.686604333699619
34,1,41499,-0.00229824100515466,0.133381504722744,0.986262399135078
35,1,45359,-0.285770438028984,0.224035908978494,0.202951133237773
36,1,45634,-0.327952947091855,0.205517463519271,0.111441137295373
37,1,51248,-0.18337598747612,0.133593239395064,0.170734417575803
38,1,51462,-0.16373395616729,0.133847528963868,0.22203725040656
39,1,52124,-0.172175339254741,0.133635456423748,0.198452093529957
40,1,52667,-0.273423811683148,0.132940449078423,0.0404458205590776
41,1,55470,-0.17051433720128,0.137073986377506,0.21434027050531
42,1,59265,-0.0651194800400566,0.133622213422274,0.626319741141516
