SNP,Chr,Pos,Effect,SE,PMC1_CTR2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0645807231659073,0.0798263665164071,0.419051487189435
2,1,1035,0.134491997601542,0.0804566278771934,0.0954876767814169
3,1,1074,-0.114099168488206,0.136367961019989,0.403326875935357
4,1,1470,-0.2890632308667,0.135138575146806,0.0331202386660759
5,1,1475,-0.298422423693003,0.0991264355983631,0.00279571526075437
6,1,1491,-0.215692997393674,0.0870627429071311,0.0137001582544527
7,1,21249,-0.523775426837888,0.503378828045759,0.298810797969159
8,1,27243,-0.0817282914352289,0.068638799647609,0.234571030377549
9,1,27272,-0.143983361053237,0.0673087749050179,0.0331093466353924
10,1,27498,-0.309761475407919,0.618400633299034,0.616748455160646
11,1,27561,0.344013321105948,0.466990614702918,0.461818404725816
12,1,27816,0.0120784469054137,0.0691229400652752,0.861385200188916
13,1,27822,0.0128011171512176,0.0690347108929976,0.85299815653406
14,1,27823,0.0171818208127714,0.0704541737585268,0.807471400807835
15,1,27825,0.0100239602637056,0.0690360114708991,0.884636620091447
16,1,27843,0.0270133877456034,0.0661251653508506,0.683140372289249
17,1,27848,0.0270133877456034,0.0661251653508506,0.683140372289249
18,1,28495,0.0339207463381029,0.0661172203421436,0.608244593239509
19,1,28975,0.0264682782103867,0.0656846395053492,0.687221634411951
20,1,29283,-0.0999374852535464,0.147140314682857,0.497457165276702
21,1,29752,-0.338384059511384,0.152444096505238,0.0270723096916149
22,1,29787,-0.256293371913663,0.415141699155365,0.537392949885064
23,1,30057,0.284646006856899,0.133821614704389,0.0341084383219875
24,1,30479,-0.0483671309994111,0.394609545175429,0.902517685082686
25,1,30706,0.0491755436721907,0.0678009774892658,0.46875310306624
26,1,31435,-0.00152504525650798,0.0655256248258378,0.981444838827882
27,1,35128,-0.0118641103381378,0.0903118135357524,0.89555879434211
28,1,35129,0.0535624080440806,0.0905004086038007,0.554331803808491
29,1,36146,-0.0410301573050791,0.0651512075597564,0.529253668627527
30,1,37255,0.00119540670123897,0.131577222650799,0.992756283120927
31,1,37409,-0.0291369099966698,0.0655219084009246,0.656816624275823
32,1,37478,-0.0407384026877667,0.0655607533880943,0.534748058895772
33,1,39144,-0.0571116794320258,0.0652264731601434,0.381848089857589
34,1,41499,-0.0434996782922247,0.0650749719561506,0.504280175000478
35,1,45359,-0.172734026459817,0.109238675109684,0.114715661997294
36,1,45634,-0.0645873163982378,0.100635028015965,0.521421156812936
37,1,51248,0.0570389667057985,0.0653228016511306,0.383155204826269
38,1,51462,0.0533440120923588,0.0654204023500768,0.415391315242954
39,1,52124,0.0444878652702474,0.0653504265914529,0.496470528480416
40,1,52667,-0.0305644844655178,0.0652682379391347,0.639866002897401
41,1,55470,0.025849436670153,0.0670511675398523,0.700085831450142
42,1,59265,0.0331401737073863,0.0652317283557381,0.611744248927447
43,1,60165,0.0242906800418581,0.0651934419173692,0.709674303518483
44,1,62308,0.0231411068567562,0.0651229010980668,0.722543267976017
45,1,62869,0.0322551534829268,0.0651037353652032,0.620596118095359
46,1,65431,0.0717902732189559,0.0679105903903936,0.291175488487456
47,1,65451,0.0965153276140907,0.066856498904611,0.149732976331663
48,1,65719,0.0670741161378394,0.0698332456619202,0.337466217503321
49,1,66841,0.12637799157489,0.064808932639521,0.051966367944457
50,1,66948,0.11774811150812,0.0652566887923393,0.0720233702185159
51,1,68621,0.074143440145592,0.0652601360864518,0.256676459810628
52,1,69417,0.0538707872490434,0.0651431901622116,0.408818592662541
53,1,69820,-0.0142722506185571,0.255152950088655,0.955424390469494
54,1,69821,0.197218012847948,0.157964844667927,0.212677940761776
55,1,70906,-0.0550812459210297,0.104705206708529,0.599176689350285
56,1,74327,-0.0438007792368165,0.0655232996158773,0.504266419032966
