SNP,Chr,Pos,Effect,SE,ERV25_RBD2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.19367534968096,0.172444791562447,0.26215186964788
2,1,1035,0.185970755608228,0.174361791038413,0.28689056634632
3,1,1074,0.187708073264993,0.294964412994266,0.524944232125987
4,1,1470,-0.181725890749874,0.293911633830694,0.536775596244217
5,1,1475,0.361164371223308,0.216202416791323,0.0957084457323533
6,1,1491,0.235131576351055,0.189455002590032,0.215394936528962
7,1,21249,-1.45147361576487,1.087282671005,0.182751321313243
8,1,27243,-0.132111753042067,0.14853541485327,0.374378108889621
9,1,27272,-0.12034205909952,0.146328477214016,0.411398542136866
10,1,27498,-1.27667445186218,1.33579271557566,0.339856176392195
11,1,27561,1.15975484734595,1.00856960617233,0.250963226175881
12,1,27816,0.163429586419656,0.149203917585214,0.274112806334721
13,1,27822,0.152435322894574,0.149046645738497,0.307133203318483
14,1,27823,0.148598255276699,0.152136444996928,0.329365127909834
15,1,27825,0.164131332420536,0.149011455091973,0.271443537101133
16,1,27843,0.0914599136763258,0.142920218228867,0.522628773093237
17,1,27848,0.0914599136763258,0.142920218228867,0.522628773093237
18,1,28495,0.0783090442732273,0.142944659568694,0.584156443954183
19,1,28975,0.116493123952526,0.141914119318815,0.412273992061931
20,1,29283,-0.392845445405513,0.317652654577518,0.217015481227757
21,1,29752,-0.0222890958899375,0.331889762261651,0.946493838087526
22,1,29787,0.235977443572269,0.897974995500495,0.792866954403462
23,1,30057,0.198444295583922,0.290992551096424,0.495713584140631
24,1,30479,0.92815364647251,0.851772601734887,0.276600496343934
25,1,30706,0.0937253434985335,0.146616927078666,0.523072807568626
26,1,31435,0.0661973508468847,0.141629327057393,0.640503106110776
27,1,35128,0.309078389262811,0.194573876766639,0.113071125515535
28,1,35129,0.0801817266825702,0.19572158518515,0.682294782690684
29,1,36146,-0.0689428017623631,0.140894843611495,0.624918383511541
30,1,37255,-0.113281206210015,0.284419413278065,0.690657738188025
31,1,37409,-0.0527711438277594,0.14167683732625,0.709762412603515
32,1,37478,-0.0520078826501674,0.141799475115402,0.714009868363284
33,1,39144,0.0272865581524492,0.141171830298459,0.846846044399286
34,1,41499,-0.0167652850779614,0.140784872644445,0.905276212243231
35,1,45359,-0.130106499193598,0.236918891496924,0.583242509297673
36,1,45634,-0.242430872308675,0.217327316058054,0.265390596548189
37,1,51248,-0.252233800020234,0.140748143833745,0.0739743149617811
38,1,51462,-0.261374105127059,0.14089354751357,0.0644129502580316
39,1,52124,-0.194157708637338,0.14100879758234,0.169409831821487
40,1,52667,-0.256259910137367,0.14049988451514,0.0690102157182395
41,1,55470,-0.287060316708644,0.144194735372035,0.0472754580084982
