SNP,Chr,Pos,Effect,SE,FMP45_MID2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0920413548454795,0.109899901452739,0.402877277994867
2,1,1035,0.125186607709912,0.111012744306707,0.260221908963446
3,1,1074,0.192791266442149,0.187661002431554,0.30496480206574
4,1,1470,-0.290625527448613,0.186624574274218,0.120301593412313
5,1,1475,-0.1138285233448,0.138088180555443,0.410315722320137
6,1,1491,-0.00519330671874174,0.120907741830083,0.965763571854295
7,1,21249,0.456940407324451,0.693701981174896,0.510518843640745
8,1,27243,-0.00266690762172916,0.0946933152948197,0.977547558886218
9,1,27272,-0.0370921117328604,0.0932504455512065,0.691041099046411
10,1,27498,1.14179733633249,0.849563126821896,0.179817439026751
11,1,27561,-0.569573508611638,0.642745333541832,0.376136017616111
12,1,27816,-0.0238267464550306,0.095166076678276,0.802446751634556
13,1,27822,-0.0196411836853486,0.0950478139944293,0.836406022845611
14,1,27823,-0.0185549402979256,0.0970064344723745,0.848419835724986
15,1,27825,-0.0228977068849291,0.0950457495736675,0.809762815056809
16,1,27843,0.00888511397229423,0.0910632802048501,0.92232851481242
17,1,27848,0.00888511397229423,0.0910632802048501,0.92232851481242
18,1,28495,-0.00704007629566059,0.0910652117454841,0.93842226566103
19,1,28975,0.021534204040074,0.0904499971628105,0.811958306216812
20,1,29283,0.0997296196696795,0.20264975205947,0.622934758861391
21,1,29752,-0.276074868474533,0.210837651845302,0.191244018109248
22,1,29787,-0.335865922254145,0.571607804695261,0.557189187194932
23,1,30057,-0.0879599959633248,0.185367250089223,0.635424360908176
24,1,30479,-0.173266575049256,0.543242822948446,0.749954082222162
25,1,30706,-0.0630380118720536,0.0933595553566177,0.499979582538493
26,1,31435,-0.034604992675071,0.0901987914445758,0.701466979143039
27,1,35128,-0.00476637821225312,0.124346628381198,0.969445137564961
28,1,35129,0.117184336650875,0.124509196802075,0.347261296149421
29,1,36146,-0.0370633032106716,0.0897307129914782,0.679820499825361
30,1,37255,0.083960724832409,0.181104120451181,0.643216697853354
31,1,37409,0.0603387910132569,0.090180507010577,0.50387600989953
32,1,37478,0.0495475612613577,0.0902767351700368,0.5834616365112
33,1,39144,0.110882108334443,0.0897091981951369,0.21727402566778
34,1,41499,0.153846192924147,0.0892790204794088,0.085726870572542
35,1,45359,-0.059926599678763,0.150900904025671,0.691514903116465
36,1,45634,-0.137995933222665,0.138443262195672,0.319559482598597
37,1,51248,0.0769051537484199,0.0899422570482129,0.393103251653676
38,1,51462,0.0744357121371584,0.0900703492701685,0.409125530110953
39,1,52124,0.0905738109024447,0.089906198793762,0.314420318262846
40,1,52667,0.111247458418182,0.0896958334714628,0.215697624128302
41,1,55470,-0.00614280117651438,0.0923367888849097,0.946996686037094
42,1,59265,-0.0222503048718131,0.0898379031375611,0.804532438861912
43,1,60165,-0.055122731513271,0.0897298632614774,0.539400483022977
44,1,62308,-0.0798565129023858,0.0895783001671942,0.373283440325573
45,1,62869,-0.037596441294742,0.0896454846219339,0.675186060238459
46,1,65431,-0.0267679330481987,0.0936382604630097,0.775148938503807
47,1,65451,-0.0071897042044328,0.0923204386569232,0.937969455403272
48,1,65719,-0.0170902084788045,0.0962696381267767,0.8591983326
49,1,66841,-0.0544969302933514,0.0896631709232616,0.543713494589056
50,1,66948,-0.0582666622189602,0.0902073440777945,0.518751300153617
51,1,68621,-0.0499582530076676,0.0899768371832246,0.579085880828689
52,1,69417,-0.0192820681031845,0.0897719488543806,0.830055503996142
53,1,69820,-0.238133879528629,0.351074606570187,0.498025942986975
54,1,69821,0.105795863425033,0.217897355134127,0.627601125638769
55,1,70906,-0.378027939006636,0.142807136829873,0.00848181684403327
56,1,74327,-0.0393959950386095,0.0902470505352162,0.662715500297935
57,1,74572,-0.0120021556021014,0.0900288090348175,0.894020539149576
58,1,75211,-0.033934251843803,0.0898488051152789,0.705894027729584
59,1,76030,0.0760570705842806,0.0897757357268421,0.397463449413917
60,1,80108,0.0476706605091604,0.0898098751134725,0.595894408163048
61,1,81262,0.00370253686419623,0.0898115262267012,0.967139327248982
62,1,81999,0.0345147237052049,0.090012331617297,0.70162111865232
63,1,82431,0.0491413945499058,0.0904194372703453,0.587140582127172
64,1,83284,0.0410057397715538,0.0897724887797259,0.648114428463655
65,1,83613,0.0769446396301311,0.0896956751894511,0.391562247947463
66,1,84112,0.121440603318883,0.0895660906116864,0.176005034034284
67,1,84701,0.0595748778990995,0.0961068579996616,0.535735628563064
68,1,84858,0.0976793264827251,0.0899022564099821,0.277996618083771
69,1,85751,0.0892594504552691,0.0902977048874675,0.323583984252065
70,1,87445,0.105097391445316,0.0904409195187237,0.245997887514885
71,1,87467,0.116481243056401,0.0908768817613377,0.200772357382039
72,1,89070,0.0654860591150031,0.0904508864222636,0.469547859383742
73,1,89616,0.0114912261022761,0.0900289978862931,0.898507215378223
74,1,89679,0.0117489234953784,0.090040304785513,0.896256921853435
75,1,89880,0.000334572382732407,0.0900652891688111,0.997038142720029
76,1,91472,0.0541127635332079,0.0906881029509175,0.551096262107033
77,1,93789,0.0632115864316052,0.0897359673603563,0.481637260003258
78,1,94351,0.0363795870519321,0.0900145269697445,0.686345398611873
79,1,99148,0.0545108649133901,0.0897521334210263,0.54400982950674
80,1,101281,0.582928622176255,0.981617337611538,0.552996082857355
81,1,106011,0.0231302048833215,0.0935793228921994,0.804918669001247
82,1,106800,0.0271069211212,0.0899085684357225,0.763215121284269
83,1,107970,0.0361881068681,0.0896330499596404,0.68665117993645
84,1,109000,0.0206021327247307,0.089805048167437,0.818683502706606
85,1,112549,0.0925074775254963,0.0895748569109287,0.302432919952814
86,1,112742,0.0613357088848077,0.0900003974655421,0.495998942388986
87,1,113050,0.0526895805515152,0.0898643322781636,0.5580327861965
88,1,113135,0.0463807830237958,0.0896450958402445,0.605213381625366
89,1,114076,0.0386512113320699,0.0896554802401492,0.666652848727288
90,1,114628,0.0838524278969844,0.0897951087913257,0.351035290262831
91,1,116283,0.0271722555947274,0.0903944303896182,0.763899107181551
92,1,126880,-1.4442680612883,1.69453248850287,0.394619584418541
93,1,127853,-0.0862450313687936,0.0901208424083717,0.339225640291679
94,1,128302,-0.136970580392793,0.0895949489941017,0.127215616889093
95,1,128704,-0.169467710446986,0.0895273093037235,0.0591867620249103
96,1,128911,-0.117159651777913,0.0897741847907423,0.192726435524652
97,1,130267,-0.0724613920192481,0.0898651167297667,0.420592577912155
98,1,130271,-0.0717402232281738,0.0899736083350706,0.425785290136146
