SNP,Chr,Pos,Effect,SE,ALO1_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.095437571665394,0.0718556626273214,0.184975277129463
2,1,1035,0.0966295932036842,0.072641200588392,0.184300862246063
3,1,1074,-0.013954717637473,0.123063570818744,0.90978235410256
4,1,1470,-0.325981371748375,0.121388960537165,0.00758570119004006
5,1,1475,-0.0765711774382032,0.0904166653643592,0.397641250840103
6,1,1491,-0.110485333418326,0.0789530786749551,0.162577270136589
7,1,21249,0.180198973820948,0.454420673403935,0.691941446169324
8,1,27243,-0.0193262387672952,0.0619976402506968,0.755433256751514
9,1,27272,-0.0264515557520495,0.0610587518809895,0.66512330840495
10,1,27498,-0.540896609160366,0.556980142199471,0.332151628587678
11,1,27561,-0.60049783729957,0.420129797332128,0.153798054207343
12,1,27816,0.0625526209611746,0.0622322107331682,0.31551378942523
13,1,27822,0.0588459177890949,0.0621631435480389,0.344471440186956
14,1,27823,0.0522819489434555,0.0634630704243725,0.410599855784429
15,1,27825,0.0563328670786797,0.0621697385212856,0.36549361047313
16,1,27843,0.0497692837150603,0.0595710585599341,0.4040234225857
17,1,27848,0.0497692837150603,0.0595710585599341,0.4040234225857
18,1,28495,0.0812164467678387,0.0594740047774914,0.17294067305018
19,1,28975,0.0424893904129703,0.0591891049021498,0.473319459243286
20,1,29283,-0.195808740733579,0.132332789557355,0.139853434315451
21,1,29752,-0.11010381838005,0.138269293267939,0.426392960281594
22,1,29787,-0.42782645510619,0.37378438273139,0.253158298113581
23,1,30057,0.209738144490149,0.120904721358556,0.0836598959124951
24,1,30479,0.484434203955206,0.354836388329863,0.17304936344631
25,1,30706,0.0515237251550852,0.0611107098420867,0.399731676834069
26,1,31435,0.0511152323114214,0.0590126790208719,0.386983225292379
27,1,35128,0.0402894907129907,0.081395307782236,0.620918359520599
28,1,35129,0.0951134498881991,0.0814749398600628,0.24383876393506
29,1,36146,0.0500904256842434,0.0587102386674766,0.394137800250046
30,1,37255,-0.00926203252914171,0.118623810829114,0.937809423434227
31,1,37409,0.0542341402509852,0.0590179553953972,0.358752840311173
32,1,37478,0.0498177844907288,0.0590798291106653,0.399671772600914
33,1,39144,-0.0194237729867931,0.0588603542473369,0.741597555541871
34,1,41499,0.00112848078525882,0.058706111126474,0.984674433975584
35,1,45359,0.111047285815932,0.0986565619916499,0.261101880015844
36,1,45634,-0.0370048317777867,0.0907601126250679,0.683725454013431
37,1,51248,-0.0132723350513984,0.0589517901294025,0.822001576191525
38,1,51462,-0.0158339170597666,0.0590299517027801,0.788674879882211
39,1,52124,-0.0438879644708122,0.0589097280293603,0.456765209813234
40,1,52667,-0.0646847369524947,0.0587607656146897,0.271727217157992
41,1,55470,-0.0505188410353519,0.0604035889249316,0.403521032141113
42,1,59265,-0.0446506188574864,0.0587838239435862,0.448016672951006
43,1,60165,-0.0260614302038158,0.0587710188797317,0.657719048632601
