SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.135811278518918,0.19640073303435,0.489705356944787
2,1,1035,0.167495138394382,0.198483668599543,0.39931150651097
3,1,1074,0.0352725845343009,0.335756340940363,0.916392537237653
4,1,1470,0.335874567366526,0.334074499358564,0.315398611234187
5,1,1475,0.248378303180212,0.24658096782686,0.314485857237965
6,1,1491,0.384094980603767,0.215035492028317,0.0749261266148157
7,1,21249,0.0329443269055423,1.24007498492845,0.978820585404687
8,1,27243,0.228392730533422,0.168734699429587,0.176742484382415
9,1,27272,0.169036060299085,0.166388373023763,0.310366753472811
10,1,27498,1.36157049597827,1.51991594560926,0.370959578518087
11,1,27561,1.18258776434957,1.14783160351243,0.303584047227053
12,1,27816,0.0902530408042757,0.169963647496584,0.595743159258151
13,1,27822,0.082410462824508,0.169758756321413,0.627653840857737
14,1,27823,0.0780214070373682,0.173263488343451,0.652766995583577
15,1,27825,0.096180136843917,0.169738236592581,0.571320237537502
16,1,27843,0.038893271857805,0.162675703583749,0.811178652560324
17,1,27848,0.038893271857805,0.162675703583749,0.811178652560324
18,1,28495,0.0683476155892558,0.1626508330056,0.674587225296123
19,1,28975,0.088014126510182,0.161536097904542,0.586195696955409
20,1,29283,-0.23282553538276,0.361950626760613,0.520478104648535
21,1,29752,-0.072079493495016,0.377560563900038,0.848707087532045
22,1,29787,2.42075130945562,1.01353329770687,0.0174455616243276
23,1,30057,0.0378333153420201,0.331262410502551,0.909136649056771
24,1,30479,0.91117048482695,0.969443570816067,0.347916590341114
25,1,30706,0.00604314291908883,0.166896393554087,0.971136217653341
26,1,31435,-0.0189504010886738,0.161172686988887,0.906468717161535
27,1,35128,0.311136792735634,0.22153052247475,0.161053075768216
28,1,35129,-0.00708111384949195,0.222717187423889,0.974654144190983
29,1,36146,-0.131533444165264,0.160191848041175,0.412143772890812
30,1,37255,-0.122578883728181,0.323579465036612,0.705048104326879
31,1,37409,-0.0716822113167043,0.161166561376994,0.656757840823799
32,1,37478,-0.0281627621608601,0.161343335154455,0.861531928000914
33,1,39144,0.051659441482543,0.160590478922134,0.747882244064532
34,1,41499,0.0670540344812426,0.160128740969768,0.675652950456866
35,1,45359,-0.152501791951006,0.26952601702032,0.571879212597022
36,1,45634,-0.0384578450963646,0.247671492308962,0.876691191697058
37,1,51248,-0.0323108278805009,0.16084106586657,0.840902877949337
38,1,51462,-0.0440689591952706,0.16105129420595,0.784526654603043
39,1,52124,-0.0183992120472213,0.160847278296425,0.908994207499391
40,1,52667,-0.00409659168754273,0.160592327164046,0.979663175372239
41,1,55470,-0.131331160025335,0.164814704555838,0.426078824434013
42,1,59265,-0.0131415818822039,0.160509935923583,0.934793355226838
43,1,60165,-0.00729295428006861,0.160389696912798,0.9637582253485
44,1,62308,-0.0460198515399702,0.160195047863348,0.774071187931524
45,1,62869,-0.0838229743681866,0.160131511661106,0.600980313067078
46,1,65431,-0.00174711177505771,0.167306279253701,0.991674064881827
47,1,65451,0.0232881526129054,0.164929382655535,0.887791896616612
48,1,65719,-0.0347666309582034,0.171985683357914,0.839917159375362
49,1,66841,-0.0140242005775881,0.160267409646241,0.930319724111365
50,1,66948,-0.0104799887622742,0.161251773895402,0.948217586291463
51,1,68621,-0.230390490425991,0.160347704837928,0.151655381495847
52,1,69417,-0.169117242661425,0.160137390698709,0.291655750262931
53,1,69820,-0.56349665744581,0.626894577891331,0.369334687617525
54,1,69821,-0.122273074898134,0.389354299241555,0.753675675378899
55,1,70906,-0.241807128787377,0.257326424370592,0.348019021604658
56,1,74327,-0.0850255139774984,0.161208472924228,0.598229231359531
57,1,74572,-0.0674228025679122,0.160802585317095,0.675259754755406
58,1,75211,-0.194980761648722,0.160213664051977,0.224415482740733
59,1,76030,0.0463145096326414,0.160530495105771,0.773126397149059
60,1,80108,0.0399156292055197,0.160497399640736,0.803737833689542
61,1,81262,0.0280472997490711,0.160443834325183,0.861328596303684
62,1,81999,0.00792937465914029,0.160842068645872,0.960708791350737
63,1,82431,-0.0364875234289027,0.161592339383617,0.821487781595799
64,1,83284,-0.000379290608521599,0.160428039965124,0.998114945573013
65,1,83613,0.0259194084437113,0.160404430803572,0.871722863816621
66,1,84112,0.0167274325283609,0.160425570779924,0.917015002010465
67,1,84701,-0.11400142436666,0.171683384534041,0.507110147016085
68,1,84858,-0.0211744075097598,0.160876871001308,0.895360862772702
69,1,85751,-0.0357979502259156,0.161530843878746,0.824740342152017
70,1,87445,-0.0608390732898651,0.161851180060234,0.707220643431491
71,1,87467,-0.0957059953630072,0.162651291084536,0.55663197030393
72,1,89070,-0.0174919903498515,0.16170987457065,0.913923115856081
73,1,89616,-0.0415335688039202,0.160827430406017,0.796365025169237
74,1,89679,0.00312357077729586,0.160862904316273,0.984518944568949
75,1,89880,0.00519354919123619,0.160903511773451,0.9742690633268
