SNP,Chr,Pos,Effect,SE,ERG11_HYR1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0671060941454741,0.0760628555948307,0.378244553610228
2,1,1035,0.0651715597579766,0.0769015152527935,0.39730863095596
3,1,1074,-0.0955257590018592,0.129990890937059,0.462909605225782
4,1,1470,-0.114618900531344,0.129478172174129,0.376631283501356
5,1,1475,-0.0436269613564237,0.0956464182403938,0.648578787071208
6,1,1491,-0.108389428867747,0.0834917450464952,0.195064319914358
7,1,21249,0.390312568110745,0.480016199958422,0.416695194037429
8,1,27243,-0.0185594547344053,0.0655379785646684,0.777200061398117
9,1,27272,-0.0346011830647357,0.0645348069651445,0.592183514255825
10,1,27498,0.0767683572267998,0.589543808882639,0.896469277202034
11,1,27561,0.411118158389724,0.444855810610498,0.356034059903891
12,1,27816,-0.0474041507789501,0.0658301030531729,0.471940947574745
13,1,27822,-0.0430195123229493,0.0657548535305819,0.513382639645627
14,1,27823,-0.052668154191356,0.0670913986553794,0.432967809709646
15,1,27825,-0.0500815071809367,0.065740689198622,0.446685772844539
16,1,27843,-0.0467816340300002,0.0629843433100946,0.458126907471947
17,1,27848,-0.0467816340300002,0.0629843433100946,0.458126907471947
18,1,28495,-0.0337856123567343,0.0630089067411491,0.592155459212026
19,1,28975,-0.0657655947452751,0.0625152926682213,0.293522760730189
20,1,29283,-0.191105729198819,0.139950205870331,0.172957087026913
21,1,29752,-0.136614414541772,0.146111965996479,0.350428423569965
22,1,29787,-0.44435882453878,0.395144968460876,0.2615454132726
23,1,30057,0.117007059076101,0.128198280503637,0.362021251295062
24,1,30479,0.215486491379716,0.375904108288754,0.566841397871239
25,1,30706,-0.0211337318920432,0.0646540735221156,0.743956963664698
26,1,31435,-0.0306552677577153,0.0624260004837259,0.623685129322788
27,1,35128,-0.0166891103350804,0.0860665405978288,0.846358366536986
28,1,35129,-0.0444612856293886,0.0862590829229057,0.606569007016668
29,1,36146,-0.018840167964583,0.0621172214809439,0.761839737763576
30,1,37255,-0.139780181648717,0.125174925697815,0.264891200579598
31,1,37409,-0.00115761070169643,0.0624611871875778,0.985223898882299
32,1,37478,-0.00642560667521748,0.0625139762425284,0.918190609640953
33,1,39144,-0.000918089513202715,0.0622296210968738,0.988237366678
34,1,41499,-0.0187876927500729,0.0620489719709075,0.762229670180465
35,1,45359,-0.192598598431034,0.103970636257863,0.0647983062351933
36,1,45634,0.0055505731795823,0.0959627411393592,0.953908071000527
37,1,51248,-0.00223682617525379,0.0623210588839757,0.971388778545399
38,1,51462,-0.00134468955504709,0.0624056395743963,0.982821035596952
39,1,52124,0.0152251862148522,0.0623159039032226,0.807122896634079
40,1,52667,-0.0211868803388642,0.0622110751129076,0.733634084172233
41,1,55470,-0.0502860228899822,0.063858532454935,0.43154119587478
42,1,59265,0.0100131924416163,0.0621876216527289,0.872173030284798
43,1,60165,0.0633843003913829,0.0620512698995987,0.307725318277369
44,1,62308,0.0282908253598255,0.0620563010312384,0.648749655263718
45,1,62869,0.0240355021748399,0.0620535851357276,0.698741919811728
46,1,65431,0.0265171754869634,0.0648071905499854,0.682662857014812
47,1,65451,0.00811266321062277,0.063901968056407,0.899048437160668
48,1,65719,0.0401205259567468,0.0666052091426526,0.54731914021859
49,1,66841,0.0246525080803671,0.0620821574427084,0.691537460125654
50,1,66948,0.0266352608655444,0.0624610266768831,0.670054408018559
51,1,68621,-0.00167035653810785,0.0623077971615485,0.978627904436205
52,1,69417,-0.0113441758845116,0.0621399770770904,0.855249311220426
53,1,69820,-0.295801785759629,0.242656891290377,0.22365340513111
54,1,69821,0.078615131471778,0.150817731869956,0.602513065862613
55,1,70906,-0.0619962160210688,0.0997707765380666,0.534746395601428
56,1,74327,-0.00787337509925874,0.0624831622358557,0.899797369235721
57,1,74572,-0.00604118325350197,0.0623173841176694,0.922827324801648
58,1,75211,-0.00174866670539021,0.0622045434533634,0.977589060550085
59,1,76030,0.0509954398243126,0.0621453693715126,0.412437553756958
60,1,80108,-0.00791858617445259,0.062188477141141,0.89875009808688
61,1,81262,-0.0743369578889915,0.0620403599663503,0.231641761151534
62,1,81999,-0.0770895064986443,0.0621829932234369,0.215902449415251
63,1,82431,-0.0636412588127467,0.062521520944509,0.309418033858224
64,1,83284,-0.0869501085231471,0.0619850628339794,0.16156757953155
65,1,83613,-0.0612994084455141,0.0620650393746251,0.323993690789952
66,1,84112,-0.0747664358733091,0.0620300701676907,0.228884966489132
67,1,84701,-0.0800928578932565,0.0664233278550568,0.228704477124935
68,1,84858,-0.0481356456105703,0.0622803389066246,0.440106634139055
69,1,85751,-0.0545751069483648,0.0625217773974823,0.383312290684748
70,1,87445,-0.0601540661679163,0.0626397572692712,0.337552660582239
71,1,87467,-0.0645509589749371,0.0629561985790177,0.305909006569182
72,1,89070,-0.0404205712938657,0.0626183211926396,0.519017964883769
73,1,89616,-0.0494585471493352,0.0622625903224907,0.427522985239952
74,1,89679,-0.0136176505526791,0.0623218906579019,0.827161858546828
75,1,89880,-0.0161732193747258,0.0623359538282097,0.795437366431596
76,1,91472,-0.0216789772107604,0.0627940471851424,0.730120050230787
77,1,93789,-0.0353781549246735,0.0621290568674514,0.569426457519143
78,1,94351,-0.0380739686207931,0.0622882168794385,0.541424356715461
79,1,99148,-0.0191435938027727,0.0621492331130773,0.758244048607776
80,1,101281,-0.138509094244832,0.679760719111129,0.83865725914437
81,1,106011,-0.0119952397346299,0.0647767183086845,0.853195572311769
82,1,106800,0.0392509250447499,0.0622063580722401,0.528462369156257
83,1,107970,0.0116306078228612,0.0620539414908193,0.851433237764982
84,1,109000,0.00340485676690487,0.0621661303838815,0.956352457404049
85,1,112549,-0.0571190045058969,0.0620215566965711,0.357703363493613
86,1,112742,-0.0488916160449486,0.0622836103631988,0.432989654058852
87,1,113050,-0.0410028129603956,0.0621948010098661,0.51015588811529
88,1,113135,-0.0578834540884336,0.0619980673239678,0.351131303773513
89,1,114076,-0.019294395213277,0.0620660715478366,0.756083968784728
90,1,114628,-0.0506815735154839,0.0621731135345718,0.415525416695149
91,1,116283,-0.00500714075761075,0.0625771628032945,0.936270298926964
92,1,126880,-0.784877618524909,1.17339384809747,0.503999470759464
93,1,127853,-0.0334276413627054,0.0624358730345199,0.592716231555544
94,1,128302,-0.0256120890143358,0.0622063597611767,0.680788812268189
95,1,128704,-0.0445119384986812,0.0622381563647573,0.474966063007748
96,1,128911,-0.0241495993505618,0.0622768614872039,0.698414019196509
97,1,130267,-0.0909349479159932,0.0620721891440184,0.143814533135869
98,1,130271,-0.085650239228558,0.0621675741038302,0.169158919790692
99,1,130613,-0.066371401355162,0.0628177553687711,0.29143008525745
100,1,132012,-0.115847859898078,0.0624799452775044,0.0645500706278315
101,1,133231,-0.131215924846688,0.0619454973247702,0.0348523826261323
102,1,137074,-0.112001323069483,0.0619631981998616,0.0715283387729273
103,1,137304,-0.113284158594514,0.0619783304941801,0.06842311564137
104,1,139686,-0.139588004253285,0.0619085539642446,0.0247616549866127
105,1,149562,-0.112917663483778,0.0622053536616286,0.0703354488134087
106,1,150447,-0.11955002073072,0.0628670284203384,0.0580330725968099
107,1,151446,-0.361814825977282,0.125473411306182,0.00417267456193084
108,1,154084,-0.114281671496456,0.0630909045687631,0.0709316868658306
109,1,156633,-0.107502137587889,0.063997143896751,0.093881784872661
110,1,157269,-0.10970721286015,0.0619585391701966,0.077481011739875
111,1,160054,-0.120558169776279,0.0624957953332226,0.0545247218033323
112,1,166222,-0.123385323337838,0.0620129186190529,0.0473983636216355
113,1,166416,-0.125534072591398,0.0618733663483369,0.0432199132469249
114,1,167326,-0.109731909277788,0.0623136161535748,0.0791106340396918
115,1,168836,-0.127222376499256,0.0619209838565073,0.0406541090342714
116,1,171200,-0.106137068725085,0.0621271054809903,0.0884438351921226
117,1,171431,-0.119786794839796,0.0624482587871439,0.0558950500127837
118,1,173339,-0.15454302721113,0.0617391779708389,0.0127600949963676
119,1,173845,-0.166750662763406,0.0615969645417279,0.00711684800975636
120,1,175121,-0.146218250900062,0.0616201853765323,0.0181843530326353
121,1,175281,-0.152978992289185,0.0616269219944007,0.0135165466574724
122,1,175315,-0.157263391014256,0.0615766159334768,0.011070409953864
123,1,175523,-0.163021892856663,0.0618897376406576,0.00880820732089673
124,1,175541,-0.155557753014801,0.0616868036041858,0.0121172058174052
125,1,175653,-0.169421716790023,0.06178230387423,0.00641320528493953
126,1,175805,-0.200243173726341,0.0651016971048453,0.00226280657805695
127,1,175818,-0.20100956057177,0.0635586379528151,0.00169930037441889
128,1,175856,-0.144225954602237,0.0630017226909754,0.0226553747065871
129,1,175876,-0.150766367183969,0.0619776878381199,0.0154874492829227
130,1,175989,-0.157774918976306,0.0621081839267657,0.0115028372797404
131,1,176001,-0.160105269313185,0.0624209033392609,0.0107323712959177
132,1,176451,-0.152680667055562,0.0632371683998158,0.0162685807014042
133,1,177692,-0.142887993238622,0.0616757881721058,0.0210886737867711
134,1,178191,-0.139274097778334,0.061761347970052,0.0247431623218252
135,1,178224,-0.142887993238622,0.0616757881721058,0.0210886737867711
136,1,178960,-0.153576513098946,0.0621036131563075,0.0138721730969795
137,1,179139,-0.299632576730557,0.123120566820536,0.0154429108403902
138,1,179139,-0.359321613777511,0.249307267493065,0.150392028807663
139,1,180955,-0.21114442460648,0.0710522866022523,0.00316488058210129
140,1,183802,-0.135173390056429,0.0617329111547549,0.0292037946289675
141,1,183954,-0.154794851012137,0.062058702410114,0.0130762144661471
142,1,184450,-0.139610393911354,0.0616085842283488,0.0240510268308105
143,1,184641,-0.135851831935367,0.0634502646433756,0.0329523116378412
144,1,184718,-0.124444585316023,0.0620551789986377,0.0456846931664428
145,1,185296,-0.116417696800401,0.0618332218008349,0.0605537732642435
146,1,185438,-0.0997059517748227,0.0619188479092107,0.108233132438957
147,1,185469,-0.104224029738633,0.0619878153017755,0.0935768565792381
148,1,185503,-0.107921924838477,0.0618082284239359,0.0816674926794479
149,1,185705,-0.110902728536649,0.0624901710184102,0.0768054164251652
150,1,185749,-0.119881415361515,0.0624431853209436,0.0556827889601384
151,1,185806,-0.0850587344406343,0.0626888899414848,0.175699365945592
152,1,185879,-0.125599198161478,0.0628010636459059,0.046271088420945
153,1,185916,-0.116958492914391,0.0628194520051218,0.0634593475325331
154,1,185941,-0.125250803766517,0.0630506797153725,0.0477495817095351
155,1,185954,-0.11540293761193,0.0632899318082626,0.0690881948599874
156,1,186055,-0.112118689389266,0.0620318384763751,0.0715452119411166
157,1,186896,-0.104099857175192,0.0630970985612556,0.0998659969258858
158,1,187697,-0.00525805455293371,0.129175622729545,0.967554329231532
159,1,189392,0.195409456370877,0.129435994634782,0.132014666545487
160,1,189416,0.175267370512104,0.125262417760521,0.162630618495198
161,1,190132,0.0171925052881214,0.0623905537026587,0.7830452478188
162,1,190148,0.0117911783593692,0.0624129273310033,0.850262479083027
163,1,190165,0.0166121389390207,0.0628894873927702,0.791819942725599
164,1,190169,0.0148183721512527,0.062812318885589,0.813635395804104
165,1,190933,-0.0711781296909532,0.0621925822936529,0.25320029569097
166,1,192149,-0.140105564192811,0.0623730840241883,0.0253057942361961
167,1,192302,0.0897032075791425,0.0828050069088236,0.279411757676379
168,1,192303,0.0284528234239332,0.0748723112163294,0.704160617732224
169,1,192305,0.0609906548878042,0.0777537486225364,0.433326861787525
170,1,192315,0.00595770690882991,0.0882810148008063,0.946233245691071
171,1,192795,-0.139842600714061,0.0617428944953885,0.0241234162404715
172,1,194020,-0.0374601052487585,0.0654743725364112,0.567595459950837
173,1,194187,-0.0473473563291021,0.0621903912249957,0.44696880494743
174,1,194867,-0.0159549021617149,0.0622017594599777,0.797712332127746
175,1,197325,-0.0747817474037388,0.0636010919576275,0.240469802717412
176,1,197392,-0.0744611373757037,0.0644228481359847,0.248536977405481
177,1,198857,-0.341957394727169,0.297729426765302,0.251518908754445
178,1,206666,-0.0425292305726855,0.0699254469326391,0.543440516373137
179,1,206675,0.0626361351725402,0.0910234660177644,0.491821768834476
180,1,223051,0.0398022212967979,0.0720588738308447,0.581053360833468
181,1,223059,-0.0144003826583375,0.0748537680353997,0.847555028079546
182,2,7366,0.173522422777065,0.0897498774023621,0.0539862441464471
183,2,8180,-0.213594534600679,0.123698060534033,0.0850890000996077
184,2,8187,-0.172387018377683,0.128849660019746,0.181792659910004
185,2,8250,-0.210840168421378,0.126769050649024,0.0971632785258559
186,2,8253,-0.228150577066924,0.126684114951072,0.072565597790092
187,2,8285,-0.0540137990966677,0.0689372674312212,0.433846583802035
188,2,8302,-0.0745028802124024,0.0644639201868543,0.24857328975114
189,2,8306,-0.0745028802124024,0.0644639201868543,0.24857328975114
190,2,8314,-0.0923922641052017,0.0630694073687697,0.143830080206715
191,2,8317,-0.0789995365236363,0.0645667959918006,0.22194494087691
192,2,8328,-0.0581758342821916,0.0643396229719767,0.366506449628674
193,2,8331,-0.0638090781731826,0.0642032271238001,0.320971351880294
194,2,8498,-0.0607011382005386,0.063085505397088,0.336605682328434
195,2,8651,-0.0500361512352268,0.0631712137022598,0.428850626577881
196,2,9418,0.0460098591031211,0.160784948683207,0.774925161910863
197,2,9812,-0.055389005670702,0.0635346494138808,0.383914348880427
198,2,9932,-0.0478405010717528,0.0633011387140092,0.450296803300364
199,2,10135,-0.0399909058398135,0.0630738095902936,0.526469618233702
200,2,11616,-0.0849246679281786,0.0628804774071554,0.177697449750712
201,2,12133,-0.0537300427116532,0.0632287125119995,0.396027352333028
202,2,12194,-0.0539154524289114,0.0634732653314223,0.396223397399985
203,2,12359,-0.0452399124213675,0.0633065549198901,0.475318313006049
204,2,13061,-0.0629290552730132,0.0632590605935194,0.320523086696312
205,2,14298,-0.0484911601936684,0.063495077597314,0.445556451728469
206,2,15222,-0.0849470966161126,0.0640077051360399,0.185320576458476
207,2,17986,-0.0719950671850819,0.0629261635411039,0.25334919490078
208,2,19770,-0.0808661980161298,0.0633325175334982,0.202494081334287
209,2,19836,-0.0743486009332056,0.0631803999341958,0.240081461260604
210,2,19851,-0.067659542148171,0.0633873373291344,0.286521408725807
211,2,21595,-0.0768952404506349,0.0630947246275177,0.223761675557377
212,2,22385,-0.0858555739347836,0.0631219625268192,0.174649245362405
213,2,23441,-0.0881834550799423,0.0637292308443354,0.167318324946519
214,2,24209,-0.0856246120321058,0.0632115857877265,0.176420469516717
215,2,24341,-0.0622164109833171,0.063439192449725,0.327399965423028
216,2,26815,-0.0818805285490189,0.063299590017385,0.196670267850682
217,2,28209,-0.0597380497429913,0.0633910963374394,0.346646248782162
218,2,28695,-0.0295111547950945,0.0662904510211885,0.656462850745581
219,2,35849,0.428198275817964,0.679418550875794,0.528943860253578
220,2,35850,-0.998830236436939,0.829707526400908,0.229460326420318
221,2,41245,-0.0513267935639139,0.0631682803023057,0.417029121058724
222,2,43214,-0.0383993889932815,0.0642199026015056,0.550266075068251
223,2,47104,-0.0804232116589653,0.062314372805195,0.197685511006308
224,2,50915,-0.0317397458579603,0.0630522892678489,0.615005693881596
225,2,55834,-0.0374995329951593,0.0627517251212982,0.550499561291238
226,2,56422,-0.0523639707010756,0.0628339217759916,0.40519902222103
227,2,57715,-0.0423019775087976,0.062647925443426,0.499969478446207
