SNP,Chr,Pos,Effect,SE,FMP45_HNM1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0929141527872281,0.0541817351513115,0.0872483141191233
2,1,1035,0.0727195456408722,0.054865811019029,0.185893263558227
3,1,1074,0.0627939694896034,0.092889674197596,0.499479527064864
4,1,1470,-0.0558064783184218,0.0925674129378184,0.546979686300137
5,1,1475,-0.0389874985104131,0.0683281999818907,0.568639520639169
6,1,1491,-0.0364663252908586,0.0597657562464421,0.542152274257205
7,1,21249,0.167438307863834,0.343177931277779,0.625919868591797
8,1,27243,0.038182615108025,0.0467882269950696,0.415008639972677
9,1,27272,-0.0335989842602091,0.0460943497807243,0.466535368487721
10,1,27498,-0.194058087157566,0.421113757828858,0.645210765733159
11,1,27561,0.186762420088674,0.318079405775616,0.557473888452978
12,1,27816,0.0304327952050061,0.0470424027950099,0.518102442411029
13,1,27822,0.0280012513415346,0.046986826117685,0.551598329180293
14,1,27823,0.0353436969268314,0.0479418778890515,0.461478472013925
15,1,27825,0.0282089493132302,0.046986474178027,0.548649446629695
16,1,27843,0.040986618944861,0.0449847332643528,0.362852392441957
17,1,27848,0.040986618944861,0.0449847332643528,0.362852392441957
18,1,28495,0.0440415521932529,0.0449772838563643,0.32815400667749
19,1,28975,0.0498869765612066,0.0446584061892864,0.264720199730039
20,1,29283,-0.129376457433381,0.100021716072304,0.196689586298322
21,1,29752,-0.0835086606142648,0.104431955879496,0.424453326258212
22,1,29787,-0.33112256667284,0.282287561389589,0.241587769370546
23,1,30057,0.206071893059249,0.0910476965193452,0.0242214761654671
24,1,30479,-0.305905067121408,0.268215534468658,0.254843105591421
25,1,30706,0.0416845201597516,0.0461491614607527,0.367005850075585
26,1,31435,0.0234565695938028,0.0446012707343736,0.599276059475775
27,1,35128,0.0339653786411915,0.0614714221098843,0.580928583142042
28,1,35129,-0.0202206809486163,0.0616460903920836,0.743096766916488
29,1,36146,0.0205755610853168,0.0443751565213886,0.643167831081959
30,1,37255,0.0480240355226433,0.0895591087430931,0.59213923277515
31,1,37409,0.0439295636797801,0.0445673804094199,0.324961008231341
32,1,37478,0.0315773257131531,0.0446354045609322,0.479753539195073
33,1,39144,0.0380019795491691,0.0444171794594008,0.392816342913038
34,1,41499,0.0429462707762706,0.0442809197193081,0.33278057781738
35,1,45359,-0.0754085053342552,0.0745394588399751,0.312394102422548
36,1,45634,0.00171448695569065,0.0685658439849785,0.980065127438244
37,1,51248,0.0562191854626129,0.0444279579168877,0.206562197123352
38,1,51462,0.0501030125468174,0.0445091747290194,0.261066449139247
39,1,52124,0.0521409753711797,0.044442044619233,0.241492495315368
40,1,52667,0.0400926049576322,0.0444060027665855,0.367213465552923
41,1,55470,0.0353757044127699,0.0456282811415388,0.438680196293228
42,1,59265,0.0460756783733449,0.0443670931549118,0.299743410052117
43,1,60165,0.0528516854150151,0.0443120419649225,0.233781670376418
44,1,62308,0.0160698982514688,0.0443441601961444,0.717277168338619
45,1,62869,0.018401496551576,0.0443360209824141,0.678360231129329
46,1,65431,0.0361785965913566,0.0462758071703384,0.434854011895063
47,1,65451,0.0414050417750108,0.0456059183569077,0.364557050883049
48,1,65719,0.0473729512637442,0.0475472058477726,0.319769812953571
49,1,66841,0.031801913076768,0.0443354385943342,0.47366194561646
50,1,66948,0.0228353730737042,0.0446234790877207,0.609156816813
51,1,68621,0.0529731000149295,0.0444297262140423,0.233948588007728
52,1,69417,0.047044635716938,0.0443305810262695,0.289314047331873
53,1,69820,-0.0162532910717132,0.173741249313964,0.925520629669972
54,1,69821,0.149729884196357,0.107506075995758,0.164569715394582
55,1,70906,-0.0801532129990772,0.0711977086105001,0.261021927562707
56,1,74327,-0.0106854880700284,0.0446417318561796,0.810964610770332
57,1,74572,-0.001978760444804,0.0445263697793674,0.964578652105054
58,1,75211,0.00378066480261049,0.0444448709788266,0.932258621003662
59,1,76030,0.019588847460085,0.0444330959283638,0.659583038478794
60,1,80108,-0.0205926137667033,0.0444212982476615,0.643237805114146
61,1,81262,-0.07607559338807,0.0442330788275015,0.0863307069456235
62,1,81999,-0.0601280314235574,0.0444113367019993,0.176637859747262
63,1,82431,-0.0514126029495323,0.0446535042068578,0.250360234690736
64,1,83284,-0.0692181523539207,0.0442586559186578,0.118726229679242
65,1,83613,-0.0580689500761366,0.0442991445655921,0.190765028169369
66,1,84112,-0.059836147490264,0.0442973883902069,0.17763026181254
67,1,84701,-0.0664691598814096,0.0474254737620971,0.161928355029179
68,1,84858,-0.052431999671245,0.0444495510689298,0.238959884929513
69,1,85751,-0.0460188281847858,0.0446530014542822,0.303439860969563
70,1,87445,-0.0259367749735723,0.0447933952868127,0.562937388550659
71,1,87467,-0.0240316036871151,0.0450311074149532,0.593908003232664
72,1,89070,-0.0288412354061329,0.0447409937152483,0.519587862100318
73,1,89616,-0.0349209052178689,0.0444876849208415,0.433005451985752
74,1,89679,-0.022122390952612,0.0445165637899978,0.619535490022391
75,1,89880,-0.0343653719215228,0.0445058466088024,0.440539797120031
76,1,91472,-0.0313370646503762,0.0448430448352115,0.485126792239241
77,1,93789,-0.0370626340664059,0.0443678934117014,0.404086782874407
78,1,94351,-0.0311447803262318,0.0444977427392989,0.484439379493243
79,1,99148,-0.0215655267156727,0.0443968896402883,0.627449982431107
80,1,101281,0.683697909792202,0.484353968631665,0.158958405976512
81,1,106011,-0.0460442132647946,0.0462204248369836,0.319841380419693
82,1,106800,0.00277860781305842,0.044471385105888,0.950215312139997
83,1,107970,0.0115692116417821,0.0443356015056033,0.794286076746461
84,1,109000,-0.013639164564695,0.0444120867220691,0.758944699129373
