SNP,Chr,Pos,Effect,SE,RET2_EMP70_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.109883693018209,0.121691658066305,0.367158537743652
2,1,1035,0.0516694961908918,0.123134244138441,0.675018901872726
3,1,1074,-0.000253948899366918,0.208140095956286,0.999027201338643
4,1,1470,-0.101580196115405,0.207320068798515,0.624460922783341
5,1,1475,0.232960241399281,0.152573157922457,0.12768741363396
6,1,1491,0.115088240543744,0.133762318695087,0.39015610095941
7,1,21249,-0.205594503833471,0.768650856397091,0.789260051364479
8,1,27243,-0.0878319330626844,0.104766233324513,0.402395249850743
9,1,27272,-0.0568105778173966,0.103251298010533,0.582518803767453
10,1,27498,-1.04963389694706,0.941617169750674,0.265731320742276
11,1,27561,0.912260819812308,0.710958818582059,0.200284253464449
12,1,27816,-0.0175827215542385,0.105399136060235,0.867606915929326
13,1,27822,-0.0131549323470387,0.105266998459243,0.900620575088632
14,1,27823,-0.0177285363994583,0.107433504576701,0.869023727128934
15,1,27825,-0.000630773536454132,0.105269321601695,0.995222490908862
16,1,27843,-0.0213003327507995,0.100845181263425,0.832838931132296
17,1,27848,-0.0213003327507995,0.100845181263425,0.832838931132296
18,1,28495,-0.0254893948540018,0.100844061340483,0.800600418352957
19,1,28975,-0.0458907271246165,0.10014926019506,0.64707395724242
20,1,29283,-0.0264760139536513,0.224501837337557,0.906188389520018
21,1,29752,0.107460854402435,0.233993656012293,0.646339565812767
22,1,29787,2.4362622455389,0.619934121509661,0.00010227247853996
23,1,30057,0.0493991917227614,0.205337996881173,0.810024173276253
24,1,30479,0.32131094371609,0.601470779693626,0.593533391850903
25,1,30706,-0.0452165904739351,0.103432010872014,0.662260858559289
26,1,31435,-0.0489331830249154,0.0998796679915012,0.624493880888825
27,1,35128,0.173500458224938,0.137400946922823,0.207519299530823
28,1,35129,0.0397430300387969,0.138047363012326,0.773596704810859
29,1,36146,-0.108798036317963,0.0992296010394544,0.273639273506161
30,1,37255,-0.0814365958451528,0.200582285665987,0.684987907665569
31,1,37409,-0.0625908706061993,0.0998803140761688,0.531288008809918
32,1,37478,-0.0658660604491622,0.0999603092646404,0.510375345053666
33,1,39144,-0.0305555288453891,0.0995520565566629,0.759077506696562
34,1,41499,0.00567187252925488,0.0992887084758639,0.954477902149683
35,1,45359,-0.273629657523445,0.166520458094356,0.1012279020373
36,1,45634,-0.220500770727782,0.153088702510503,0.150655718431138
37,1,51248,-0.171070118705599,0.0992952016035463,0.0857925596097078
38,1,51462,-0.164108605876252,0.0994642119700398,0.09984751492041
39,1,52124,-0.158913742841796,0.0993524072335622,0.110605117447212
40,1,52667,-0.17329041657128,0.0991238035956398,0.0812949294787463
41,1,55470,-0.13726135305337,0.101999914171,0.179262749325959
42,1,59265,-0.153833546097687,0.0991643193790232,0.121726011342494
43,1,60165,-0.145749157313155,0.0991234875924671,0.142349722150229
44,1,62308,-0.0708113234141273,0.0992456897786625,0.476010821090924
45,1,62869,-0.0573111869758144,0.0992578927199568,0.564039528508513
46,1,65431,-0.0768100953963732,0.103633314198974,0.459082012297777
47,1,65451,-0.0571520098936709,0.102198081515436,0.576360869248548
48,1,65719,-0.0545990925188335,0.106581247620712,0.608777711851016
49,1,66841,-0.0277214183015458,0.0993405979819873,0.780366588301058
50,1,66948,-0.0483428896638254,0.0999281660655309,0.628844521531286
51,1,68621,-0.199019121878491,0.0991261215948337,0.0454329443597719
52,1,69417,-0.147889710732738,0.0991145054913861,0.136563537569389
53,1,69820,0.235820332282757,0.388856699113349,0.544608867155388
54,1,69821,-0.108009607426567,0.241327705933602,0.654742368142872
55,1,70906,-0.183475341056511,0.159418362586532,0.250550436431232
