SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.00278705298097487,0.0699161927108108,0.96822506946802
2,1,1035,0.00888038405706146,0.0706796488130295,0.900086262549085
3,1,1074,-0.0341010275196263,0.119432511116581,0.7754090338387
4,1,1470,-0.410962286061913,0.116988905624078,0.000500963339952424
5,1,1475,-0.181861713708773,0.0873116016087244,0.0379792997072876
6,1,1491,-0.161326704581442,0.0763619936425488,0.0353318144841247
7,1,21249,-0.0096146057012918,0.441153556032717,0.982624404217423
8,1,27243,0.0154835909078244,0.060176855640901,0.79709600653103
9,1,27272,-0.00547916165313134,0.059277976446966,0.926407521217116
10,1,27498,0.425838840693282,0.540845652385268,0.431600987366708
11,1,27561,-0.0557690172761709,0.408940777880665,0.891603120151318
12,1,27816,-0.0329514453862816,0.0604628336539955,0.586106750273421
13,1,27822,-0.0493319411208155,0.0603542992695336,0.414266942901587
14,1,27823,-0.0496381671876213,0.0615990999983752,0.420885576361889
15,1,27825,-0.0564546058326283,0.0603366135120618,0.350087482688961
16,1,27843,-0.0370550305262117,0.0578425250588785,0.522185773393607
17,1,27848,-0.0370550305262117,0.0578425250588785,0.522185773393607
18,1,28495,0.0063736691382614,0.0578760816792063,0.912371923033355
19,1,28975,0.00903763864502226,0.0574881883282118,0.875170316034252
20,1,29283,0.119311458447,0.128681831121176,0.354465613692726
21,1,29752,-0.186210913596455,0.133956970514993,0.165380474867901
22,1,29787,0.0175713700993483,0.363462318170247,0.961469104847713
23,1,30057,0.163093792554472,0.117527768865902,0.166102424286479
24,1,30479,-0.632046860448598,0.343665702449826,0.0667353795795412
25,1,30706,-0.00112885567933105,0.0593730325692477,0.984841527531231
26,1,31435,0.00626485689692939,0.0573369123318194,0.913055232975053
27,1,35128,-0.0912711074114001,0.0788793407719022,0.248014810657092
28,1,35129,-0.0741706251369578,0.0791327580771225,0.34924838873589
29,1,36146,0.00297012092593257,0.0570420045857051,0.958503155002783
30,1,37255,0.0521447631870728,0.115102483459073,0.650806184077271
31,1,37409,0.0638086281930695,0.0572499967700709,0.265796737971673
32,1,37478,0.0559658176527009,0.0573226005908542,0.329569178783693
33,1,39144,-0.0504696427629157,0.0570748345333296,0.377151609137278
34,1,41499,-0.0355872304140381,0.0569480342065406,0.532435758420655
35,1,45359,-0.0819774204632338,0.095827359198681,0.392871332000173
36,1,45634,0.0618826325149437,0.0880499087282838,0.482635429096882
37,1,51248,-0.0489984764943166,0.05716259670033,0.391928496533315
38,1,51462,-0.0499255124387773,0.0572380015296852,0.383668079126908
39,1,52124,-0.0384148859661243,0.0571855163063287,0.502176513364618
40,1,52667,-0.051349197321833,0.0570649403020656,0.368819943375921
41,1,55470,-0.0966292017167027,0.0584593077129439,0.099233964953066
42,1,59265,-0.0648169922356512,0.0569972202895754,0.256227823317889
43,1,60165,-0.0701690260389523,0.0569360215185614,0.218612866365013
44,1,62308,-0.118062502744797,0.0566481688550025,0.0378664079510529
45,1,62869,-0.109942931892565,0.0566872435225628,0.0532411457117426
46,1,65431,-0.129541775060494,0.0591180720955103,0.0290876289481383
47,1,65451,-0.111686989435899,0.0583729478354324,0.0565138722839764
48,1,65719,-0.0928287771635754,0.060987188230379,0.128878560544111
49,1,66841,-0.111903305275121,0.0567033816570984,0.0492198318174949
50,1,66948,-0.119921245391414,0.0570090412065481,0.0361250511866214
51,1,68621,-0.116579443624011,0.0568723509447324,0.0411180660556989
52,1,69417,-0.103987078652327,0.0567893129876012,0.0679279076305023
53,1,69820,-0.272497621012658,0.222799605431563,0.222122334930565
54,1,69821,-0.153053704257768,0.13829139050845,0.269156570668512
55,1,70906,-0.0315591202011847,0.091642230131459,0.730770767291365
56,1,74327,-0.0312044033718843,0.057348037710087,0.586700141274527
57,1,74572,0.0171374464154467,0.0572120689028517,0.76470243762174
58,1,75211,0.0164586828932533,0.0571083154558861,0.773361901684043
59,1,76030,0.0309477991658559,0.0570912766024177,0.588108304607555
60,1,80108,-0.0384826885241259,0.0570647826976157,0.50051848704036
61,1,81262,-0.108348347268489,0.0567878844354057,0.0572090029267051
62,1,81999,-0.129140488913201,0.0568050036333832,0.0236022855297081
63,1,82431,-0.110851828667954,0.0571866472317042,0.0533687344911356
64,1,83284,-0.127730203592923,0.0566654948462253,0.0248020396123027
65,1,83613,-0.121449783496886,0.0566982698228168,0.0328743187109457
66,1,84112,-0.106049979589944,0.0567920452077565,0.0626829075384239
67,1,84701,-0.122204675180104,0.060766936216809,0.0450812001478521
68,1,84858,-0.0710329260955797,0.0571079181265348,0.214385003346114
69,1,85751,-0.0940897554027,0.0572495552403782,0.10116945437129
70,1,87445,-0.0590452139128428,0.0575038424996258,0.305215532039615
71,1,87467,-0.0655091279796166,0.0577860433557984,0.257710850579057
72,1,89070,-0.0420774149905338,0.0574852069880477,0.46467288965199
73,1,89616,-0.0417716061272434,0.0571761300786839,0.465521730425273
74,1,89679,-0.0308467196044838,0.0572030291791993,0.590054476637691
75,1,89880,-0.0378246738070262,0.0572056714887483,0.508912197412216
76,1,91472,-0.0221717658330219,0.0576538974127945,0.700790085236435
77,1,93789,-0.014296874485798,0.0570667802821581,0.802324151849127
78,1,94351,-0.0256837242679577,0.0572057255084495,0.653727918812299
79,1,99148,0.00784777056691527,0.0570703248767399,0.890705670512163
80,1,101281,0.000239066106739294,0.624179424056025,0.999694619685445
81,1,106011,0.0106870729991363,0.0594768582876992,0.857503314330831
82,1,106800,0.0431299440785758,0.0571027133572535,0.450569874714531
