SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.253164014604108,0.13757034751687,0.0665706445179774
2,1,1035,0.156250113175526,0.139493193179367,0.263421099914233
3,1,1074,0.135832245249986,0.236041554357837,0.565347522398723
4,1,1470,-0.142515721504314,0.235179531927138,0.544912887865467
5,1,1475,-0.0937315645357586,0.173605959311019,0.589599643876962
6,1,1491,-0.123884089951605,0.151780366733498,0.414932594147387
7,1,21249,-0.583546839179572,0.871633484105823,0.503622846097115
8,1,27243,0.00929276189246231,0.118983251072029,0.937791622063634
9,1,27272,-0.0265243091691825,0.117188902002618,0.82106949721755
10,1,27498,-0.186606382254046,1.07017555466056,0.861674744181349
11,1,27561,0.606364499541904,0.807876477105586,0.453413980938419
12,1,27816,0.0114887374845367,0.119587233492485,0.923519546894409
13,1,27822,0.0152818486476852,0.119434034364881,0.898259653864032
14,1,27823,-0.00785948239290135,0.121896227036759,0.94862705181551
15,1,27825,0.0129495418497867,0.119434815243844,0.913721355206343
16,1,27843,0.0345181410705754,0.114409722527946,0.763053580173841
17,1,27848,0.0345181410705754,0.114409722527946,0.763053580173841
18,1,28495,0.081554321188159,0.114343964891276,0.476170491890046
19,1,28975,0.0348800062298221,0.11364628875721,0.759087328029493
20,1,29283,-0.242043845774764,0.254395034004266,0.342027593878308
21,1,29752,-0.154790736768576,0.265436729969146,0.560161372299176
22,1,29787,1.90815370841284,0.711375213475108,0.00765454669342243
23,1,30057,0.170920112370164,0.232814461239183,0.46334630710678
24,1,30479,0.912110520226044,0.680966120018509,0.181290512680862
25,1,30706,-0.0100252553431182,0.117382765729862,0.931986616381272
26,1,31435,0.0037059096457501,0.113360136254165,0.973939101533089
27,1,35128,0.0913055754988061,0.156168888605258,0.55915038454389
28,1,35129,0.00894216139065485,0.15664387464125,0.954509042432408
29,1,36146,-0.0198612842007024,0.11277081982869,0.860300052325985
30,1,37255,-0.0431858896439969,0.227618803415472,0.849630538244226
31,1,37409,0.0107256166960628,0.113384099988073,0.924689858659059
32,1,37478,-0.0154510593316758,0.113480028033885,0.891775066030082
33,1,39144,-0.116606234643082,0.112794538922956,0.301940533284698
34,1,41499,-0.109992948528216,0.112499592709754,0.328883064895262
35,1,45359,-0.31881785640916,0.188891850091572,0.0923265939338013
36,1,45634,-0.024121170247251,0.174196780468883,0.889947290509447
37,1,51248,-0.128327774738566,0.112924942459417,0.256560553117155
38,1,51462,-0.132126136650664,0.113066236713442,0.243364328475676
39,1,52124,-0.123735865062095,0.112939459598793,0.274003128546255
40,1,52667,-0.222729115407222,0.112326179209621,0.048155792267397
41,1,55470,-0.201405329198236,0.115527575662873,0.0821426373385842
42,1,59265,-0.0663719011189162,0.112837740795093,0.556769774426694
43,1,60165,-0.0393992248983013,0.112788223067584,0.727057088327371
44,1,62308,-0.118260536481893,0.112507716355266,0.293916697338424
45,1,62869,-0.126008468428848,0.112469709134106,0.263314831836028
46,1,65431,-0.0890474974345931,0.117576578456826,0.449340980152666
47,1,65451,-0.0644318919168207,0.115952870967965,0.578786341993935
48,1,65719,-0.056615182678578,0.120932691662927,0.639963036340895
49,1,66841,-0.0575880203028513,0.112680919037795,0.609620395685724
50,1,66948,-0.0873536893722064,0.113319051759281,0.441302603742189
51,1,68621,-0.239920724488434,0.112383994001189,0.0334631215118271
52,1,69417,-0.226010869395165,0.11216450229008,0.0446629302720703
53,1,69820,-0.812190310821859,0.439298227904254,0.0653175106534913
54,1,69821,-0.0975531243908652,0.273834802524722,0.721867606330905
55,1,70906,-0.182895296482171,0.180950766736523,0.312830228836672
56,1,74327,-0.136023172700145,0.113196640816291,0.230303245800737
57,1,74572,-0.120246209363235,0.112944757091955,0.287763745116629
