SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0971003840420474,0.12373135945605,0.433116071019555
2,1,1035,0.177976924131395,0.124835146839154,0.154839880804947
3,1,1074,0.114187994605608,0.211481798140108,0.589577191400134
4,1,1470,-0.165410537085336,0.210623300742887,0.432782041645478
5,1,1475,0.0445535786007634,0.155579944261968,0.774762004950941
6,1,1491,0.0164390850220038,0.136105672494699,0.903932602426508
7,1,21249,-0.743755871942423,0.78038982118671,0.341213399216296
8,1,27243,-0.111192088530661,0.106433763689268,0.296873317812429
9,1,27272,-0.0379060633559209,0.104977925640144,0.718251131634574
10,1,27498,-0.103866545017318,0.958797054028082,0.913795424806854
11,1,27561,0.45780572897671,0.723944965323392,0.527550312069892
12,1,27816,-0.00740662787960988,0.107139036738583,0.944924495254865
13,1,27822,-0.00888128726690918,0.107002547242033,0.933898021468532
14,1,27823,-0.00937102862134193,0.109206495851326,0.931665966361094
15,1,27825,-0.00901394436431691,0.107002515817481,0.932912979276049
16,1,27843,0.0183776161742431,0.102508370560807,0.857821355093794
17,1,27848,0.0183776161742431,0.102508370560807,0.857821355093794
18,1,28495,0.0532599081541501,0.102475496449705,0.60357535568358
19,1,28975,-0.00569144204249186,0.101828994431952,0.955459340824752
20,1,29283,-0.305823414534886,0.227623645664108,0.179957438622653
21,1,29752,-0.40621394231691,0.236935233162487,0.0873235757464697
22,1,29787,0.944624208460667,0.641818059169508,0.141967347474133
23,1,30057,0.0747840400708899,0.208700003564914,0.720308525843669
24,1,30479,0.326426373608549,0.611380007271974,0.593734792245357
25,1,30706,-0.0209728135821734,0.105158537817177,0.842033443696221
26,1,31435,0.0303694035659156,0.101546786498314,0.76506408419859
27,1,35128,0.206078989762609,0.139549246217,0.14063488258306
28,1,35129,0.070937824036732,0.140287304350276,0.613410221351649
29,1,36146,0.0155931089599698,0.101032557390928,0.877431857557773
30,1,37255,0.131243832190348,0.203814714405446,0.520034454569196
31,1,37409,0.0838899432608895,0.101484076921613,0.409004298968951
32,1,37478,0.0532698847481268,0.101630036093031,0.600499735411739
33,1,39144,-0.0902358719135896,0.101091610001655,0.372671548141519
34,1,41499,-0.049898384174911,0.100889961566394,0.621202694387051
35,1,45359,-0.390179452622439,0.168636037637879,0.0212559880043163
36,1,45634,0.0241633541496995,0.156062066401155,0.877042493467225
