SNP,Chr,Pos,Effect,SE,ERG11_ERV25_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.00781215720207362,0.115034904469356,0.945894780673443
2,1,1035,-0.0521993107730606,0.116260944867033,0.653718665531117
3,1,1074,0.195404990217526,0.196253516466667,0.320089428845025
4,1,1470,0.0107832529140337,0.195820334316822,0.956116180118673
5,1,1475,-0.0475242252027916,0.144514595377529,0.742460936083161
6,1,1491,-0.0473479065732032,0.126407570694366,0.7082085966548
7,1,21249,-0.285849402697411,0.725685384684953,0.693890738213395
8,1,27243,-0.0910692040699475,0.098901524976676,0.35778010945536
9,1,27272,-0.145599600326763,0.0972248178031497,0.135142292447572
10,1,27498,-0.672016437406738,0.889933580756443,0.450673905367317
11,1,27561,-0.0900667963555719,0.672844275258343,0.893589725360922
12,1,27816,-0.069564502872616,0.0994544225895906,0.484724538033193
13,1,27822,-0.0569237227000916,0.0993506425294437,0.567038064409456
14,1,27823,-0.0205700863786581,0.101438280898777,0.839420493257427
15,1,27825,-0.0496029942505848,0.0993617601836072,0.617938100583061
16,1,27843,0.00752924424221756,0.0952246594855482,0.937023164226903
17,1,27848,0.00752924424221756,0.0952246594855482,0.937023164226903
18,1,28495,0.0148769185819514,0.0952237525285365,0.875940113403199
19,1,28975,-0.0285649844828508,0.0945782870791399,0.762811051148831
20,1,29283,-0.242496709118825,0.211588785443818,0.252540253245627
21,1,29752,-0.589060144001074,0.218771027336885,0.00742800690471764
22,1,29787,0.395680876642658,0.597647469582146,0.508362177377969
23,1,30057,0.432534359765581,0.192527502589757,0.02528250030778
24,1,30479,-0.95374211992379,0.565874667932362,0.0927893606471595
25,1,30706,-0.019550848694889,0.0976828986854912,0.841481593382448
26,1,31435,0.0602905278196744,0.0942852997870771,0.522946402876156
27,1,35128,0.0706192802084127,0.129974310903423,0.587243755321756
28,1,35129,-0.0309958411766189,0.130351188818867,0.812184121321455
29,1,36146,0.0108374051830347,0.0938516623682513,0.908135269040213
30,1,37255,-0.0700799177357787,0.189400198811652,0.711597127792602
31,1,37409,0.0319457432167076,0.0943455670080627,0.735109726107236
32,1,37478,0.0221953242245045,0.0944346148752552,0.814318796757271
33,1,39144,-0.0822223584411515,0.0939091271916074,0.3818687935891
34,1,41499,-0.101296081121619,0.0935951193202533,0.279867091610177
35,1,45359,-0.12082683236411,0.157700165734714,0.444080791474174
36,1,45634,0.153367905736483,0.144742717896442,0.290055733143956
37,1,51248,-0.0394143630168227,0.0941259452083662,0.675660317010153
38,1,51462,-0.0174340698505967,0.0942724202298366,0.853387887647462
39,1,52124,-0.0866390777618318,0.0940363227601047,0.357504104902849
40,1,52667,-0.131821755193757,0.0937362191801361,0.160513115296311
41,1,55470,-0.0666154596798476,0.0964914034695766,0.490410707562632
42,1,59265,-0.122347004142525,0.0937250674353548,0.192613019661321
43,1,60165,-0.0381328467405908,0.0938580751071191,0.684781593275732
44,1,62308,0.0581350959350987,0.0937257076362573,0.535481301425956
45,1,62869,0.00408396607352313,0.0937647393187935,0.965283384729754
46,1,65431,0.0386723576175531,0.0979065562030873,0.693086970333382
47,1,65451,0.0703977103650904,0.0964669100696454,0.466020752871694
48,1,65719,-0.00835774645231047,0.100671980607323,0.933883019864662
49,1,66841,0.01933268043992,0.0938035383460615,0.83683351650304
50,1,66948,0.00288132506716754,0.0943847753181686,0.975663665987258
51,1,68621,0.0874588195721972,0.0940140378297687,0.352864947148817
52,1,69417,0.0285497294751711,0.0938677182929344,0.761193937626094
53,1,69820,-0.116529105101415,0.367303002647196,0.75123687284129
54,1,69821,0.231618300183682,0.227596146023429,0.309530675138081
55,1,70906,-0.0810634961843686,0.150745550168548,0.591088153957327
56,1,74327,0.00856292667670061,0.0943950619285936,0.927771524332188
57,1,74572,0.0415264170329795,0.0941189012836411,0.659329422548899
58,1,75211,0.0123530415902295,0.0939709317325506,0.895489490538572
59,1,76030,-0.0582539072436613,0.0939220684077516,0.535502198704031
60,1,80108,-0.114288744100292,0.0937538808293432,0.223646973829066
61,1,81262,-0.102371275115603,0.0937573041798376,0.275632610363249
62,1,81999,-0.0907648088735464,0.0940208214560648,0.335020784894312
63,1,82431,-0.0980249657023115,0.0944465098398286,0.300032281714712
64,1,83284,-0.114606617657843,0.0937038514151903,0.222118132348833
65,1,83613,-0.0865112211868851,0.0937788655591294,0.356896701459427
66,1,84112,-0.0915052162852646,0.0937757983690468,0.329838180372978
67,1,84701,-0.15890269295561,0.100196620625518,0.113655376515222
68,1,84858,-0.101159076381613,0.0940131569187815,0.282657731596399
69,1,85751,-0.0682434932013587,0.0944844677551653,0.470605413176306
70,1,87445,-0.15805513742636,0.0943799662762293,0.0948849758723181
71,1,87467,-0.146170273079606,0.0949319278153645,0.12452018336351
72,1,89070,-0.109661978165656,0.0944739124323687,0.246521995215363
73,1,89616,-0.128800626258949,0.093894923450662,0.171011597043534
74,1,89679,-0.0880132462316785,0.0940401685294263,0.349958733367929
75,1,89880,-0.111892019600359,0.0939921478197449,0.234673405331032
76,1,91472,-0.0746042315986396,0.09479658431491,0.431814112373881
77,1,93789,-0.131282543772328,0.0936418486702461,0.161804561146181
78,1,94351,-0.1551619318826,0.0937864202204172,0.0989314776356783
79,1,99148,-0.111410785660179,0.0937147692972095,0.235306289357014
80,1,101281,0.228678280353344,1.02691068044736,0.82390895649422
81,1,106011,-0.0920022685248741,0.0977411074873483,0.347202366079047
82,1,106800,-0.0226859308501139,0.0940210959960489,0.809473908432109
83,1,107970,-0.107697703433128,0.0935748699044929,0.250541887751333
84,1,109000,-0.117064505140274,0.0937085818820569,0.212405040191797
85,1,112549,-0.0279984133357149,0.0937973447594046,0.765497973331509
86,1,112742,-0.0258065360703014,0.0941646453193861,0.784200659576268
87,1,113050,0.01060785463121,0.094014538400296,0.910227832898032
88,1,113135,-0.014645571522521,0.0937735294982725,0.875980236593954
89,1,114076,-0.0213709981965776,0.0937698706395911,0.819848932678775
90,1,114628,0.0545967433365954,0.0939690880119102,0.561606171777669
91,1,116283,0.0700902108657755,0.0944632704219877,0.458590576034919
92,1,126880,-4.21707107410686,1.75952453880195,0.0170625194147484
93,1,127853,0.0583050852467654,0.0943098445121354,0.536823040080372
94,1,128302,0.110046570225346,0.0938157699658558,0.241583846580073
95,1,128704,0.0908749524997875,0.0939676017896712,0.334162073551344
96,1,128911,0.0931137186488206,0.0939718208815612,0.322428491563502
97,1,130267,-0.0573960576270444,0.0940081863015103,0.541894924783212
98,1,130271,-0.0502095425299445,0.0941315164265667,0.594093922736288
99,1,130613,-0.0721826247030428,0.0949717753097897,0.447736241924403
