SNP,Chr,Pos,Effect,SE,TPO1_MID2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.235754159158608,0.183058376651813,0.198637175981635
2,1,1035,0.239260071026435,0.18505763239693,0.196892946435938
3,1,1074,0.457057950373839,0.312528601801026,0.144507216265102
4,1,1470,0.0290851121256726,0.312341248936902,0.925861323046221
5,1,1475,0.26545797768458,0.230110342033041,0.249439885769878
6,1,1491,0.460324377280298,0.200172967915927,0.0220520858729359
7,1,21249,0.247816768304856,1.15768562082659,0.830622120306545
8,1,27243,-0.0362749503583093,0.157930681784644,0.81846642636881
9,1,27272,0.0126618974477049,0.155569085541326,0.935177266157706
10,1,27498,0.64810024710908,1.42021809956919,0.648427193889656
11,1,27561,0.039415097022963,1.07324723373561,0.970724965335981
12,1,27816,0.0461633414436444,0.158725917960498,0.771346922118886
13,1,27822,0.0260605463950835,0.158537107265156,0.869525014398068
14,1,27823,0.0201086517641609,0.16180528314569,0.901166808263993
15,1,27825,0.0493720640717528,0.158521395840178,0.755639644748345
16,1,27843,-0.0215621027554442,0.151885355002871,0.887190207037277
17,1,27848,-0.0215621027554442,0.151885355002871,0.887190207037277
18,1,28495,0.00238494441486653,0.15189209699784,0.987481344850382
19,1,28975,0.0798904339912749,0.15081690736888,0.596640443882764
20,1,29283,-0.398596058033382,0.337456352568506,0.238327159158097
21,1,29752,-0.306118735604477,0.352139803785892,0.385268150083699
22,1,29787,1.02831286598213,0.952299353700463,0.280959110452066
23,1,30057,-0.0609350612390482,0.309262131851081,0.84391456423697
24,1,30479,0.803209855718053,0.905215403446534,0.375514276384724
25,1,30706,-0.0676947586996921,0.155776544504622,0.664145007140357
26,1,31435,-0.0665361769501103,0.150435416142666,0.658549762033448
27,1,35128,0.284542148404606,0.206848864789625,0.169816461991234
28,1,35129,0.00110458230884447,0.207933652301995,0.995764509218442
29,1,36146,-0.177344234044073,0.14940329358446,0.236019146993286
30,1,37255,-0.0719489887290425,0.302137600139686,0.811915965109769
31,1,37409,-0.0776216467068521,0.15045387130151,0.606235660762426
32,1,37478,-0.0546443553521,0.150611889043199,0.716959717083663
33,1,39144,0.0450904817024269,0.149933353716831,0.763792228422604
34,1,41499,0.091060607669316,0.1494580608372,0.542736104245659
35,1,45359,0.23290331368236,0.251443753047398,0.354941586343277
36,1,45634,-0.235911246963227,0.230897958756438,0.307616848010856
37,1,51248,0.119655492784198,0.150038019374231,0.425696148849321
38,1,51462,0.104785429321601,0.150273299552739,0.486074641187192
39,1,52124,0.106803076847653,0.150065493744507,0.477114586475857
40,1,52667,0.0198595865821289,0.149928723311626,0.894695783128017
41,1,55470,-0.0743610324786196,0.153961874938179,0.629406912411995
42,1,59265,-0.128303994191993,0.149701134696712,0.39198899003567
43,1,60165,-0.108159838431662,0.149632871893098,0.470260052299003
44,1,62308,-0.0353750146212763,0.149567034140124,0.8131693820358
45,1,62869,-0.0391054894207698,0.149545614426667,0.79386300579557
46,1,65431,-0.0883209782784118,0.156129867519332,0.571964476289116
47,1,65451,-0.0412103679713924,0.153970201617419,0.789123838969059
48,1,65719,-0.0526636513081119,0.160554211308621,0.743097322037472
49,1,66841,-0.0662860027451402,0.149588985651745,0.657949740684857
50,1,66948,-0.0649091483051044,0.15050924007402,0.666540000611329
51,1,68621,-0.236841970109163,0.149610916693498,0.114304926394816
52,1,69417,-0.160397329124183,0.149500016195808,0.284052599531995
53,1,69820,-0.475871614371012,0.585403480323938,0.416826113308548
54,1,69821,0.125211826504851,0.363498898330794,0.730703432876222
55,1,70906,-0.222760491896403,0.240253182184632,0.354461079155336
56,1,74327,-0.181288365929023,0.15025735471633,0.228425352308567
57,1,74572,-0.182365394158426,0.149851967842963,0.224428506506434
58,1,75211,-0.241468896542753,0.149340252848631,0.10679218588601
59,1,76030,-0.0568416405945756,0.149861717955883,0.704697660136645
60,1,80108,-0.155461538209033,0.149628201349249,0.299522587932486
61,1,81262,-0.0530932371470462,0.149773502436903,0.723183225943614
62,1,81999,-0.144957340965066,0.149967660691202,0.334410447398566
63,1,82431,-0.144698385061202,0.150680147510237,0.337560743578861
64,1,83284,-0.187753646231785,0.149445192566727,0.209824303273107
65,1,83613,-0.178588377560045,0.14946047444949,0.232933365406931
66,1,84112,-0.179034453829703,0.149475500812406,0.231817523712856
67,1,84701,-0.257705365016073,0.15979964320263,0.107708102885439
68,1,84858,-0.12711387673354,0.150049202741204,0.397486627294725
69,1,85751,-0.197330493903687,0.150452873921219,0.190515369301381
70,1,87445,-0.173060104414447,0.150856897426028,0.252083918981543
71,1,87467,-0.220489051304976,0.151475136598386,0.146388604154953
72,1,89070,-0.143672436881534,0.150784399508473,0.341326382316019
73,1,89616,-0.177578892199905,0.149868251906874,0.236854092220926
74,1,89679,-0.165267354572636,0.149927188238407,0.27107466311976
75,1,89880,-0.135114757423804,0.150050829413601,0.368489440293049
76,1,91472,-0.15295202490514,0.151119019379965,0.312169352966395
77,1,93789,-0.251284531060847,0.149180595406957,0.0929821589700597
78,1,94351,-0.253697204046091,0.149564826040938,0.0907228586720452
79,1,99148,-0.20889905387475,0.149365676409936,0.16281848719391
80,1,101281,-1.28758041490336,1.63665749596372,0.43197747751074
81,1,106011,-0.129693414033209,0.15594504194546,0.406162522472066
82,1,106800,-0.286687537242137,0.149202740188972,0.0554782897458159
83,1,107970,-0.242675487781496,0.148977753343992,0.104218247424702
84,1,109000,-0.0813124075981292,0.14973762891029,0.587450098905699
85,1,112549,-0.0232148110871415,0.149625482602565,0.876789542668795
86,1,112742,-0.0177250340741398,0.150210582582765,0.906133795037614
87,1,113050,0.0581892120853332,0.149928857770584,0.698166983039462
88,1,113135,0.0538113004467741,0.149551461807228,0.719198446620612
89,1,114076,0.0870508338090476,0.149507109295561,0.560768548858734
90,1,114628,0.12859334268969,0.149801017310298,0.391238834710838
91,1,116283,0.187770964886779,0.150459786569974,0.212865160656546
92,1,126880,-4.82817549842465,2.81758234086589,0.0874823202154058
