SNP,Chr,Pos,Effect,SE,MID2_PIN2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.295629484107092,0.171636978869672,0.0858709047733078
2,1,1035,0.185768267931678,0.17396151849131,0.286308939522271
3,1,1074,0.214810991555763,0.294235134840742,0.465834205726329
4,1,1470,0.0803356953920646,0.293365643080587,0.784366572592673
5,1,1475,0.207317013018915,0.21627655644145,0.338429626593898
6,1,1491,0.0875816088375811,0.189375400652413,0.6440248249207
7,1,21249,-0.290232917257675,1.08741597141149,0.789700878804123
8,1,27243,0.0145844819495895,0.148358937859345,0.921745601584611
9,1,27272,0.0449538139336161,0.14611333463173,0.758519453447747
10,1,27498,-0.834955278005467,1.33371442613868,0.531694904530485
11,1,27561,0.99352017280573,1.00675326880189,0.324389324551919
12,1,27816,0.0298143754483087,0.149106295308807,0.841631825252485
13,1,27822,0.0391900728496112,0.148910611541193,0.792566539394926
14,1,27823,0.0160064189781755,0.151990370970316,0.916188009107322
15,1,27825,0.0524453019512646,0.148899057420502,0.724883080565352
16,1,27843,0.0244790315293164,0.142669417412538,0.863867077943226
17,1,27848,0.0244790315293164,0.142669417412538,0.863867077943226
18,1,28495,0.0233426768683429,0.142672267191013,0.87013143179051
19,1,28975,-0.0180011150914087,0.141720719398731,0.898998289803302
20,1,29283,-0.493642392213519,0.316521900446742,0.11975434119722
21,1,29752,0.0753661459575943,0.331106966791552,0.820074437924741
22,1,29787,3.18657735821286,0.879806076067902,0.000335291106999878
23,1,30057,-0.0776624946253621,0.290487440304535,0.789354028113413
24,1,30479,1.56921575199404,0.847141342152788,0.0648079037061387
25,1,30706,-0.119437996414566,0.146227444192821,0.414595883833431
26,1,31435,-0.0739701414498664,0.141293623415213,0.600940417910941
27,1,35128,0.181381917363924,0.194581211357521,0.351888043075694
28,1,35129,-0.10456249933898,0.195240149424263,0.592601044668769
29,1,36146,-0.168152108617193,0.14033451347946,0.231633879838164
30,1,37255,-0.308914329273909,0.283354720847262,0.276367107758
31,1,37409,-0.104260399218731,0.141270975514024,0.46099437519562
32,1,37478,-0.11585720815922,0.141367030858218,0.413026246898623
33,1,39144,-0.101404456862842,0.140752309403483,0.471727147715792
34,1,41499,-0.102371609881943,0.14035933006801,0.466268930023799
35,1,45359,-0.320905353778497,0.235859249172678,0.174514578967558
36,1,45634,-0.0702915423487047,0.217178868184843,0.746389109725293
37,1,51248,-0.139171797393951,0.140868313961126,0.323850534395187
38,1,51462,-0.131870713089473,0.141079729808718,0.350569137238863
39,1,52124,-0.126217849086473,0.140902877232582,0.370981196532013
40,1,52667,-0.174304264830798,0.140530969174263,0.21567848848129
41,1,55470,-0.172370298871255,0.144378427368666,0.23332717712042
42,1,59265,-0.0184208057732085,0.14076239685894,0.89595701585983
43,1,60165,-0.000935931944246259,0.14065943032207,0.994694764214665
44,1,62308,-0.0402019057093724,0.140488450616175,0.774924906878451
45,1,62869,-0.0367579820940678,0.140473474186377,0.793726904228595
46,1,65431,-0.00670685338006594,0.146724340327301,0.963566785755189
47,1,65451,0.0053539625237663,0.144644058073478,0.970494174140589
48,1,65719,0.0501016316396869,0.150813665784792,0.739928749098271
49,1,66841,0.0549730961435652,0.140522849739259,0.69588249549003
50,1,66948,0.016234485357556,0.14141326024173,0.908667557879652
51,1,68621,-0.1317262262731,0.140858424524764,0.350341245725638
52,1,69417,-0.13029835443861,0.140488371272063,0.354317718348117
53,1,69820,-0.774940580354149,0.54885705901755,0.158855301541934
54,1,69821,-0.336557989853321,0.341034641931639,0.324380682846861
55,1,70906,-0.113899203299869,0.225871622207125,0.614389609244824
56,1,74327,-0.0179855307717031,0.141429534575869,0.898878610679315
57,1,74572,-0.0244597521356687,0.141050227280908,0.86242726604505
58,1,75211,-0.00923032252136408,0.140798245034404,0.947767567485671
59,1,76030,0.0644889289840319,0.140757258413071,0.647121528812203
60,1,80108,-0.00824406901231065,0.140765127423964,0.95333082623356
61,1,81262,-0.0163058386922239,0.140709918659954,0.907811437785848
62,1,81999,-0.0827945642137447,0.140987383711091,0.557412549507116
63,1,82431,-0.138677054442634,0.141531624000459,0.327840650027205
64,1,83284,-0.0669805667269539,0.140647480256424,0.634205059941214
65,1,83613,-0.0341700011376407,0.140665394542843,0.808210863028874
66,1,84112,-0.043613561937407,0.140673503311488,0.756718089756883
67,1,84701,-0.018434879358911,0.150654206718475,0.902679181950378
68,1,84858,0.059255502138916,0.141054478193291,0.67467567091817
69,1,85751,-0.0142867014816331,0.141667607351349,0.919729459078417
70,1,87445,0.00339604241919883,0.141969012771543,0.980929130346007
71,1,87467,-0.0523768097753795,0.142685112357637,0.713779515549132
72,1,89070,0.026338638716016,0.141812222010952,0.852763979969401
73,1,89616,0.0416139173411671,0.141038844797292,0.768126940021757
74,1,89679,0.0408159535339779,0.141057369777786,0.772477978294052
75,1,89880,0.0486219689130121,0.141086110029721,0.730580638742301
76,1,91472,0.0605307508024671,0.142120758080182,0.67043248964878
77,1,93789,-0.0158933690787216,0.140690111457715,0.910120768256454
78,1,94351,-0.0326850066290227,0.141052205216615,0.816887617576294
79,1,99148,0.000223818939972212,0.140692654032344,0.998731595668368
80,1,101281,0.76888716119242,1.53817320886668,0.61747782246756
81,1,106011,0.0692652137944181,0.146581787747798,0.636836056386479
82,1,106800,-0.00330406830796541,0.140882322882218,0.981302433874396
83,1,107970,0.0685457801173365,0.140417660942882,0.625742141494545
84,1,109000,0.0458579782529767,0.140691424878466,0.744657428241566
85,1,112549,-0.0759297284329526,0.140495195507913,0.589231968530367
86,1,112742,-0.0431830109756413,0.141082182918588,0.759721063153999
87,1,113050,-0.0173818788598287,0.140860493375459,0.901862305877914
88,1,113135,-0.0341040265649763,0.140493018866726,0.808343658741854
89,1,114076,0.0600155296451751,0.140468429291135,0.669455696898012
90,1,114628,0.0800380313385331,0.140795765072224,0.570077981531453
91,1,116283,0.0912284665954117,0.141560396250581,0.519702814539037
92,1,126880,-5.6071857591238,2.64083013733221,0.0344268111629817
93,1,127853,0.0754138142167113,0.141322932345574,0.59393506462104
94,1,128302,0.0879724055161857,0.140759004325742,0.532384034172485
95,1,128704,0.0907891281854265,0.140894212580061,0.519748850631139
96,1,128911,0.138542600553596,0.140799697811452,0.325804458576702
97,1,130267,0.127886049249685,0.140761346246811,0.364217578800967
98,1,130271,0.119809919018008,0.140948906132985,0.395888027658722
99,1,130613,0.152196196811968,0.142181017448956,0.285152820807471
100,1,132012,-0.061807838965239,0.142071226420775,0.663793256290185
101,1,133231,-0.0866924105437961,0.141025438841395,0.539129815746139
102,1,137074,-0.0409388512070729,0.140883379710372,0.771537994981222
103,1,137304,-0.11113879103032,0.140825022618362,0.430526175993746
104,1,139686,-0.0601264820296783,0.14109814583919,0.670271141378014
