SNP,Chr,Pos,Effect,SE,HUG1_PGM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0296164413485023,0.105787334152226,0.779670583818751
2,1,1035,0.129575133711185,0.10673393234127,0.225558794560005
3,1,1074,0.164941730487914,0.180535651741127,0.3615379618117
4,1,1470,0.37080574777609,0.179013423161886,0.0390488836324418
5,1,1475,0.0765989953303121,0.132868883378857,0.564644251179773
6,1,1491,-0.0412327065764304,0.116260295010537,0.723057194778684
7,1,21249,-0.308126422381246,0.667362987529911,0.644575565782002
8,1,27243,-0.122846982928203,0.0908345590065275,0.177104917346142
9,1,27272,-0.130116678802105,0.0894341874134895,0.146589049974166
10,1,27498,0.91408114039847,0.817692714901706,0.264379074586811
11,1,27561,0.473605088280367,0.618321567512613,0.444216292542771
12,1,27816,0.0531753761635133,0.0914885086840158,0.561459981890551
13,1,27822,0.0536218949526922,0.0913713796293781,0.557675158545779
14,1,27823,0.0564276624930848,0.0932505608758746,0.545488899281904
15,1,27825,0.0474619300034854,0.0913810317354627,0.603817839245562
16,1,27843,0.0820853331076128,0.0874705026081288,0.348662829757377
17,1,27848,0.0820853331076128,0.0874705026081288,0.348662829757377
18,1,28495,0.0535877620576606,0.087534507826549,0.540806089137202
19,1,28975,0.0385391163792783,0.0869713482754029,0.657947280434852
20,1,29283,-0.262596112549169,0.194459731041061,0.177756619838695
21,1,29752,-0.0858302142650542,0.203209571486869,0.673010005376913
22,1,29787,0.139119115373098,0.549951768559363,0.80044171167258
23,1,30057,0.0119491157138008,0.178329112846153,0.946614882677344
24,1,30479,0.807589927954989,0.520757705860464,0.121846187777417
25,1,30706,0.045322523339761,0.0898123360373449,0.614129495591493
26,1,31435,0.00122136620377969,0.0867650173315251,0.988776731696803
27,1,35128,-0.00901992522966921,0.119587270964364,0.939918927153539
28,1,35129,-0.0891016741741337,0.119800649826754,0.457522783920201
29,1,36146,-0.020450611515113,0.0863107814083122,0.812839565903629
30,1,37255,-0.105554571672289,0.174135827283119,0.544796576161943
31,1,37409,-0.0215548875612306,0.0867767685165243,0.803973490951049
32,1,37478,-0.0352120839540704,0.0868387336664727,0.6853643203597
33,1,39144,-0.00676513195966814,0.0864618459429522,0.93767819113464
34,1,41499,0.00951159308069483,0.0862212814454553,0.912221401684876
35,1,45359,-0.0713680397630201,0.145108757346172,0.62314911789739
36,1,45634,0.0650087120133467,0.133287492414368,0.626041732571824
37,1,51248,-0.0178395442689568,0.086584565722611,0.836881505832757
38,1,51462,-0.032842926061856,0.0866895656950506,0.705022017233332
39,1,52124,0.0339879057337813,0.086570873389381,0.694850353658217
40,1,52667,0.0341103125889963,0.086431934668318,0.693339971665099
41,1,55470,0.0227011712307508,0.0887954728263545,0.798364717037472
42,1,59265,-0.0169188550621002,0.0864026950108386,0.844868441448043
43,1,60165,0.0109149567295266,0.0863401377438887,0.899472943950724
44,1,62308,0.0318456810037969,0.0862304778271884,0.712118937478776
45,1,62869,-0.0031625929416286,0.0862361380785201,0.970765957905949
46,1,65431,0.0407113762060419,0.0900391553375235,0.651437262934167
47,1,65451,0.031435430527621,0.0887724086741715,0.723465905095386
48,1,65719,0.0615328209391592,0.092531670924999,0.506489820817358
