SNP,Chr,Pos,Effect,SE,ALO1_HYR1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0162002144338661,0.112313839965943,0.885392802295383
2,1,1035,0.0341352507938803,0.113531353662055,0.763844638007949
3,1,1074,-0.0389883932737565,0.191873339985049,0.839096887561352
4,1,1470,-0.303455283562922,0.190510136301376,0.112087420765266
5,1,1475,-0.0599548070180678,0.141084975679372,0.67112817934627
6,1,1491,-0.0286038662640122,0.123435460865114,0.816880950601085
7,1,21249,0.847437073645132,0.707255000892906,0.231640734594468
8,1,27243,0.111186888563737,0.0964989102438688,0.250015010072008
9,1,27272,0.0183014730246902,0.0952233002526127,0.847699723824304
10,1,27498,0.32672540016206,0.869430417278686,0.707296917007297
11,1,27561,0.15352647113326,0.656909568017659,0.815345437739957
12,1,27816,-0.0389225608588907,0.0971493124764501,0.688922561024443
13,1,27822,-0.0281114873946681,0.0970363622564957,0.772215421306289
14,1,27823,-0.0727362728874659,0.098971187250489,0.462873901117327
15,1,27825,-0.0360391698137833,0.0970289384822069,0.710542331953464
16,1,27843,-0.0711149459960475,0.0928980692642117,0.444475944921786
17,1,27848,-0.0711149459960475,0.0928980692642117,0.444475944921786
18,1,28495,-0.0220926522970108,0.0929692167541496,0.812302795265791
19,1,28975,-0.0381291652926075,0.0923328571548005,0.67989148744556
20,1,29283,0.0988585343939823,0.206905650482149,0.633091676386898
21,1,29752,-0.269780579974501,0.215305139086219,0.211029587150962
22,1,29787,-0.693695806044252,0.582717594934528,0.234669750826762
23,1,30057,0.102295589027879,0.189238512068831,0.589148817444152
24,1,30479,0.434961372222452,0.554237306737333,0.433101496971119
25,1,30706,-0.0367865911611764,0.0953597832763687,0.699902128519749
26,1,31435,-0.014953063162243,0.0921070259031385,0.871127512156961
27,1,35128,0.0321038295501301,0.126944329782293,0.800495077588034
28,1,35129,0.00150377926653134,0.127280915529974,0.990580167986914
29,1,36146,-0.0240342872286021,0.0916265746931883,0.793237811903422
30,1,37255,-0.0960831440914003,0.184889465091689,0.603613140356664
31,1,37409,0.0106956666417822,0.09212920542354,0.907643899156682
32,1,37478,0.00541466172442029,0.0922097133026887,0.953207428781985
33,1,39144,-0.00568797697367836,0.0917888859571224,0.950623357844557
34,1,41499,0.0545325036938371,0.0914887530882311,0.551519208684719
35,1,45359,-0.0176035092404767,0.154098543988891,0.90911613348213
36,1,45634,0.0554354451457675,0.141515985496359,0.695497284872227
37,1,51248,0.0665141951770734,0.0918562010782772,0.469476476512821
38,1,51462,0.0723548308633024,0.0919684528579792,0.431964666816747
39,1,52124,0.0788615644358686,0.0918285177246677,0.391038245439638
40,1,52667,0.073064443587995,0.0916946483521576,0.426089182462189
41,1,55470,-0.0188584235879241,0.0942693694117837,0.841558030395007
42,1,59265,-0.00469915860748044,0.0917304347067903,0.959172885889215
43,1,60165,0.0222743579249558,0.0916537904996098,0.808125533076592
44,1,62308,-0.00575477964320861,0.091560137763334,0.94991956713267
45,1,62869,0.0273742444337749,0.0915375558635288,0.765078389298147
46,1,65431,0.0307697616305842,0.0955999385389481,0.747749541851562
47,1,65451,0.0337782853472843,0.0942410912493686,0.720240154834704
48,1,65719,-0.0260033992983166,0.098284130003605,0.791492265316135
49,1,66841,0.00756294960412981,0.091591412088015,0.934238115710094
50,1,66948,0.00176223064882675,0.0921543616936558,0.984754109362251
51,1,68621,-0.0494087575462727,0.091867129276304,0.591034381697525
52,1,69417,-0.0843667451042455,0.0915514021595934,0.357406678574066
53,1,69820,-0.79592385831802,0.356163570178128,0.0260613750848613
54,1,69821,0.158413758407002,0.222383586744765,0.47672193482986
55,1,70906,-0.123214647971931,0.147097309693967,0.402799465353741
56,1,74327,-0.0562129924720519,0.0921168302695393,0.54209823195997
57,1,74572,0.0283433604757053,0.0919076519585035,0.757967828203349
58,1,75211,-0.0457836333325225,0.0917201048919396,0.617972804217098
59,1,76030,0.0240131180647483,0.0917435676536112,0.793673240323366
60,1,80108,0.0411569288437132,0.0917046162624738,0.653852128094494
61,1,81262,-0.00933813327534255,0.0916947500416693,0.918942017440243
62,1,81999,-0.0263741519096862,0.0919093125313144,0.774312513476819
63,1,82431,-0.0524657359884769,0.092312930475703,0.570161031663238
64,1,83284,-0.112566430462341,0.0914871333267013,0.219363926502083
65,1,83613,-0.100620642250297,0.0915164332160334,0.272307284801235
66,1,84112,-0.0716129805753602,0.0916038384540853,0.434874761355189
67,1,84701,0.0213937752306544,0.0981700787606034,0.827612984512924
68,1,84858,-0.023510500849818,0.091933344772669,0.798305032315059
69,1,85751,-0.00953949662527064,0.0923183694094157,0.917757686257237
70,1,87445,-0.0138791433275709,0.0925119738996681,0.880830280141939
71,1,87467,0.0174008748184512,0.0929946312475988,0.851676411629512
72,1,89070,0.034141339341992,0.0923993231102128,0.711978324757535
73,1,89616,0.0132488566569152,0.0919173269751157,0.885473089465471
74,1,89679,0.0347192884773411,0.0919130974714912,0.705850489161129
75,1,89880,-0.00229479526315202,0.0919548841678859,0.980104428145668
76,1,91472,0.0290561062777872,0.0926246173511811,0.753936124281991
77,1,93789,-0.0236443044577902,0.0916744653581946,0.796622090262651
78,1,94351,-0.0221257389575456,0.0919168527712741,0.809915975931019
79,1,99148,-0.0406111000386995,0.0916576193782897,0.657983677652209
80,1,101281,-0.55875407750217,1.00227217754479,0.577547821590397
81,1,106011,-0.0411176985899946,0.0955259277983309,0.66714194730028
82,1,106800,-0.0275611838594715,0.091795052137853,0.764165537392426
83,1,107970,-0.074640686775098,0.0914485306600058,0.41493371269636
84,1,109000,0.020409654559041,0.0916896623029501,0.823979514800507
85,1,112549,0.105803717227119,0.0914190163279414,0.247912276592203
