SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0641317686126249,0.0766947367936008,0.403610780586421
2,1,1035,0.0283910829656874,0.0775958100796245,0.714670631807853
3,1,1074,-0.0362894968317278,0.131142096347883,0.782157913011807
4,1,1470,0.0726348067415898,0.130626811713723,0.578530161228625
5,1,1475,-0.0901628232028946,0.0963391654875705,0.349969835123035
6,1,1491,-0.0396404073942693,0.0843502445200334,0.638680842392281
7,1,21249,0.535224923579172,0.483564365057102,0.269119879659254
8,1,27243,0.0993220060992464,0.0658707543085037,0.132492047135359
9,1,27272,0.000694226613669358,0.0650901194153855,0.991496251231464
10,1,27498,-0.566260081014356,0.593624544658044,0.340785615409949
11,1,27561,-0.646206583985058,0.447724324766551,0.149818978559602
12,1,27816,-0.0809346696837394,0.0662784411886666,0.22285132524687
13,1,27822,-0.0909023388996374,0.0661571863698408,0.170302396957927
14,1,27823,-0.0900484575203927,0.0675303370558162,0.183243358221275
15,1,27825,-0.093892511118257,0.0661453547781139,0.156639354046608
16,1,27843,-0.11759714378675,0.0632410945926416,0.0637873338145095
17,1,27848,-0.11759714378675,0.0632410945926416,0.0637873338145095
18,1,28495,-0.106535920579489,0.0632976304537275,0.093240862968837
19,1,28975,-0.0759325882034347,0.0629967952947535,0.22887925422681
20,1,29283,0.0324297029475984,0.141458678473992,0.818805726936747
21,1,29752,0.0616646677417503,0.147455066467145,0.676060343902438
22,1,29787,-0.345370054844389,0.398672407582849,0.386913885847308
23,1,30057,-0.212898355119403,0.128904133972977,0.0995049092321219
24,1,30479,0.339633091348728,0.378729684347097,0.370453283523279
25,1,30706,-0.0969899919589792,0.0649890470138792,0.136486115894298
26,1,31435,-0.0915140134380011,0.0627703524893476,0.14575228185359
27,1,35128,-0.119118191701296,0.0865445250667475,0.169576312897903
28,1,35129,-0.134964283829855,0.086701587471414,0.120448960583476
29,1,36146,-0.101941080547599,0.0623989559929547,0.103213696987526
30,1,37255,-0.139679950373115,0.126204604540876,0.26914537754787
31,1,37409,-0.0546577735835815,0.0629058288988221,0.385501767750665
32,1,37478,-0.0593037880463294,0.062948108163519,0.346782679417399
33,1,39144,-0.0348238357353051,0.0627122016626731,0.579043922522011
34,1,41499,-0.0374890614265928,0.0625337344706914,0.549223159125144
35,1,45359,-0.0646801296345982,0.105274616418764,0.539350549496503
36,1,45634,-0.0403788219447234,0.0967257008311423,0.676597946446019
37,1,51248,-0.0661684143657981,0.0627330907917039,0.292256044660562
38,1,51462,-0.0660539200463044,0.062818766632847,0.293748378968121
39,1,52124,-0.0707648218069859,0.0627188781370355,0.25996546756453
40,1,52667,-0.114324174810595,0.0624353615646723,0.0679312623700842
41,1,55470,-0.00754445059065717,0.064437098000347,0.906861335490435
42,1,59265,0.0518651729612898,0.0626387268018546,0.408227157995426
43,1,60165,0.048905251095513,0.062598050273346,0.435174183777787
44,1,62308,0.00883209547662756,0.062581476152809,0.887848102935984
45,1,62869,0.00770923436005522,0.0625740361268758,0.902017409538728
46,1,65431,-0.0150135834763345,0.0653488650887854,0.818422890825987
47,1,65451,-0.0107266821692568,0.0644245588538397,0.867858894634966
