SNP,Chr,Pos,Effect,SE,ERV25_ERG5_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0275418759899915,0.0654986956919329,0.674379718853466
2,1,1035,0.043864209980185,0.066190666574149,0.507958501851111
3,1,1074,-0.0324824144153384,0.111913772797252,0.771799229551446
4,1,1470,-0.0112693188945343,0.111522447302857,0.919568312107093
5,1,1475,0.111470943820716,0.0821024571135622,0.175424468101418
6,1,1491,0.0487686318592047,0.0719591343118333,0.498388905980079
7,1,21249,-0.166450100598802,0.413288160465449,0.687378976825625
8,1,27243,-0.0145839564087844,0.0563886520578284,0.796069291259556
9,1,27272,-0.0186214179645143,0.0555382416953339,0.737605489776197
10,1,27498,0.844526918123685,0.505248558200991,0.0955075964544292
11,1,27561,0.436524068206866,0.382502963696757,0.254547596422993
12,1,27816,0.000463862192172371,0.0566805073218113,0.993474964576638
13,1,27822,0.00215789422008394,0.0566083573775505,0.969613784097705
14,1,27823,0.0118983907810624,0.0577710155543997,0.836942610505852
15,1,27825,-0.000651798644354162,0.0566084632604223,0.990819740615749
16,1,27843,0.0376656089152292,0.0541957551072917,0.487517606647822
17,1,27848,0.0376656089152292,0.0541957551072917,0.487517606647822
18,1,28495,0.0489420485930318,0.0541711036755449,0.366891822026253
19,1,28975,0.0340571219138806,0.0538406721769741,0.527434574859458
20,1,29283,-0.0970338446711168,0.120617495877821,0.421663755749283
21,1,29752,-0.123459893419814,0.125695791182367,0.326668198546627
22,1,29787,-0.0352999683580375,0.340578215778085,0.917508211988793
23,1,30057,0.0908377408336465,0.1103234621707,0.410849857401623
24,1,30479,0.148781379304902,0.323474102407532,0.645836456736053
25,1,30706,0.0425883951310462,0.0555893170152858,0.444113604149122
26,1,31435,-0.000720466798343727,0.0537284336251872,0.989308731705254
27,1,35128,-0.135301428951293,0.0737029249835555,0.0672330519872665
28,1,35129,-0.074667006539574,0.0741371039194699,0.314553707858242
29,1,36146,0.00545505740645116,0.0534506122429007,0.918768662446296
30,1,37255,-0.0387630288281873,0.107868373096749,0.719544469721567
31,1,37409,-0.00572511480949639,0.0537395410908259,0.91521880591671
32,1,37478,-0.00565189144163653,0.053785761175206,0.91637077755234
33,1,39144,-0.0528908398738024,0.0534671029636148,0.323232053326002
34,1,41499,-0.0573059687637313,0.0533054588284958,0.283087135719752
35,1,45359,-0.236735071563015,0.0890005348387841,0.00817217258017758
36,1,45634,0.0429558643724124,0.0825331879541847,0.603063864477917
37,1,51248,0.0327504395022022,0.0535915718478699,0.541518906944742
38,1,51462,0.0347507994591818,0.0536607552309038,0.517663503768934
39,1,52124,-0.00133042786613305,0.0536198662911772,0.980218764761828
40,1,52667,0.0214679634733224,0.053521784489495,0.688584018011341
41,1,55470,0.0163844442802863,0.0549839481734332,0.765889191144844
42,1,59265,0.0412201889988734,0.0534619758277168,0.441211542034966
43,1,60165,0.0378458214624384,0.05342858175481,0.479199062570293
44,1,62308,0.0230965719763782,0.0533935886323682,0.665589873990615
45,1,62869,0.0213689764487188,0.0533889170896468,0.68921363782539
46,1,65431,0.102257977854023,0.0555058534641296,0.0662709993163623
47,1,65451,0.110466203801251,0.0546659807823977,0.0440603839327546
48,1,65719,0.0903040865416685,0.05713344317118,0.11486924331025
49,1,66841,0.113234628427738,0.0530851715117102,0.0336079093321251
50,1,66948,0.113663377373348,0.0534125680834403,0.0340272382297943
51,1,68621,0.0979887368427057,0.053354160110762,0.067113847468276
52,1,69417,0.0633013034664505,0.053360279632601,0.236301643612105
53,1,69820,-0.23184384047323,0.208851972963318,0.267717190887793
54,1,69821,0.044901041122368,0.129788544199275,0.729582363884872
55,1,70906,-0.150468540923899,0.0855135525740415,0.0793440355386077
56,1,74327,-0.0068416863823117,0.0537592615017054,0.89880291892545
57,1,74572,-0.0124855482599367,0.0536132488790166,0.815988186230994
58,1,75211,0.0177166778500979,0.0535113198336718,0.740778386026878
59,1,76030,0.0168181603366714,0.0535121411874774,0.753488875442894
60,1,80108,0.00247413422888199,0.0535068111946697,0.963145417205503
61,1,81262,0.000104993957190186,0.0534867447414625,0.998434870253709
62,1,81999,-0.034416166947723,0.0535860674131596,0.521121512315295
63,1,82431,-0.0144477943753232,0.053865689014096,0.788687517123236
64,1,83284,-0.0436973664934672,0.053428568144095,0.413985865313268
65,1,83613,-0.0445170520257983,0.0534207523085282,0.405222798930382
66,1,84112,-0.0218477535869633,0.0534665216272173,0.683062707994311
67,1,84701,-0.0367425099763634,0.0572334987728731,0.521305687125231
68,1,84858,-0.0241192061724807,0.0536147335097354,0.65308640536959
69,1,85751,-0.0200565001817071,0.0538399519521017,0.709728709082471
70,1,87445,-0.0283782617541279,0.0539432280534033,0.599165439226834
71,1,87467,-0.0132682012506924,0.0542422790595868,0.806900580552925
72,1,89070,-0.0418725230487491,0.0538612733603513,0.437435071428917
73,1,89616,-0.0204100436949008,0.0536063613989881,0.703625790416208
74,1,89679,-0.0320282898702057,0.0535970542393589,0.550506312941578
75,1,89880,-0.0335381097752249,0.0536080326998214,0.531970282040001
76,1,91472,-0.0218405528911901,0.0540233801404878,0.686251922655603
77,1,93789,0.0541171266136696,0.0534015414724947,0.311563195047192
78,1,94351,0.0364635852614769,0.0535847788351004,0.496644113401097
79,1,99148,0.0251988059498645,0.0534623448682372,0.63769093150738
80,1,101281,0.810054981113235,0.583295898735591,0.165782906126898
81,1,106011,-0.0148953132358871,0.0557296844764272,0.789411283032944
82,1,106800,-0.00629363085061468,0.053550254883751,0.906508846536022
83,1,107970,-0.00160013895829862,0.0533925812279522,0.976108463612257
84,1,109000,-0.016154995487005,0.0534798332388981,0.762771718804135
85,1,112549,-0.0447034656372749,0.0533731900960124,0.402842292880949
86,1,112742,-0.0399673746709981,0.053592144152374,0.456303109037231
87,1,113050,-0.0251023693384612,0.0535274462398805,0.639385873890799
88,1,113135,-0.0442290428726511,0.0533558322500743,0.407695760735056
