SNP,Chr,Pos,Effect,SE,ERV25_PIS1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0829664260594971,0.124318188432604,0.504970843943847
2,1,1035,0.137577377771307,0.125544113669793,0.273891977044
3,1,1074,-0.0464168131658784,0.212506926866512,0.827224253949475
4,1,1470,-0.294893041554043,0.211173480099841,0.163456692210361
5,1,1475,-0.348096409029562,0.155196311209498,0.0255204787521687
6,1,1491,-0.258008911035515,0.136029648464976,0.0586822197013323
7,1,21249,-0.44496858127941,0.784552516367133,0.570964425029766
8,1,27243,0.0237764718492905,0.107070445586569,0.8243926206177
9,1,27272,0.0353251113404909,0.105453096677658,0.737836043311211
10,1,27498,-1.36709339530995,0.96037566713542,0.155474913777255
11,1,27561,0.249758196113262,0.72749346564095,0.731567134257772
12,1,27816,-0.0354045534445662,0.10760545106717,0.742334227341177
13,1,27822,-0.034279588069398,0.107469679800471,0.749938030586802
14,1,27823,-0.067841380791704,0.109639686249843,0.536469179072282
15,1,27825,-0.0491836215318379,0.107453283669718,0.647434521150716
16,1,27843,-0.0316487658585745,0.102960623330642,0.75873002414535
17,1,27848,-0.0316487658585745,0.102960623330642,0.75873002414535
18,1,28495,0.0481391566575074,0.10294418903181,0.640342164462107
19,1,28975,0.0429118696649905,0.102262230924661,0.675014108646316
20,1,29283,-0.0579330789925443,0.229211206551792,0.80060870249483
21,1,29752,-0.720846775035003,0.235890659650397,0.00241509377130895
22,1,29787,0.388868997447182,0.64635038149384,0.547801266501454
23,1,30057,0.0321184257643035,0.209670423373033,0.878339680554021
24,1,30479,-0.233073377393469,0.614254222432141,0.704588393546188
25,1,30706,0.00290851871545987,0.105637646598486,0.978050197847492
26,1,31435,0.0961822250509927,0.101888199635519,0.345816476871727
27,1,35128,-0.237062722481253,0.140042363107293,0.0913771893416138
28,1,35129,-0.0535306780331672,0.140940906429143,0.704315320249868
29,1,36146,0.0148179168249886,0.101487618895417,0.883999093362058
30,1,37255,-0.0658726360470459,0.204822197007584,0.747939370161453
31,1,37409,0.0168675757764896,0.102035479650061,0.86879391814644
32,1,37478,0.0183206190655703,0.102122491057508,0.857727757714183
33,1,39144,-0.0663575487482656,0.101599744703788,0.514099482720229
34,1,41499,0.0101601120197178,0.101377686531135,0.920226246706049
35,1,45359,-0.27764954831859,0.170033660385646,0.103379682827423
36,1,45634,-0.151327233946118,0.156562714283729,0.334425835862987
37,1,51248,0.200283732147438,0.101251031288543,0.0486956733970939
38,1,51462,0.184364860567426,0.101475354862271,0.0700889379725148
39,1,52124,0.0803741903199632,0.101720731462237,0.42997319795295
40,1,52667,0.025941148341051,0.10163810243427,0.798693680998253
41,1,55470,0.0391305969112625,0.104392959171715,0.708004985058254
42,1,59265,-0.0700221276529503,0.101527820439201,0.490845971092042
43,1,60165,-0.0648977584031383,0.101460648119754,0.522824957000454
44,1,62308,-0.0542572255636176,0.101366652091468,0.592809080015974
45,1,62869,-0.00726587100087743,0.101394305154898,0.942913424177762
46,1,65431,0.0725588094174152,0.105826575813569,0.493390915403478
47,1,65451,0.0773180633947627,0.104314344802769,0.459063396171089
48,1,65719,0.0156914382956108,0.108861941896157,0.885471606897188
49,1,66841,0.0253230924827132,0.101433874975718,0.803002282124887
50,1,66948,0.0283917807619349,0.102054208535025,0.781019460647189
51,1,68621,0.0721456949993683,0.101716443001417,0.478617370576833
52,1,69417,0.0422574784776364,0.101494510727069,0.677405218544328
53,1,69820,-0.410566663609744,0.396647122357513,0.301334046314634
54,1,69821,-0.0754504097967317,0.246444657035968,0.759666666653868
55,1,70906,0.116680867095789,0.162960813224798,0.474461217312979
56,1,74327,-0.102560204085121,0.101931513818619,0.31502406601439
57,1,74572,-0.116653080324505,0.101616307025551,0.251755845261808
58,1,75211,-0.113850224135428,0.101439399014022,0.262477661063373
59,1,76030,-0.0440514563073969,0.101593176967812,0.664839113328238
60,1,80108,-0.104711890501071,0.101443220507889,0.302674959778268
61,1,81262,-0.15826301685189,0.101207856122358,0.118774079310762
62,1,81999,-0.172163387167878,0.101392586510615,0.0903913013967481
63,1,82431,-0.11617494799082,0.102100667668372,0.255956032216652
64,1,83284,-0.230002054005147,0.10080278415613,0.0231016384409775
65,1,83613,-0.20590429838895,0.100939023166736,0.0421054913679875
66,1,84112,-0.179588859342378,0.101092514259347,0.0765149926876429
67,1,84701,-0.165587817132974,0.108377585998071,0.127438152036921
68,1,84858,-0.183001659654636,0.101363085112397,0.0718628207919089
69,1,85751,-0.242080738973019,0.101433469102728,0.0175312887243319
70,1,87445,-0.245701630335003,0.101626734839664,0.0161253939249876
71,1,87467,-0.271632786082254,0.101981388081538,0.00808641493952967
72,1,89070,-0.218380252497244,0.10169435270596,0.0324405289871496
73,1,89616,-0.190670890365608,0.101298733916117,0.0606226337948303
74,1,89679,-0.180535723613299,0.10136427629305,0.0757626596975842
75,1,89880,-0.190462146353913,0.101338729971124,0.0610051822668637
