SNP,Chr,Pos,Effect,SE,noPPI_reference_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0250434301992109,0.219840599332602,0.909368896559926
2,1,1035,0.0411273339316815,0.2222389422456,0.853288975981561
3,1,1074,0.262765994624202,0.375325905546627,0.484325443705116
4,1,1470,0.194025100402347,0.374091333312628,0.604324899181146
5,1,1475,0.38423374105612,0.275466052696906,0.163938221094279
6,1,1491,0.421451639854743,0.240582022386681,0.0806765320830007
7,1,21249,-1.86673335872183,1.3835992919886,0.178141840878929
8,1,27243,0.198298364868941,0.188943009326188,0.294659528911381
9,1,27272,0.158013964314157,0.186205811120624,0.396679837192481
10,1,27498,-2.42907757268792,1.69720800266369,0.15325195274591
11,1,27561,3.05516633668827,1.27558239459963,0.0171357350216644
12,1,27816,-0.156971241204237,0.19001542832164,0.409306854454136
13,1,27822,-0.172910001501006,0.189734210701362,0.362744748886406
14,1,27823,-0.191507003208638,0.193601852476091,0.323252812980165
15,1,27825,-0.171597472083904,0.18973758632084,0.366403491066534
16,1,27843,-0.23885175155219,0.181540880418425,0.189131524412908
17,1,27848,-0.23885175155219,0.181540880418425,0.189131524412908
18,1,28495,-0.199540885298714,0.18167824349091,0.27281325820032
19,1,28975,-0.147706530495118,0.180600886266908,0.413987915409763
20,1,29283,-0.291219276872879,0.404822309568411,0.47238551733459
21,1,29752,-0.199032744220977,0.422232083285956,0.637658926082533
22,1,29787,3.54906193965612,1.12715410255725,0.00177982921903175
23,1,30057,-0.51588489028223,0.369541720066002,0.163588034321399
24,1,30479,1.59064964858017,1.08247997512911,0.142601552337539
25,1,30706,-0.285479006687804,0.186073025386696,0.125868576358835
26,1,31435,-0.247830757635797,0.179809784041831,0.168985450473384
27,1,35128,0.316378743206224,0.247926548145643,0.202759611955366
28,1,35129,0.00636655342528458,0.249133874845635,0.979626919924172
29,1,36146,-0.341892608417549,0.178437826517461,0.0561684326414864
30,1,37255,-0.51698306208942,0.360985704550885,0.152987839887536
31,1,37409,-0.312994388330259,0.179561969038059,0.0821869328963754
32,1,37478,-0.310146708263267,0.179731640834465,0.085292723829779
33,1,39144,-0.248982817803307,0.179175098659221,0.165524300900898
34,1,41499,-0.263500330496314,0.178616394841123,0.141041968503036
35,1,45359,-0.475412544077354,0.300568047844432,0.114610519652356
36,1,45634,-0.137477327851904,0.276960712070081,0.619936372966673
37,1,51248,-0.159320790005951,0.179728831844952,0.375978085096898
38,1,51462,-0.160635467630866,0.17996977718496,0.372696004551441
39,1,52124,-0.0504508464940914,0.179908725157781,0.779315974940522
40,1,52667,-0.105413191052498,0.179552766212892,0.557520212965823
41,1,55470,-0.109246356053753,0.184437536199665,0.554014389343735
42,1,59265,-0.0691179552157855,0.179512087631459,0.700445356737024
43,1,60165,-0.147912487318819,0.179241293168661,0.409807216447452
44,1,62308,-0.342902204224662,0.178285057691367,0.055241821307213
45,1,62869,-0.330270146450772,0.178329985416164,0.0648581418802396
46,1,65431,-0.335697371145911,0.186295706528432,0.072404759632409
47,1,65451,-0.310437855435484,0.183755563038152,0.0920245026339796
48,1,65719,-0.298487738960403,0.191739055044651,0.120428433930526
49,1,66841,-0.312451127002093,0.178505746320681,0.080923223336902
50,1,66948,-0.327139714842828,0.179536633445834,0.0692807345686455
51,1,68621,-0.650058909506721,0.176531668427524,0.000267212974689208
52,1,69417,-0.500352148390735,0.177426620246114,0.00507275126556349
53,1,69820,-0.49662725357476,0.701555046023752,0.479477643318081
54,1,69821,-0.824834649215881,0.4333786309994,0.0578190990773493
55,1,70906,-0.0215908560303921,0.28820550405223,0.940324941100724
56,1,74327,-0.331071838669401,0.179537840005237,0.066017697897806
57,1,74572,-0.330683542278708,0.179057275108799,0.0656124542882596
58,1,75211,-0.23247285441194,0.17916549672382,0.195295698260727
59,1,76030,-0.203820702156196,0.179264296791477,0.256316030849425
60,1,80108,-0.256237546694709,0.179031069693815,0.153244359128483
61,1,81262,-0.299164331115384,0.178774196726115,0.0951304856772756
62,1,81999,-0.335657015813389,0.17903105761468,0.0616383560535681
63,1,82431,-0.403958640976308,0.179488750805747,0.0250254384225952
64,1,83284,-0.157702974206059,0.179260060112741,0.379596468865115
65,1,83613,-0.149417128605176,0.179260372006932,0.405115082574488
66,1,84112,-0.178712739677661,0.179204203202522,0.319322629934874
67,1,84701,-0.137417624560411,0.192027473723911,0.474702553527147
68,1,84858,-0.0813871885968005,0.179910804981997,0.651276571104893
69,1,85751,-0.201439334299962,0.180384293658511,0.264872201430829
70,1,87445,-0.227412141190699,0.180679660639638,0.208989174887256
71,1,87467,-0.313593930325969,0.181265794285805,0.0845002692280864
72,1,89070,-0.29294103974605,0.18022013872423,0.104956510093719
73,1,89616,-0.226229909753676,0.179516851384855,0.208424082985704
74,1,89679,-0.278179254271017,0.179332839822116,0.121752282218718
75,1,89880,-0.250295801419322,0.179494908487073,0.164060184567931
76,1,91472,-0.233384747160399,0.180898629043839,0.197846177704384
77,1,93789,-0.165029183014407,0.179241376711837,0.357831048897854
78,1,94351,-0.202139540944693,0.179606815045644,0.261160527621163
79,1,99148,-0.151372161223948,0.179275520365568,0.399042983825908
80,1,101281,0.563095212446348,1.96243798326984,0.774329241464684
81,1,106011,-0.0305408856239226,0.187020239912618,0.870373661518619
82,1,106800,-0.0514692177362521,0.17967764967067,0.774699163530367
83,1,107970,0.00979745538776878,0.179165390070375,0.956421262238645
84,1,109000,0.0323238869051847,0.179473654421566,0.857174425751175
85,1,112549,-0.183682384666604,0.179011963351401,0.30555177110986
86,1,112742,-0.161522225283187,0.179771753363992,0.369539466995757
87,1,113050,-0.153749204400462,0.179487973667728,0.392247700443373
88,1,113135,-0.144373157978963,0.179051970132262,0.420601318564157
89,1,114076,-0.0376243282115747,0.179205593909156,0.833827324477203
90,1,114628,0.020142515823766,0.179666970687455,0.910799682374093
91,1,116283,-0.0495083494468603,0.180650259091823,0.78420161929304
92,1,126880,-3.04161120238937,3.38600840331733,0.36964423898451
93,1,127853,-0.0637345430671084,0.180301181384201,0.723932644332079
94,1,128302,-0.0520069255054745,0.179619075667102,0.77233808031715
95,1,128704,-0.0813392721889161,0.179767099679119,0.651208154275847
96,1,128911,-0.00965462008346407,0.17983838945639,0.957216519702137
97,1,130267,0.138027308551069,0.1796036912872,0.442697830196075
98,1,130271,0.127019927126596,0.179840193421142,0.480471643920721
99,1,130613,0.270507001648389,0.181077522831758,0.136101856776246
100,1,132012,-0.130648508822919,0.181130007405118,0.471204325405171
101,1,133231,-0.21709106186205,0.179605908750135,0.22758413996374
102,1,137074,-0.143917281934679,0.179557918817512,0.423376241165731
103,1,137304,-0.203336959508949,0.179457658952765,0.257956482943155
104,1,139686,-0.13650883178701,0.179873282341724,0.448408848139315
