SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.338844511511265,0.150264394719655,0.0247461977347181
2,1,1035,0.24657855625398,0.152434560925731,0.106641429939876
3,1,1074,0.172174768773234,0.258394219384058,0.505638025397839
4,1,1470,-0.227307038221882,0.257341336774627,0.377680730813514
5,1,1475,0.0408671441072208,0.190142465484569,0.829946730946995
6,1,1491,0.0612340803079698,0.166304997497042,0.712942206361918
7,1,21249,-0.464862379864136,0.954612873944351,0.626585867967456
8,1,27243,0.104172197841769,0.130154606146976,0.424033189004795
9,1,27272,0.107056930336505,0.128189672368839,0.404201088116258
10,1,27498,0.887104485389017,1.17080489233061,0.44914344701909
11,1,27561,-0.143989942790499,0.885194316835087,0.870875451579783
12,1,27816,-0.13757272199491,0.130729618008065,0.293360894706913
13,1,27822,-0.14566285239091,0.130538082890626,0.265239031938198
14,1,27823,-0.121520119750933,0.133304832215042,0.362603653878418
15,1,27825,-0.148633345021857,0.130528596806344,0.255599101996931
16,1,27843,-0.176291888629163,0.124928367473281,0.159082942023277
17,1,27848,-0.176291888629163,0.124928367473281,0.159082942023277
18,1,28495,-0.177461819901325,0.124925709287696,0.156333530634354
19,1,28975,-0.163845393307887,0.124138900859819,0.187738594019009
20,1,29283,0.0400088233423279,0.278878982360179,0.886006367458852
21,1,29752,-0.320321159817313,0.290259134409366,0.270531605221309
22,1,29787,1.21126127225233,0.784117078990097,0.123303838678516
23,1,30057,-0.293231729016036,0.254618860987585,0.250244457629492
24,1,30479,0.10756651281658,0.74744159642413,0.885651343458367
25,1,30706,-0.166609113315235,0.128214230451704,0.194634515377495
26,1,31435,-0.219363871716532,0.12356473393032,0.0767107339282818
27,1,35128,0.144734684488006,0.170894296190766,0.397610625842083
28,1,35129,-0.0562274056227139,0.171479795604893,0.743185277399361
29,1,36146,-0.227813880793733,0.122878329377391,0.0645760910798401
30,1,37255,-0.0940538481403905,0.24917606073601,0.706059061249668
31,1,37409,-0.0405543234968831,0.124123973076168,0.744070023960358
32,1,37478,-0.0496293342522268,0.124221375636484,0.68974927333608
33,1,39144,0.0153929519423857,0.123679762107929,0.90102339077313
34,1,41499,0.0640809820533514,0.123292241305529,0.603564497854041
35,1,45359,0.0401655624750434,0.207634374198875,0.846722748529603
36,1,45634,-0.11544325351508,0.190629496321863,0.545176418498192
37,1,51248,-0.0328617478508167,0.12385204812754,0.790909611641789
38,1,51462,-0.044591448258751,0.124009649549667,0.719375901326893
39,1,52124,-0.0356609930660632,0.123849854455887,0.773563708737052
40,1,52667,-0.0333902289883256,0.12365311784949,0.787293862620703
41,1,55470,-0.196614139844064,0.1265995838339,0.121309786102251
42,1,59265,-0.163863443065633,0.123295416891594,0.184696078458335
43,1,60165,-0.177934025292513,0.123146476138393,0.149373776369604
44,1,62308,-0.164808112770243,0.123062032067315,0.181358139586611
45,1,62869,-0.129430342769455,0.123166266414461,0.294042350416545
46,1,65431,-0.109581700848586,0.128703856064524,0.395110432297569
47,1,65451,-0.0629716912648798,0.126964924186225,0.620219244742233
48,1,65719,-0.15291559619433,0.132196707322695,0.248165801082489
49,1,66841,-0.1084756447457,0.123281785758211,0.379512092077261
50,1,66948,-0.124375266270818,0.123997751425575,0.316526441648706
51,1,68621,-0.176877197185104,0.123479584322306,0.152902627042628
52,1,69417,-0.10265146636091,0.123389195886198,0.406009543620626
53,1,69820,-0.596071414249849,0.482256350240079,0.217278421307278
54,1,69821,0.159409371204124,0.299748110475419,0.595191354207671
55,1,70906,-0.500976053999373,0.196604632871065,0.0112529402743053
56,1,74327,-0.240246022250716,0.123529093417862,0.0525863974926932
57,1,74572,-0.217306404891436,0.123317308522989,0.0789055583170767
58,1,75211,-0.218132910452757,0.123086391305395,0.0772249353084966
59,1,76030,-0.0941913647467597,0.123531047309226,0.446275950364641
60,1,80108,-0.108192897437746,0.123469287663815,0.381477126904765
61,1,81262,-0.0168253436928786,0.123553528266624,0.891757736942485
62,1,81999,0.00292361848410727,0.123858418959376,0.981181404270664
63,1,82431,0.0213606575606371,0.1244396366934,0.863807303708343
64,1,83284,0.0012065711828203,0.123539247567242,0.99221293928837
65,1,83613,0.0270461661293488,0.123517262895485,0.826802542995445
66,1,84112,0.0568946957295627,0.123502145015767,0.645313461500064
67,1,84701,0.0494213526002132,0.132262945220464,0.70888170963263
68,1,84858,0.085630519583179,0.123804067013101,0.489604513385637
69,1,85751,0.0640013963205489,0.124350492453918,0.607094900192149
70,1,87445,0.0336452423988716,0.124647245787713,0.787376701136209
71,1,87467,0.00381951693467045,0.125312545116641,0.975701529021256
72,1,89070,0.0492515522589486,0.124500822958564,0.692644872694768
73,1,89616,0.00246571873698812,0.123858447179719,0.984128366517472
74,1,89679,-0.00619764938789606,0.123873761998025,0.9601252021401
75,1,89880,0.00426671173514356,0.123905379975575,0.972549544199494
76,1,91472,0.0232234973788752,0.124819192188253,0.852506850873231
77,1,93789,0.0225977523380782,0.123533409201359,0.854959320316288
78,1,94351,0.0421225273512544,0.123844106239281,0.733964387479885
79,1,99148,0.0576352865831899,0.123501172224241,0.641018117961275
