SNP,Chr,Pos,Effect,SE,SRO9_SGN1_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0084181556138605,0.164085103461056,0.959112621943311
2,1,1035,0.185913670008112,0.165585400619285,0.26229991198821
3,1,1074,0.0110244476802492,0.280326259645779,0.968651750677551
4,1,1470,0.197865902861674,0.279118769853083,0.478857531211602
5,1,1475,0.342778190990986,0.205356923171733,0.095967776956648
6,1,1491,0.355344021282408,0.179347851989095,0.0483318632377105
7,1,21249,0.315731100168732,1.0352014888327,0.760549838259632
8,1,27243,-0.00193333916667315,0.141241435726566,0.989086480888909
9,1,27272,-0.0235229834790918,0.139114712994447,0.865822267528655
10,1,27498,1.27202275525307,1.26861196503488,0.316697954031287
11,1,27561,-0.0532680024426293,0.959758550931493,0.955770364933596
12,1,27816,0.0300038802296678,0.141950089447667,0.832721144311777
13,1,27822,0.0369911021661594,0.141764976366299,0.79429665087463
14,1,27823,0.0360302174213066,0.144686273914321,0.803487776749757
15,1,27825,0.05145184247126,0.141752197284667,0.716844287956053
16,1,27843,0.0583557718095093,0.135793193392824,0.667646954563774
17,1,27848,0.0583557718095093,0.135793193392824,0.667646954563774
18,1,28495,0.0489699316987312,0.135805900082648,0.718623389841983
19,1,28975,0.0452680567927477,0.134901442838857,0.737399079449436
20,1,29283,-0.214136365416524,0.302154242407956,0.478979123664707
21,1,29752,-0.0903853759816471,0.315204341415729,0.774470692330425
22,1,29787,1.58750124002493,0.848812436417772,0.0622749004769573
23,1,30057,0.169762732627634,0.276427992838327,0.539524985413686
24,1,30479,1.26830765666972,0.807582742148279,0.117195017738519
25,1,30706,0.0435358359927462,0.139322552429818,0.754858500132678
26,1,31435,-0.0452149716123538,0.134543961247426,0.737024568713307
27,1,35128,0.367617705720344,0.184436607892703,0.0470097063318471
28,1,35129,0.138763856933465,0.185799795199755,0.455653587776256
29,1,36146,-0.0261176230617126,0.133864388392342,0.845422927646911
30,1,37255,-0.0442303712944838,0.270200688146419,0.870065313847693
31,1,37409,-0.0246221339809152,0.134589050684062,0.854947714010583
32,1,37478,0.00189458338895676,0.134711096654455,0.988786827995342
33,1,39144,0.149238887234008,0.133860949687598,0.265660318827557
34,1,41499,0.178985630132136,0.133384699061219,0.180498933846243
35,1,45359,0.0367365096979455,0.225120415956108,0.870465337437568
36,1,45634,-0.0774442579688541,0.206746552771536,0.708193694617462
37,1,51248,0.0235659871505578,0.134287795281594,0.860796288915574
38,1,51462,0.0219947750373677,0.134470660534603,0.870166727199222
39,1,52124,0.0624482760958641,0.134252514507445,0.642107020767187
40,1,52667,0.0817809954497767,0.13400775587627,0.542075234860421
41,1,55470,-0.101510148845117,0.137621250017097,0.461244413156124
42,1,59265,0.0805413028213504,0.133942208675925,0.548016920950158
43,1,60165,0.105339668675646,0.133792097731408,0.431612052635408
44,1,62308,0.0881625750101166,0.133679919709129,0.510001557830353
45,1,62869,0.0907963973441933,0.133658114322465,0.497381408185327
46,1,65431,0.154216305257576,0.139442425184289,0.269501450120103
47,1,65451,0.165698194109375,0.137420491128688,0.228711836433119
48,1,65719,0.147328194792258,0.143384653998207,0.304887112143181
49,1,66841,0.156038903209621,0.133550497609773,0.24343844394697
50,1,66948,0.162091297913953,0.134352975069297,0.22844864253073
51,1,68621,0.0346790863047022,0.134252279454537,0.796316025138665
52,1,69417,0.044328016897337,0.133888735934317,0.740779746178738
53,1,69820,-1.21410363593176,0.519992193850853,0.0201112791777994
