SNP,Chr,Pos,Effect,SE,ERV25_EMP47_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.160699368872179,0.195883288429219,0.41255128461871
2,1,1035,0.143390935479081,0.198067941923364,0.469577010649336
3,1,1074,0.215112423175805,0.334773541739994,0.520926102550645
4,1,1470,0.0125287835266139,0.333762329055812,0.970077229440773
5,1,1475,0.190724448546568,0.246143141516462,0.438945964698626
6,1,1491,0.230813262725573,0.215144895337816,0.284081579354541
7,1,21249,-1.20463023106931,1.23548738219036,0.330215879412713
8,1,27243,-0.176753089965374,0.168510404663385,0.294934846301838
9,1,27272,-0.0237333279754577,0.166233421122754,0.886552420664526
10,1,27498,-0.0324872553922768,1.51805089623437,0.982938157256166
11,1,27561,1.03342338550423,1.14552361947852,0.367597309683658
12,1,27816,0.112384509456566,0.169524784114743,0.50780257193291
13,1,27822,0.115343181999286,0.169303419210027,0.496140463078986
14,1,27823,0.117102195874315,0.172791892233846,0.498401719726556
15,1,27825,0.136589823112652,0.169258631138033,0.420216307826724
16,1,27843,0.100644573774821,0.162216542492462,0.535372775756031
17,1,27848,0.100644573774821,0.162216542492462,0.535372775756031
18,1,28495,0.0570100327921153,0.162279227029945,0.725566686517952
19,1,28975,0.0802517855526545,0.161166067627807,0.618833099997707
20,1,29283,-0.635438699525318,0.359721649875343,0.0781806732232241
21,1,29752,-0.138699572331463,0.376616705915743,0.712886849755577
22,1,29787,2.22681470238652,1.01236475892933,0.0284818312765189
23,1,30057,0.146059598039621,0.330395366108546,0.658705500439702
24,1,30479,1.39762410663906,0.965503912005491,0.148627862370838
25,1,30706,-0.0320161476293938,0.166494144631903,0.847620975396596
26,1,31435,0.012543328993464,0.16079411824945,0.937865385978216
27,1,35128,0.582362317815767,0.219446171992974,0.00831949794963362
28,1,35129,0.191589610451749,0.221957822362031,0.388624442987055
29,1,36146,-0.13467817684778,0.159805688430145,0.399932162146629
30,1,37255,-0.171283230616872,0.322752774383433,0.595963969855832
31,1,37409,-0.0418369274426661,0.160815874735336,0.794896497240216
32,1,37478,-0.0565937028040956,0.160941362018159,0.725316752994335
33,1,39144,-0.0199884819396424,0.160231470642954,0.900794427338322
34,1,41499,-0.0165305478231859,0.159788123922938,0.917662262060719
35,1,45359,-0.193623491439108,0.268814431565728,0.471825089313223
36,1,45634,-0.228482524495816,0.246796048519527,0.35518505576851
37,1,51248,-0.201180685323142,0.16011304043563,0.209768651655858
38,1,51462,-0.187483201558649,0.160378150380676,0.243189553123732
39,1,52124,-0.146285463040638,0.160281690680944,0.362035170737404
40,1,52667,-0.197016080962059,0.159869982468372,0.21863782216168
