SNP,Chr,Pos,Effect,SE,HNM1_MAM33_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.179979509030033,0.081572732959018,0.0280016580674253
2,1,1035,0.0382631601481287,0.0830068252988733,0.645108289931821
3,1,1074,0.245988664185365,0.139705750384647,0.0791444415539149
4,1,1470,0.0277124298102773,0.13980481902896,0.842985262345198
5,1,1475,-0.0889221146215302,0.103087892851063,0.388951071859715
6,1,1491,-0.0853362535237223,0.0901561996882846,0.344521808903269
7,1,21249,0.294146608713776,0.518002904401323,0.570499571565932
8,1,27243,-0.0416058859463593,0.0706638747156766,0.556381536047151
9,1,27272,-0.0543224833558913,0.0695767838206353,0.435469336828508
10,1,27498,-0.033073612652692,0.635906225716804,0.958549981452545
11,1,27561,0.25238350827176,0.480222383426315,0.599527060114752
12,1,27816,0.0261394689615319,0.0710441379447507,0.713143856849033
13,1,27822,0.0255031027675816,0.0709544649006495,0.719488985975379
14,1,27823,0.0281647074066463,0.0724137095233116,0.697553815021588
15,1,27825,0.0215746855568943,0.0709581566986327,0.761270469216084
16,1,27843,0.0611767061039287,0.0679111853562153,0.368290746246554
17,1,27848,0.0611767061039287,0.0679111853562153,0.368290746246554
18,1,28495,0.094540560858612,0.0678038431688978,0.164096559349828
19,1,28975,0.0523448418921602,0.0674783345500182,0.438428914429
20,1,29283,-0.123680385749827,0.151207949655599,0.413938095047043
21,1,29752,-0.242076147012201,0.157267324641423,0.124635405819292
22,1,29787,-0.279155477644808,0.426715192467934,0.513411347611535
23,1,30057,0.205721581036615,0.138006529125342,0.136942320948259
24,1,30479,-0.261011327695245,0.405408189276956,0.520107949159715
25,1,30706,0.0697288775998716,0.0696488818434978,0.317440762117212
26,1,31435,0.0525826812120458,0.067298721977282,0.435130632711212
27,1,35128,-0.0360274970270549,0.0928181790813298,0.698138041006215
28,1,35129,-0.0626411314009077,0.093015992784061,0.501105069191552
29,1,36146,0.0468021918685574,0.0669632527161383,0.485060060581561
30,1,37255,0.0732574451653853,0.135198151970978,0.588262028486646
31,1,37409,0.100731797462472,0.0671582133014865,0.134529524463742
32,1,37478,0.089784171171679,0.0672602499347205,0.18277683008711
33,1,39144,-0.0193853163054302,0.0671141667963469,0.772872676626979
34,1,41499,-0.027271665205552,0.0669201753120153,0.683869237179472
35,1,45359,-0.0293772712549734,0.112677657375917,0.794460792935
36,1,45634,0.0076753942885901,0.10350695866577,0.940930316430292
37,1,51248,0.0447531144544745,0.0671786101060295,0.505730528309858
38,1,51462,0.0436685247834694,0.0672718385539349,0.516673041942267
39,1,52124,0.0246243740897833,0.0672080478357423,0.714293386128744
40,1,52667,0.00898790858147441,0.0671113904657719,0.893538017053893
41,1,55470,0.00459841593294336,0.0689390887487783,0.946856232534377
42,1,59265,0.0222723365117635,0.0670687629329155,0.740024347697123
43,1,60165,0.0562370863219907,0.0669616839396875,0.401566656734619
44,1,62308,-0.0333297867146935,0.0669313272874534,0.618815336158198
45,1,62869,-0.0351601852192644,0.066920261642509,0.599632106591728
46,1,65431,-0.0338510306941948,0.0698956500722959,0.6284675581842
47,1,65451,-0.0315811472842201,0.0689069774470561,0.647007689211551
48,1,65719,-0.0143454858619235,0.0718745281261523,0.841915639842721
49,1,66841,-0.0320705190052566,0.0669562195716751,0.632251236164879
50,1,66948,-0.0392629457084007,0.0673566158792743,0.560325061572729
51,1,68621,-0.0807342357371054,0.0670689540913086,0.229492911569462
52,1,69417,-0.066454785216032,0.0669351608671536,0.321476140916275
53,1,69820,-0.605236499805584,0.260299024497909,0.0206298420986581
54,1,69821,-0.0860451405767186,0.162673073127942,0.597175899587501
55,1,70906,-0.0165931669684296,0.107669913052982,0.877609924738481
56,1,74327,-0.0345427339575693,0.0673719855066142,0.608470267566064
57,1,74572,-0.0396400106634038,0.0671845145305647,0.555556685588124
58,1,75211,-0.0288373819683818,0.0670775445672171,0.66752261539784
59,1,76030,0.0137872653712123,0.0670910894409141,0.837299411672074
60,1,80108,-0.0537957683901312,0.0670181017708611,0.422685338877969
61,1,81262,-0.0705482399848015,0.0669486625202809,0.292710691865051
62,1,81999,-0.0813842555653013,0.0670779187915285,0.22583424867355
63,1,82431,-0.0617665375984411,0.0674557629879715,0.360470379722995
64,1,83284,-0.0725501347730495,0.0669330833791731,0.279139856631625
65,1,83613,-0.0681068479098276,0.0669389091265964,0.309637260839841
66,1,84112,-0.0950077395382661,0.0668534048475678,0.1561601779837
67,1,84701,-0.125765506645143,0.0714801451342111,0.0793678920384577
68,1,84858,-0.0946677750298453,0.0670445260048846,0.158826893054932
69,1,85751,-0.0743910291601703,0.067393734634393,0.270420036006884
70,1,87445,-0.0194556195057109,0.0676447302284281,0.77381045736887
71,1,87467,-0.0360200930488433,0.0679797921575752,0.596538834051998
72,1,89070,-0.043400772074029,0.0675416966696315,0.520915432619472
73,1,89616,-0.022285039158578,0.0672071684423081,0.740397731610692
74,1,89679,-0.0335000515184481,0.0672024965414264,0.618446247439468
75,1,89880,-0.0273479480265943,0.0672274236864575,0.684403256710804
76,1,91472,-0.0422438933344748,0.0677049876827437,0.533069559139788
77,1,93789,-0.019913852620363,0.0670359983450735,0.766593843368794
78,1,94351,-0.0223791844554059,0.0672102719167398,0.739352571604705
79,1,99148,-0.00444869061850414,0.0670439588133855,0.947132894084264
80,1,101281,0.860003187858495,0.731816107164486,0.240721570949928
81,1,106011,-0.0262579418457596,0.0698588403951323,0.707238265338613
82,1,106800,0.00474934603306519,0.0671343361330446,0.943641627045891
83,1,107970,0.010412996126067,0.066933620983755,0.876459332757893
84,1,109000,-0.00251833532943654,0.0670537452415198,0.970062148537698
85,1,112549,0.0376045966958218,0.0669480621345764,0.574678196384681
86,1,112742,0.062802111303515,0.0671557836555754,0.35033969537457
87,1,113050,0.050007331798789,0.0670730159602817,0.456426034815122
88,1,113135,0.02849611515691,0.0669376513031953,0.670577651675903
89,1,114076,0.0136681856037944,0.0669508797045647,0.838352022086105
90,1,114628,0.0233434322834528,0.067112716328125,0.728179464913601
91,1,116283,0.044547727167938,0.0674558965224063,0.509429270335486
92,1,126880,-3.1852911039236,1.25504824267006,0.0115786510862177
93,1,127853,0.028400386214188,0.0673549213063181,0.673535165604271
94,1,128302,0.0627873174253352,0.0670298421361869,0.349549726457266
95,1,128704,0.0762952750432172,0.0670570590839788,0.255989649607134
96,1,128911,0.0786601575460194,0.0670567678743358,0.241571373833034
97,1,130267,0.0221008319883141,0.0671451858685617,0.742237579490558
98,1,130271,0.0245452549882898,0.0672225003393791,0.715229668674913
99,1,130613,0.0383407665269152,0.0678328142461257,0.572280141696639
100,1,132012,0.0419645887812968,0.0676826120772719,0.535644494375181
101,1,133231,0.068515774938755,0.0671399565450535,0.308194143511013
102,1,137074,0.0162251582341855,0.0671377387564791,0.809176422695883
103,1,137304,0.0287871371954748,0.0671491523482203,0.668399842811471
104,1,139686,8.4362878798816e-05,0.0672548976755578,0.998999862184012
105,1,149562,0.00371169460738002,0.0674080395312673,0.956119356129455
106,1,150447,0.011463555336218,0.0681533085054642,0.866520320157876
107,1,151446,-0.117676430129364,0.136779437630917,0.390187161866173
108,1,154084,0.013301140809923,0.0683629407292114,0.845844226179237
109,1,156633,0.0103150651574642,0.0693017279559378,0.881762648175413
110,1,157269,0.0238401210542162,0.067113811094071,0.722637454724857
111,1,160054,0.00799414896814465,0.0677622188355095,0.906155720693635
112,1,166222,0.0134320023414617,0.0672585585634636,0.841824760209918
113,1,166416,0.0180643012819169,0.0671189189695122,0.787980158833266
114,1,167326,-0.00601943612577105,0.067506489989574,0.928998758911786
115,1,168836,0.0263009777237853,0.0671727520158282,0.695632631017996
116,1,171200,0.0525274173075493,0.0672298489645909,0.435143308355501
117,1,171431,0.0611581898331922,0.0676297454137004,0.366448292416468
118,1,173339,0.0538349448763068,0.067120362135549,0.423054527381575
119,1,173845,0.0612262030340918,0.0670466576413286,0.36176694248958
120,1,175121,0.0607376859116555,0.0669146694898857,0.364661968587463
121,1,175281,0.0595252228942394,0.0669747620950063,0.374731417691527
122,1,175315,0.0576647204659897,0.0669582441843723,0.38971018182065
123,1,175523,0.0594606629988026,0.067333996171811,0.377799183423134
124,1,175541,0.0587593277556667,0.067060335768416,0.381508571753817
125,1,175653,0.0555621434428397,0.0672806926517076,0.409460593569258
126,1,175805,0.015254565863516,0.0711500928307073,0.830359091528249
127,1,175818,0.047294914983326,0.0694744380045258,0.496474227317946
128,1,175856,0.0590939241064789,0.0683851566351458,0.388101196802029
129,1,175876,0.067987898116724,0.0673111308247606,0.313161100980894
130,1,175989,0.0515894543833741,0.0675448674333557,0.445508230079539
131,1,176001,0.0512643923072511,0.0678980996638954,0.450740691978246
132,1,176451,0.0657396739570132,0.0686806554825172,0.339132041410805
133,1,177692,0.0407355691088611,0.0669934738540214,0.543543464150363
134,1,178191,0.0381025857843417,0.0670644466867728,0.570295136993364
135,1,178224,0.0407355691088611,0.0669934738540214,0.543543464150363
