SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0138849543336397,0.0751482154590994,0.853517438709526
2,1,1035,0.0311032901383282,0.0759559659922967,0.682427677850626
3,1,1074,-0.0826269557647077,0.128315377740519,0.5200347644611
4,1,1470,-0.192159785034805,0.127518870095991,0.132727430275904
5,1,1475,-0.150698320281482,0.0940833777609331,0.110104719998507
6,1,1491,-0.0838811205604557,0.08247669038626,0.309836551835401
7,1,21249,-0.799601767340976,0.472274802145083,0.0913213774434243
8,1,27243,-0.112641442170393,0.064410686742374,0.0811946914341592
9,1,27272,-0.141098635734718,0.0632735032772583,0.0263771024231119
10,1,27498,-0.251339671614065,0.581701883182749,0.665949671999275
11,1,27561,-0.420462739242082,0.439004762890425,0.338837517040046
12,1,27816,-0.00910469676416603,0.0650159609242869,0.888709935822696
13,1,27822,-0.015319464433166,0.0649300122972666,0.813617524921651
14,1,27823,-0.00323373453768938,0.0662724320374281,0.96111060846131
15,1,27825,-0.0227611942682472,0.0649238300148327,0.726110288552974
16,1,27843,-0.00734603807018202,0.0622088101169896,0.906066062310798
17,1,27848,-0.00734603807018202,0.0622088101169896,0.906066062310798
18,1,28495,0.00487896400874088,0.0622105041328652,0.937533078947755
19,1,28975,0.0238945675080394,0.0617821125288026,0.699170313430332
20,1,29283,-0.0385868077049061,0.13847091797963,0.780666151026322
21,1,29752,-0.193597770878103,0.144013376296613,0.179713322917029
22,1,29787,-0.620385271601785,0.389282622606138,0.111906517725875
23,1,30057,0.0935619579221267,0.12657471196326,0.46028671768797
24,1,30479,0.235473263451238,0.370954090673538,0.525984819939896
25,1,30706,-0.0162783588053994,0.0638131747320017,0.798799045224408
26,1,31435,-0.00307465770473664,0.0616312587768903,0.96023988812209
27,1,35128,-0.106375021239867,0.0847577564488526,0.210291703105257
28,1,35129,-0.0261243155915798,0.0851528293342892,0.759181614760663
29,1,36146,-0.0335152761209944,0.0612877235280171,0.584826353307542
30,1,37255,0.0131861293752351,0.123755596296736,0.91520670112582
31,1,37409,0.001108141473396,0.0616451643961186,0.985668051911968
32,1,37478,-0.0169079076454789,0.0616916219290349,0.784190077296725
33,1,39144,-0.0679355532115098,0.0613101087031717,0.268588383403845
34,1,41499,-0.0221827875345438,0.0612349034347327,0.7173765768407
35,1,45359,-0.15780840194271,0.102767179997077,0.125534401568723
36,1,45634,0.0170282972475082,0.0947051474642928,0.857410166942678
37,1,51248,-0.0333957487015025,0.0614812884400663,0.587344865678569
38,1,51462,-0.0351170952863644,0.061562013804278,0.56874595534319
39,1,52124,-0.0253447164015651,0.0614921828274064,0.680471158475265
40,1,52667,-0.0761128467658316,0.061274634656364,0.215002454953388
41,1,55470,-0.0360407948318248,0.0630504093569726,0.567944088417782
42,1,59265,0.0433442687356417,0.0613340534877138,0.480224269458527
43,1,60165,0.0388862176749285,0.0612961114251084,0.526231097623096
44,1,62308,0.0702854238546571,0.0611492714595342,0.251166199619481
45,1,62869,0.0705732207017434,0.0611406234279663,0.249167429219383
46,1,65431,0.0514602666846643,0.0639170248508271,0.421297872945489
47,1,65451,0.0696009843957002,0.0629596701032807,0.269702269552435
48,1,65719,0.04581883570367,0.0657235915875195,0.486171273481146
49,1,66841,0.0571812012520028,0.0612091513847155,0.350842581552358
50,1,66948,0.0443926512107245,0.0616155935580973,0.471707840896439
51,1,68621,0.110041565233238,0.0612142852931362,0.0730877195356753
52,1,69417,0.0941503587997191,0.06112598179117,0.124391084066287
53,1,69820,-0.34792369302024,0.23927472881109,0.146813688014733
54,1,69821,0.0178854848258929,0.148901604106246,0.904459487279236
55,1,70906,-0.0531639717316121,0.0984805156079037,0.589646005277786
56,1,74327,-0.0253033861088291,0.0616535298130947,0.681752285544621
