SNP,Chr,Pos,Effect,SE,PLM2_SNA3_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0883575159428035,0.164151069874988,0.590730226558583
2,1,1035,0.06001871534284,0.165984220709934,0.717872608678879
3,1,1074,0.149762567173749,0.28044033263102,0.59365933693647
4,1,1470,-0.0398890355044532,0.279535215833795,0.886610338326493
5,1,1475,0.192129396716378,0.206078932806358,0.351813686850723
6,1,1491,0.427566133856716,0.179047761824016,0.0174655389569261
7,1,21249,1.05457768584066,1.03465383864484,0.308779231160219
8,1,27243,0.163970935479093,0.141086035684907,0.245937242854782
9,1,27272,0.139416349057323,0.139034987775497,0.316671776810559
10,1,27498,0.74549932602944,1.27082542789745,0.557829820303577
11,1,27561,-0.754883142455838,0.959698281214045,0.432053263695003
12,1,27816,-0.0286243439742753,0.142065714410153,0.840434126007145
13,1,27822,-0.0372817584892908,0.14187943728395,0.792880616595591
14,1,27823,-0.0390984634905372,0.144801056589722,0.787306464133066
15,1,27825,-0.0288818586224453,0.141884985593696,0.838816018158498
16,1,27843,-0.030873785481757,0.135928630758955,0.820452334146746
17,1,27848,-0.030873785481757,0.135928630758955,0.820452334146746
18,1,28495,0.000281003679199976,0.135940763297056,0.998351858557667
19,1,28975,-0.0283298670516939,0.135023658914528,0.833933810844802
20,1,29283,-0.298618978963164,0.302195988246912,0.323749520931622
21,1,29752,0.530234233075118,0.314231245372347,0.0924095437199885
22,1,29787,1.12729105600815,0.851586332753952,0.186441269071665
23,1,30057,-0.271047225915293,0.276423112504836,0.32748527469233
24,1,30479,0.616747854700744,0.810390039149815,0.44713490705173
25,1,30706,0.00974067663100023,0.139453551344169,0.944353480278671
26,1,31435,-0.0683401506497731,0.134625184396279,0.612027943779025
27,1,35128,0.460374868006365,0.183997166247179,0.0127985295103604
28,1,35129,0.267432329672179,0.185551760499707,0.150391630241005
29,1,36146,-0.120810359168773,0.133825488042938,0.367276555528204
30,1,37255,-0.130732898428016,0.270339947066115,0.628978794888879
31,1,37409,-0.0718099358292776,0.134650052792214,0.594156073369381
32,1,37478,-0.0690286764083044,0.134770013507336,0.608834068350377
33,1,39144,0.073056313350393,0.134148523280138,0.586377497085043
34,1,41499,0.0867424674110965,0.133752953577986,0.517065485044882
35,1,45359,-0.08548447332576,0.225265038860845,0.704556682104065
36,1,45634,0.103867920743459,0.206881029292585,0.615934146599942
37,1,51248,-0.0808107016140028,0.134333425191025,0.547847810605749
38,1,51462,-0.0939776085698236,0.134491533217052,0.485160718245829
39,1,52124,-0.114798815746957,0.134263305237061,0.393115865633959
40,1,52667,-0.11077684050515,0.134057270534354,0.409169603404462
41,1,55470,-0.235488413231287,0.13726761583594,0.0871233041671608
42,1,59265,-0.147434802388476,0.133889411570858,0.271573611998687
43,1,60165,-0.109847787343762,0.133890231595791,0.412523723723515
44,1,62308,-0.109191699466218,0.133744222575124,0.414809528826153
45,1,62869,-0.0708712094334601,0.133800458411395,0.59666790847868
46,1,65431,-0.0087970489392829,0.139795983316846,0.949859640857622
47,1,65451,-0.00319866252500606,0.137814459874645,0.981495940282846
48,1,65719,-0.0148241013090924,0.143712885134759,0.917901849594051
49,1,66841,0.0206257062973738,0.133912203393156,0.877678752443127
50,1,66948,0.00440770317059458,0.134738361573343,0.973921903234276
51,1,68621,-0.110041049656626,0.134245854015062,0.412941426698613
52,1,69417,0.00684952071241646,0.134017327361818,0.959267399057396
53,1,69820,0.298231259056474,0.524175537549691,0.569749825246497
54,1,69821,-0.329192479551192,0.324907615090541,0.311664348885489
55,1,70906,-0.23392937003288,0.214923637032347,0.277147791245442
56,1,74327,-0.0901850513781733,0.134669124989492,0.503500395748964
57,1,74572,-0.0624121852183783,0.134354823795031,0.642552640360555
58,1,75211,-0.14180205449452,0.133938415165166,0.290455390742877
59,1,76030,-0.0149062779088349,0.134148545552221,0.911586163834386
60,1,80108,0.0599178673509105,0.134081251839664,0.655237700786376
61,1,81262,0.135592716526124,0.133874087119216,0.311831427110479
62,1,81999,0.114300607469918,0.134258121493791,0.395152294013055
63,1,82431,0.0825749110414927,0.134960534512231,0.541034258464954
64,1,83284,0.145269735281119,0.133826296994817,0.27843674238029
65,1,83613,0.145086036788712,0.133812065546276,0.278992928112269
66,1,84112,0.10618946650228,0.133930267520506,0.42838536507959
67,1,84701,0.09860916701407,0.143447722819783,0.492268027537943
