SNP,Chr,Pos,Effect,SE,ERV25_RBD2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.102654308276631,0.118880063089705,0.388442594595739
2,1,1035,-0.145965511155871,0.120056358951514,0.22487041281857
3,1,1074,-0.417715086432793,0.202091879838985,0.0394668973050492
4,1,1470,-0.0468842953724944,0.202563623758362,0.817095706529183
5,1,1475,0.125531425666687,0.149375365152364,0.401266615594556
6,1,1491,0.140915917387149,0.130580681522132,0.281258439414488
7,1,21249,0.247221245949513,0.750778570166083,0.742134436225688
8,1,27243,-0.00626919383977326,0.102436891246661,0.951234128703983
9,1,27272,-0.0971022976481216,0.100766606737713,0.335888267495723
10,1,27498,0.0780077248522955,0.921379255923941,0.932576450161108
11,1,27561,0.20175415709301,0.695999065293497,0.772080494051662
12,1,27816,0.0272656624436529,0.102947655714119,0.791279778214161
13,1,27822,0.00662679203509037,0.102826423149636,0.948651270201739
14,1,27823,-0.01717257169024,0.104941063068899,0.870108080956953
15,1,27825,-0.013688914451239,0.102824446808479,0.894167229069821
16,1,27843,-0.0650503966319712,0.0984508878642239,0.509210309181647
17,1,27848,-0.0650503966319712,0.0984508878642239,0.509210309181647
18,1,28495,-0.0333182148161343,0.0984973818423101,0.735364605407512
19,1,28975,-0.0309556442907777,0.0978409674483692,0.751895523547844
20,1,29283,-0.0957081755590701,0.219238434737949,0.662705821048347
21,1,29752,-0.446531177238642,0.227394542595516,0.0503511932340826
22,1,29787,-0.589566617959548,0.617859789955519,0.34063143546266
23,1,30057,0.235645925764658,0.200198007609516,0.239962890739091
24,1,30479,0.0948546440030849,0.587732123358902,0.87187782550644
25,1,30706,-0.0138706405274591,0.101056987297307,0.890906991736344
26,1,31435,-0.0107093628730888,0.0975939104569293,0.912682749851436
27,1,35128,-0.0661703723177967,0.134469842918218,0.622966290383384
28,1,35129,-0.0752696938851207,0.134800909725064,0.576941135186799
29,1,36146,-0.097424197715445,0.0969537659575671,0.315656358084862
30,1,37255,-0.0970932184232902,0.195906273077078,0.620477593118738
31,1,37409,-0.0493574835993275,0.0975819404714308,0.613308888269122
32,1,37478,-0.0628534828770091,0.0976439210621804,0.520187362306592
33,1,39144,-0.0560912763217526,0.09720954327992,0.564297726676829
34,1,41499,-0.0320879989424255,0.0969705725056473,0.740912952890535
35,1,45359,-0.0144434509936786,0.163276207697363,0.929561054806838
36,1,45634,-0.0726134186283522,0.149925939586036,0.628453046982487
37,1,51248,0.089320682115841,0.0972823337859462,0.359162367980047
38,1,51462,0.0766995991766682,0.0974450264388621,0.431747744606652
39,1,52124,0.050780181405664,0.0973609195905931,0.602299358591992
40,1,52667,0.0113252518070993,0.0972404644917755,0.907349103462235
41,1,55470,0.0347303824338637,0.0998715975335356,0.728234947328942
42,1,59265,-0.00876026571319533,0.0971921578189461,0.928232277630734
43,1,60165,-0.0325094731508606,0.0971044154695738,0.737983232262273
44,1,62308,-0.14825887760408,0.0966915598565529,0.126093319900241
45,1,62869,-0.141752012038438,0.0967069778726169,0.143595978919368
46,1,65431,-0.140811112702868,0.101030105130172,0.164268697557726
47,1,65451,-0.146269560580597,0.0995673521303851,0.142709431025484
48,1,65719,-0.202574014479715,0.103587595073478,0.0513029987264705
49,1,66841,-0.163589893347464,0.0966551653151385,0.0914310141848658
50,1,66948,-0.177929534705566,0.0971817966597654,0.0679592249057795
51,1,68621,-0.167167681236861,0.0969702888002113,0.0856003039339192
52,1,69417,-0.113441489303923,0.0969319629845132,0.242661400346211
53,1,69820,0.118071819896447,0.379980889502205,0.756188567080485
54,1,69821,-0.0104343811261711,0.235795007270476,0.964728619805087
55,1,70906,-0.206909534477812,0.155622492852104,0.184521630151255
56,1,74327,-0.0726889561149035,0.097577120063594,0.456804550317545
57,1,74572,-0.0440164489158322,0.0973656214317636,0.651493459444829
58,1,75211,-0.0965115667523031,0.0970804563502817,0.320835664497985
59,1,76030,-0.034166893363875,0.0971992521850568,0.725412528386221
60,1,80108,-0.0323396762137962,0.0971780334262331,0.739491920272678
61,1,81262,-0.0809420013906987,0.0970609705836263,0.404884687334773
62,1,81999,-0.0799086276342663,0.0973008933020742,0.412056594407525
63,1,82431,-0.0448548852394762,0.097825711857474,0.646862233657388
64,1,83284,-0.0606185347764988,0.0970891704121546,0.532794897909713
65,1,83613,-0.0512549869936055,0.0970937428886714,0.597906128543592
66,1,84112,-0.0628552856204771,0.0970851411453974,0.5177781418288
67,1,84701,0.0138939920864265,0.104020403244033,0.893818822064926
68,1,84858,-0.0369631231438019,0.0973970636032332,0.704537658030242
69,1,85751,-0.0217106065733386,0.0978105145242783,0.824468724980569
70,1,87445,0.0298515593625477,0.0980112418199693,0.760871009984197
71,1,87467,0.0130831549599299,0.0985348193576349,0.894445420961945
72,1,89070,0.040443054167127,0.097896903298809,0.679770382176286
73,1,89616,-0.0259242858106027,0.0973840278503886,0.790235403334592
74,1,89679,-0.0234529121082437,0.0973981369493312,0.809854370854006
75,1,89880,-0.016059510297379,0.0974270666583665,0.869167237550189
76,1,91472,0.00570269389189446,0.0981535545836368,0.953702072815604
77,1,93789,-0.0341331999454746,0.0971257749800559,0.725473217255424
78,1,94351,-0.04221177021819,0.0973725108451112,0.66491048915855
79,1,99148,-0.0533984798356066,0.0971011794390631,0.582717781932391
80,1,101281,0.970939412847541,1.06116654990197,0.360830049149984
81,1,106011,0.0181950620492489,0.101236353025489,0.857468808984601
82,1,106800,0.0388457033926575,0.0972518233937429,0.689814861265012
83,1,107970,0.0215961778794161,0.096978799365338,0.823905827592815
84,1,109000,0.100148747277699,0.0970101997465136,0.302613655099793
85,1,112549,0.139214074818613,0.0967632709165653,0.151119356565147
86,1,112742,0.124958132094685,0.0971973636529012,0.199421120275825
87,1,113050,0.0728398062235121,0.0971834501965792,0.454050064740905
88,1,113135,0.0652970099174253,0.0969507479900698,0.501065506173488
89,1,114076,0.076483479462324,0.0969275737470038,0.430595684766726
90,1,114628,0.0420327366341268,0.0972327120215275,0.665794550441759
91,1,116283,0.188875898721564,0.0972813463098117,0.0529878900987534
92,1,126880,-0.944881013987369,1.83430700297846,0.606794322851717
93,1,127853,-0.0071334028928992,0.0976165573110597,0.941787229004523
94,1,128302,-0.0146130251609134,0.0972392222846149,0.88063023302901
95,1,128704,-0.00757305680146569,0.0973382957621165,0.938030103933932
