SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0961192637743937,0.0664279555049329,0.148792714911031
2,1,1035,0.0735503833323159,0.0672396719364913,0.274764877526542
3,1,1074,0.0420082989367403,0.113800765654191,0.712245449225738
4,1,1470,-0.0320079051726205,0.113400040072097,0.777912207718589
5,1,1475,0.054890486034707,0.0836596668522759,0.512176615702921
6,1,1491,0.0373158693294526,0.0731984897681218,0.610517052668089
7,1,21249,0.366917532693964,0.419930316564505,0.382843999977596
8,1,27243,-0.0354613426953958,0.0573180184451352,0.536528142938772
9,1,27272,-0.0604234679099396,0.0563962092262436,0.284717041513693
10,1,27498,0.198931654342489,0.515726126308285,0.699928110486403
11,1,27561,0.0463337034615861,0.389690165069681,0.905423143465562
12,1,27816,-0.0162602378715903,0.0576339585265479,0.778009576869866
13,1,27822,-0.0194892257547333,0.0575578507588247,0.735110594745044
14,1,27823,-0.0243847095043302,0.0587386205654263,0.678292139215917
15,1,27825,-0.0197059211969736,0.0575576417456804,0.732277378373414
16,1,27843,0.000937890101996073,0.0551512872796086,0.986441620204312
17,1,27848,0.000937890101996073,0.0551512872796086,0.986441620204312
18,1,28495,0.0255117196130313,0.0551354851269688,0.643857615608368
19,1,28975,0.00354453028006299,0.0547832171294235,0.948448671108124
20,1,29283,0.0525858103198455,0.122740760917607,0.66859946672655
21,1,29752,-0.227813907138993,0.127423524022598,0.0746581692863148
22,1,29787,-0.063821155709447,0.346334873711044,0.85390286716121
23,1,30057,0.116094943325932,0.112129460247222,0.301207130507131
24,1,30479,0.129419895722688,0.328978920077793,0.69426248566078
25,1,30706,-0.0189570518042385,0.0565687607928343,0.737737236813512
26,1,31435,0.00792846690450472,0.0546367647380623,0.884705021748372
27,1,35128,-0.137424117249181,0.0749520377356975,0.0675709700768765
28,1,35129,-0.0731898850723058,0.0754003734543649,0.332370628035575
29,1,36146,-0.0126454781218109,0.0543524887129841,0.816162722665151
30,1,37255,-0.0914737357414754,0.109607221328703,0.404530258560085
31,1,37409,-0.0178579023175797,0.0546422885637934,0.744001746872743
32,1,37478,-0.0292861218408433,0.0546753197005416,0.592546788615554
33,1,39144,-0.00372085391314955,0.0544475754112257,0.945555040763902
