SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0393675463672281,0.0672173821339048,0.558468117135246
2,1,1035,0.0358548764528256,0.0679589528946289,0.598111172149141
3,1,1074,0.041986628074393,0.114869382620959,0.714944987472301
4,1,1470,0.0451965517150557,0.114452101331857,0.693158948425242
5,1,1475,-0.0371662103575439,0.0844732499335694,0.660223681853187
6,1,1491,-0.0602119018093454,0.0738432464655308,0.41539228403383
7,1,21249,-0.0296497581538997,0.424327151449139,0.944332908423262
8,1,27243,-0.0173475531703764,0.0578800250088571,0.764570410684281
9,1,27272,0.00484335562868665,0.0570174690530163,0.932353177843448
10,1,27498,-0.784598886418528,0.518999310065556,0.131491332331806
11,1,27561,-0.279452049546599,0.393074538491805,0.477591461344915
12,1,27816,-0.039463119712279,0.0581435689231865,0.497760918244611
13,1,27822,-0.0426033761338876,0.0580632877397548,0.463594047469763
14,1,27823,-0.0376520666280127,0.0592705689721985,0.52567212445083
15,1,27825,-0.0478916247316021,0.0580516122853131,0.409938067313367
16,1,27843,-0.0256091217015594,0.0556522951184281,0.645682607876233
17,1,27848,-0.0256091217015594,0.0556522951184281,0.645682607876233
18,1,28495,-0.0242256174928852,0.0556549515046643,0.663623517547544
19,1,28975,-0.0439236627040787,0.0552483243544617,0.427134606781234
20,1,29283,0.0616791165352142,0.123881576416299,0.618873201276083
21,1,29752,-0.165628217717455,0.128899491034869,0.199655442818816
22,1,29787,-0.441304183677221,0.348812611119999,0.206648051301911
23,1,30057,0.107467984848578,0.113209271353707,0.343124575059671
24,1,30479,-0.291057093438939,0.331778179749146,0.380939838547221
25,1,30706,-0.0307305378825705,0.0570853948683707,0.590691448384016
26,1,31435,-0.0338169136051893,0.0551218762863751,0.539945172536695
27,1,35128,-0.061146973818027,0.0759452576845169,0.421277759902469
28,1,35129,-0.0610268581073776,0.0761403697902983,0.423378753439282
