SNP,Chr,Pos,Effect,SE,PMC1_CTR2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0433821330028062,0.168822210955089,0.797352149531565
2,1,1035,0.0228894784164825,0.170680726352116,0.893394397738288
3,1,1074,-0.0607222088300432,0.288427653298317,0.83337676724156
4,1,1470,-0.0600642784034697,0.287389244958357,0.834568991054425
5,1,1475,-0.0341627309977781,0.212128977801678,0.872148527237201
6,1,1491,0.0172882602256559,0.185563160279243,0.925824184352878
7,1,21249,-0.886679815557885,1.06427772283394,0.405335748761653
8,1,27243,-0.111499436096166,0.14521092261115,0.443092775659243
9,1,27272,-0.104391541944935,0.143041709981007,0.465997715979751
10,1,27498,-0.935647218872831,1.30626242621663,0.474293205440159
11,1,27561,1.80333829271243,0.982884223800321,0.0673854033288614
12,1,27816,0.0619802153963776,0.146033264887004,0.671514206709354
13,1,27822,0.0567039362681508,0.14585364875677,0.697678587283347
14,1,27823,0.0701555420239408,0.148842954787387,0.637689582683924
15,1,27825,0.0583801214101443,0.145851775411006,0.689199624073993
16,1,27843,0.0642215163112219,0.139720804369688,0.646056326938782
17,1,27848,0.0642215163112219,0.139720804369688,0.646056326938782
18,1,28495,0.0777169622666232,0.139703648260962,0.578359112107979
19,1,28975,0.0478592513941335,0.138807253359093,0.73045813410641
20,1,29283,-0.473872950729954,0.310102405128718,0.127378867637246
21,1,29752,-0.312599439710727,0.323944140829091,0.335215709834116
22,1,29787,2.07684631624764,0.870723993595044,0.0175971306349749
23,1,30057,-0.0208031712803871,0.284583713189869,0.941767659145411
24,1,30479,0.409280335305542,0.833585551705731,0.623740172204766
25,1,30706,-0.00961776889181892,0.143376553951496,0.946555605868452
26,1,31435,-0.020710183354091,0.138458408453867,0.88118383332741
27,1,35128,0.215060146643945,0.190499654975971,0.259695369124953
28,1,35129,0.175859022383041,0.191102866870431,0.35807982576485
29,1,36146,-0.0885567607575887,0.137668159991055,0.520471446232675
30,1,37255,-0.0835996620337767,0.278001243298435,0.763807443130831
31,1,37409,-0.0358762577607523,0.138480447751884,0.795731525145917
32,1,37478,-0.0545479508948919,0.138582258157762,0.694103499928121
33,1,39144,-0.0145113777411532,0.137977980180877,0.916299306381905
34,1,41499,-0.0526672490391968,0.137568858716959,0.702066736927807
35,1,45359,-0.211357934491284,0.231375826647226,0.36161194006734
36,1,45634,-0.325524826811961,0.2120700861822,0.125682788819565
37,1,51248,-0.0889668914885802,0.13810193732608,0.519856493572379
38,1,51462,-0.0893042175046288,0.138288808745117,0.518841069635587
39,1,52124,-0.0370744580535338,0.138169004061758,0.788604451060041
40,1,52667,-0.131109524165862,0.137785040006945,0.341975687108831
41,1,55470,-0.121517590968087,0.141568483737908,0.391272776621084
42,1,59265,-0.0283783193964415,0.137883765956747,0.837055356985309
43,1,60165,-0.0328164971590616,0.137776767031602,0.811875033857397
44,1,62308,-0.0759912887115997,0.137576860768505,0.581054601310679
45,1,62869,-0.0315968310604042,0.137608738885636,0.818525063299405
46,1,65431,-0.0301856618179291,0.143720368189923,0.833765033271303
47,1,65451,-0.0137777821479835,0.141689487190116,0.922591569285979
48,1,65719,0.0375303097054823,0.147744352632351,0.799626491580611
49,1,66841,0.0695229960906828,0.137634139996417,0.613783446223944
50,1,66948,0.0292625204303879,0.138520099874139,0.832813258769091
51,1,68621,-0.100161389237749,0.138050682409522,0.468601100801327
52,1,69417,-0.0378297222133665,0.137773125943763,0.783799682876465
53,1,69820,-0.992893164595144,0.536571894687446,0.065085773499252
54,1,69821,-0.388500422243527,0.333893189048253,0.245393510648948
55,1,70906,0.0672991848059228,0.221311083339332,0.761236098913667
56,1,74327,-0.00802763792114841,0.138544726402468,0.953827156717337
57,1,74572,0.0195653446813921,0.138172609150581,0.88747615277459
58,1,75211,0.0193465710076313,0.137920805889556,0.888524267228319
59,1,76030,0.0591859711094423,0.1378886708709,0.66801761089365
60,1,80108,-0.0925932053891682,0.137803943192985,0.502074230661395
61,1,81262,-0.108473746759469,0.137718943618962,0.431432467320302
62,1,81999,-0.166332440737928,0.137892635940548,0.228530464956052
63,1,82431,-0.217194022189955,0.138348498459809,0.117333073386274
64,1,83284,-0.183065189078732,0.137475519858245,0.183844218249112
65,1,83613,-0.143737585924935,0.137592665617835,0.296894868957764
66,1,84112,-0.171181815815613,0.13751888565802,0.214035567529923
67,1,84701,-0.123392093326524,0.147435487797977,0.403202289205238
68,1,84858,-0.0477407396330769,0.13818598676316,0.729937995175487
69,1,85751,-0.144007322966752,0.138565598267255,0.299389648218183
70,1,87445,-0.119149867030148,0.138926121066641,0.391668146732911
71,1,87467,-0.165065018873937,0.139522498928567,0.237577183984159
72,1,89070,-0.139988691885018,0.138723925891667,0.313609654064963
73,1,89616,-0.065278303227664,0.138132844744844,0.636807560189668
74,1,89679,-0.101156988804596,0.138089109825443,0.46431988739596
75,1,89880,-0.0866350753739879,0.138152114556535,0.530999615166456
76,1,91472,-0.0950584075688507,0.139163149315623,0.495009599015711
77,1,93789,-0.105313814883349,0.137706341858861,0.444918876632977
78,1,94351,-0.146762053565155,0.137962133258988,0.288153234706562
79,1,99148,-0.12256573898728,0.137665898424004,0.373904215325032
80,1,101281,0.995917822121664,1.50637182490846,0.508955863542157
81,1,106011,-0.115467456004002,0.143503147989293,0.421572721225916
82,1,106800,-0.140074842066376,0.137804751713596,0.310100253098515
83,1,107970,-0.0708322495595224,0.137545758703248,0.606894712920868
84,1,109000,-0.114721459308305,0.137704600944901,0.405352643821757
85,1,112549,-0.208006799580902,0.137238041581851,0.130499181734406
86,1,112742,-0.150866637583552,0.137986848963527,0.274989784498404
87,1,113050,-0.121501411956256,0.137836143858215,0.378651565598895
88,1,113135,-0.168503441376193,0.13734379085268,0.220687830984524
89,1,114076,-0.0760350470975605,0.137576792278186,0.580836792293481
90,1,114628,-0.00682732520169597,0.137984018576029,0.960565475278216
91,1,116283,-0.0126822358512347,0.138750310794693,0.927223987680882
92,1,126880,-3.22926921688328,2.59770368201232,0.214646968905091
93,1,127853,0.095285485853509,0.138400723038928,0.491605691763279
94,1,128302,0.120306448550796,0.137812958342271,0.383273370755989
95,1,128704,0.113101119240483,0.137967703834899,0.412903137843167
96,1,128911,0.187095735944231,0.137754792350093,0.175274132993802
97,1,130267,0.0231725445047773,0.138043274007944,0.866786125795698
98,1,130271,0.0233530361511091,0.13820704028556,0.865915923073092
99,1,130613,0.0938191226412326,0.139414820678851,0.501419769012006
100,1,132012,-0.0916834482399304,0.139122552529506,0.510317629077046
101,1,133231,-0.159588203984664,0.137959052196928,0.248144667420728
102,1,137074,-0.0836112808544012,0.137951951753334,0.544844605683164
103,1,137304,-0.115614295222701,0.137934494687719,0.402495326525202
104,1,139686,-0.0570254363151766,0.1382198141036,0.680171675523787
105,1,149562,-0.113310529443063,0.138437232966904,0.413625351587477
106,1,150447,-0.0626017416793725,0.140065949229809,0.655189037477645
107,1,151446,-0.0464807867325545,0.281455636561132,0.868924957052983
108,1,154084,-0.0904171261529106,0.14045600865764,0.520162167432588
109,1,156633,-0.0665079167189638,0.14242120497659,0.640801970040485
110,1,157269,-0.113973959424299,0.137854357509337,0.408925470363226
111,1,160054,-0.0356503227275547,0.139285835509149,0.798137902958398
112,1,166222,-0.024046015420821,0.138262546660138,0.862031474809109
113,1,166416,-0.0267860517910691,0.137980398513262,0.846186228616363
114,1,167326,-0.0670970015133333,0.138725925845802,0.628922874833401
115,1,168836,-0.141846161297219,0.137907753530342,0.304391539532145
116,1,171200,-0.165223033368649,0.138041262059389,0.23214464456277
117,1,171431,-0.241204343601565,0.138591297919786,0.0826601568741741
118,1,173339,-0.206639238198098,0.137663600260482,0.134237872650964
119,1,173845,-0.18622841421947,0.137631306063651,0.17689077200743
120,1,175121,-0.189220158611495,0.137345420974603,0.169170121725877
121,1,175281,-0.177252359591199,0.137507974139187,0.198230568152053
122,1,175315,-0.180439376014427,0.137452737213006,0.190124187126089
123,1,175523,-0.164483239338507,0.138291709970995,0.235084322873812
124,1,175541,-0.179348921422842,0.137672470577442,0.193518977343749
125,1,175653,-0.196193938990703,0.138045308582948,0.156133109293099
126,1,175805,-0.126822333076241,0.146114015262819,0.386001364445892
127,1,175818,-0.185974310287588,0.142566255222602,0.192921056367903
128,1,175856,-0.176894053652757,0.14040985931723,0.208559112848103
129,1,175876,-0.166438388466786,0.138285083007592,0.229555028438705
130,1,175989,-0.176910360468153,0.13864452171409,0.202794582018357
131,1,176001,-0.16854336231822,0.139399649668795,0.227446718114564
132,1,176451,-0.148031257504551,0.141147373751563,0.295001084609253
133,1,177692,-0.177611268329167,0.137463171573187,0.197180070874562
134,1,178191,-0.181627966530381,0.137585451806275,0.187653574004189
135,1,178224,-0.177611268329167,0.137463171573187,0.197180070874562
136,1,178960,-0.201054485302209,0.13847546786974,0.14741367418749
137,1,179139,-0.108415592153436,0.275212115676832,0.693867130296228
138,1,179139,-0.307879278531648,0.554164294121637,0.578854027182795
139,1,180955,0.0397016337014795,0.159486780227575,0.803556841123368
140,1,183802,-0.170285533246212,0.137506818031101,0.216398530847298
141,1,183954,-0.138294975830741,0.138613151821775,0.319106044139699
142,1,184450,-0.0939303203735702,0.137502241013703,0.494980077383884
143,1,184641,-0.0622563864026878,0.141558384575126,0.66035617082766
144,1,184718,-0.162464084850032,0.138104419665123,0.240233413393473
145,1,185296,-0.115623411472853,0.137650341178701,0.40148863777231
146,1,185438,-0.0968755800689338,0.137697839781277,0.482184684882375
147,1,185469,-0.103368882907754,0.137883487572335,0.453945076276858
148,1,185503,-0.104990005324188,0.137522816744234,0.445712748415457
149,1,185705,-0.119127316616117,0.139030072572826,0.392111482093564
150,1,185749,-0.105613160300536,0.139061011729043,0.448076199000618
151,1,185806,-0.140503906425593,0.139159622531463,0.313349771341438
152,1,185879,-0.139522367713075,0.139836779982395,0.319083278987236
153,1,185916,-0.053282519194601,0.139941399068501,0.703618683184463
154,1,185941,-0.0530787443004126,0.140551472172266,0.705920320221118
155,1,185954,-0.077528480390914,0.140930018145256,0.582584695400035
156,1,186055,-0.0883980012620766,0.13809640757034,0.522511116403665
157,1,186896,-0.0639271403594204,0.140400669314159,0.649159437551858
158,1,187697,-0.192101523144547,0.286235821898893,0.502576454016821
159,1,189392,-0.304086754153003,0.287464778764308,0.290859645317617
160,1,189416,-0.119773774638416,0.278437212040005,0.667338550312782
161,1,190132,0.191948717046381,0.137974085585632,0.165042790583895
162,1,190148,0.208335305666348,0.13794859278766,0.131877106500524
163,1,190165,0.188458660022739,0.139095782161183,0.176320934421289
164,1,190169,0.210809088949236,0.138830408383749,0.129792344233537
165,1,190933,-0.0263926840815251,0.138146435861382,0.848597345193542
166,1,192149,0.133864228772225,0.139100726637433,0.33653024282706
167,1,192302,0.134794207891556,0.183766306520043,0.463735004049453
168,1,192303,0.074056150273198,0.165999568156024,0.655782245592279
169,1,192305,0.0922308631466437,0.17248168272405,0.593174288124949
170,1,192315,-0.0818488958190802,0.195695948450047,0.676022156091437
171,1,192795,0.170337482780576,0.137593674398636,0.216548180039678
172,1,194020,-0.0386180897900846,0.145227351135895,0.790460131104349
173,1,194187,-0.0197496419065101,0.13800227571311,0.886284182109678
174,1,194867,-0.0860492273676957,0.137855116470118,0.532899129724452
175,1,197325,-0.159987588082663,0.141040082554575,0.257421126751234
176,1,197392,-0.203836815926307,0.142701302128324,0.154056351548833
177,1,198857,-0.387956651326235,0.661057541204941,0.557664312691395
178,1,206666,-0.168883224794764,0.154864420885487,0.276226617232463
179,1,206675,-0.203230616135291,0.20166937198182,0.314268790613639
180,1,223051,-0.028310088316124,0.159836171885301,0.859516178653604
181,1,223059,-0.128997690193505,0.165837922408293,0.437176112638643
182,2,7366,-0.194831064221335,0.19978195836065,0.330119694790448
183,2,8180,0.304375948579233,0.274951492293303,0.269040407882831
184,2,8187,0.162265498620776,0.286288136856282,0.571216489166417
185,2,8250,0.20495267956886,0.281969903704196,0.467793380222351
186,2,8253,0.170857880319597,0.282034261342738,0.545033295386911
187,2,8285,0.121300072060018,0.152849354073094,0.427965923963865
188,2,8302,0.167644742027371,0.142926065923516,0.241607824924246
189,2,8306,0.167644742027371,0.142926065923516,0.241607824924246
190,2,8314,0.184017118384148,0.139924203850229,0.189323216935632
191,2,8317,0.158997201442505,0.143215694180397,0.267671121879308
192,2,8328,0.120059965896619,0.142680635622426,0.400660268744734
193,2,8331,0.119475509396127,0.142413253008343,0.402073348451025
194,2,8498,0.122600395666497,0.139909053662624,0.381470289220687
