SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.159222773357733,0.19916111753168,0.424557201024475
2,1,1035,0.271857165283858,0.201001982364034,0.177078000872235
3,1,1074,0.145114399086097,0.340470594601495,0.67020941588881
4,1,1470,0.13732454507441,0.339253065135576,0.685880742573404
5,1,1475,0.240277961069703,0.250136026518788,0.337416267226858
6,1,1491,0.181987870774146,0.218876640441555,0.4062740799569
7,1,21249,-1.53424865239587,1.25513801615706,0.222381599875858
8,1,27243,-0.0263197100023693,0.171583040849916,0.878175679869589
9,1,27272,0.112996353193495,0.168904845835845,0.50393648343955
10,1,27498,-2.25758043181202,1.53869584028463,0.143210966392476
11,1,27561,0.829836691135937,1.16514148627428,0.476799212667654
12,1,27816,0.0196682778488976,0.172457364902286,0.909265222194859
13,1,27822,0.00819649172484072,0.172240798716186,0.962071985493925
14,1,27823,0.00377711744249948,0.175789037033366,0.982869593113523
15,1,27825,0.0238251049924061,0.172236683166157,0.890060305187589
16,1,27843,-0.00727952619604558,0.165012549070486,0.964837691353816
17,1,27848,-0.00727952619604558,0.165012549070486,0.964837691353816
18,1,28495,0.0277592054902367,0.165009061365281,0.866499966047979
19,1,28975,0.0182458427985047,0.163909763631229,0.911428726084348
20,1,29283,-0.505462962083084,0.36634996485671,0.168544002936183
21,1,29752,0.020820713922749,0.382972458799198,0.956674252931206
22,1,29787,2.81873306408856,1.02536821522356,0.00628520233691508
23,1,30057,-0.0295671242129618,0.335997259160734,0.929928076304275
24,1,30479,1.34009758568142,0.98193527242751,0.173200455909609
25,1,30706,-0.090516722177412,0.169212375427395,0.593035273049498
26,1,31435,-0.0265513877259942,0.163472249765584,0.871066972100228
27,1,35128,0.409312969847237,0.224266526417836,0.0688280841120302
28,1,35129,0.287622370448005,0.225379880630661,0.202735489172013
29,1,36146,-0.102071100274953,0.16254463214994,0.530437893512696
30,1,37255,-0.0199984644947406,0.32826701469689,0.951456335285628
31,1,37409,-0.0167336047016474,0.163512315807694,0.918546107698036
32,1,37478,-0.0262425986606573,0.163649344680958,0.872690233290955
33,1,39144,-0.0204786957424551,0.162904858039915,0.900033409359918
34,1,41499,-0.0948087687678938,0.162378242589393,0.55967659885928
35,1,45359,-0.0857793123195645,0.273462222788141,0.753950249632995
36,1,45634,-0.130318243403076,0.251122468466309,0.604125676392078
