SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.161946121689596,0.175547323465853,0.35688688988426
2,1,1035,0.018656969357395,0.177678821047741,0.916432351216747
3,1,1074,0.34659721707705,0.299702177951096,0.248270133658745
4,1,1470,-0.30205794204408,0.298755815630912,0.312683607190352
5,1,1475,0.0114417949588743,0.22083159169892,0.958707553080651
6,1,1491,0.0212040697219844,0.193168625055442,0.912654366088373
7,1,21249,-0.535375313548834,1.10862589405952,0.629453370846325
8,1,27243,0.0648124366623644,0.151250089375406,0.668539952820082
9,1,27272,0.111972799869035,0.148898176562898,0.452546638260775
10,1,27498,-0.815387729271094,1.36010280358991,0.549221106268469
11,1,27561,0.881513358918009,1.0269692738635,0.391273999591301
12,1,27816,-0.0292554320882251,0.152050098788825,0.847534417513026
13,1,27822,-0.0445787438987932,0.151846275278934,0.76925282341835
14,1,27823,-0.0355300724770693,0.154981362460639,0.818804396761985
15,1,27825,-0.0399949367251303,0.151849891438248,0.792407762221899
16,1,27843,-0.0546892074868835,0.145462473109285,0.707166670997433
17,1,27848,-0.0546892074868835,0.145462473109285,0.707166670997433
18,1,28495,-0.0498551289008631,0.145469750254135,0.73201446515613
19,1,28975,-0.0383822532064006,0.144506966680744,0.790695924070699
20,1,29283,-0.106641500255368,0.32382998757974,0.742114247362428
21,1,29752,-0.111884176839577,0.337614853841997,0.740542113141448
22,1,29787,1.88956412745534,0.908138764110517,0.0381820400238003
23,1,30057,-0.179725539486677,0.296096797629336,0.544252805347909
24,1,30479,0.439380311769204,0.867736088248582,0.61292532898769
25,1,30706,-0.147227762712815,0.149048780251266,0.323935794767524
26,1,31435,-0.094348284412749,0.144050998690098,0.512917191685247
27,1,35128,0.36239053445724,0.19772751847238,0.0676777842871163
28,1,35129,0.136808819044044,0.199041658444156,0.492321328432405
29,1,36146,-0.147836760226836,0.1431792121157,0.302531013265246
30,1,37255,-0.0955788224789664,0.289389099313336,0.741385920922702
31,1,37409,-0.0272287879018227,0.144163294999925,0.850299625819448
32,1,37478,-0.0362473587631401,0.144281616219969,0.801785211902853
33,1,39144,-0.0919670348565977,0.143552631456675,0.522165575398051
