SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.189671155039513,0.199068896379445,0.341347662244884
2,1,1035,0.0983046699927794,0.201437360303856,0.625841433118719
3,1,1074,0.0437873850320774,0.340521798530773,0.897756036258822
4,1,1470,0.130982960109028,0.339231849252603,0.699643118717836
5,1,1475,0.0301507330138007,0.250436697172933,0.904240621960218
6,1,1491,-0.0416683324195453,0.21906135745586,0.84925150973652
7,1,21249,-0.194780201877438,1.25764394357111,0.877006751398814
8,1,27243,0.0233997617948645,0.171569921573504,0.891593765793526
9,1,27272,0.070895002327013,0.168955652295351,0.675027705514736
10,1,27498,-0.309954455313891,1.54316343685495,0.840926435331973
11,1,27561,0.759331060494657,1.16518034104495,0.515028173436268
12,1,27816,0.0666494302917112,0.172409661422836,0.699303075842856
13,1,27822,0.0747803320554423,0.172180982665819,0.664326962617338
14,1,27823,0.0688848937869357,0.175736242673961,0.695310365182848
15,1,27825,0.0868898172324158,0.17216487673057,0.614091788939413
16,1,27843,0.0533672021327953,0.164974784390016,0.746517987844676
17,1,27848,0.0533672021327953,0.164974784390016,0.746517987844676
18,1,28495,0.0662779320282966,0.164964193664768,0.688095241289968
19,1,28975,0.0197255235448766,0.163895600963845,0.904271044285229
20,1,29283,-0.609557833759069,0.365870161666719,0.0965906137345163
21,1,29752,0.155285949620528,0.382852904273865,0.685280696208558
22,1,29787,2.468865496326,1.02783337745047,0.016821368228668
23,1,30057,0.0204553508359044,0.335971144558408,0.951485849036571
24,1,30479,1.56631168191368,0.980903975225543,0.111204110875705
25,1,30706,-0.0449093428802284,0.1692499425262,0.790899875650082
26,1,31435,-0.0188382001590429,0.163461642341677,0.908316151876306
27,1,35128,0.263470240491554,0.224866548401409,0.242118260134719
28,1,35129,0.077505411206078,0.22584266824744,0.731664924681598
29,1,36146,-0.0992168027774842,0.162536061190969,0.541970141570872
30,1,37255,-0.10752375670471,0.328191456170747,0.743389362724424
31,1,37409,-0.0728383204328052,0.163455129767256,0.656147379927766
32,1,37478,-0.0780568288334418,0.163588903399804,0.633548913248745
33,1,39144,-0.0446871854704849,0.162877546253985,0.783967984793352
34,1,41499,-0.132534021169752,0.162289843538044,0.414679173658206
35,1,45359,-0.22744507070506,0.273209446695977,0.405693334385415
36,1,45634,-0.295168626004433,0.250705526657354,0.239848277564239
37,1,51248,-0.284067642618157,0.162432362235988,0.0811884608511856
38,1,51462,-0.264300137504907,0.162748897363021,0.105273717444039
39,1,52124,-0.240319850816277,0.162632285813918,0.140382822883081
40,1,52667,-0.355831153151181,0.161768199392652,0.0284804686565504
41,1,55470,-0.240572036966664,0.166814825725617,0.150146621248316
42,1,59265,-0.0335507800792119,0.162781104852313,0.836823967773763
43,1,60165,0.0160120515666693,0.162665651074946,0.921642470333097
44,1,62308,-0.0376547618982666,0.162476624104639,0.816862635511018
45,1,62869,-0.0405434672722442,0.162454244964641,0.803066198070914
46,1,65431,0.0312833733502331,0.169674069308558,0.853826462013204
47,1,65451,0.0499904451744271,0.167255122927389,0.765201855336734
48,1,65719,0.102452083212746,0.174352913791541,0.557167599108409
49,1,66841,0.0747523951994645,0.162496445360448,0.645781632939431
50,1,66948,0.0192493033878993,0.163539495849365,0.906368895856343
51,1,68621,-0.142906085249449,0.162922212455554,0.381005500880111
52,1,69417,-0.0608581186687628,0.162635630311989,0.708480807178323
53,1,69820,-0.891567207780656,0.634753076034014,0.161022810952585
54,1,69821,-0.303988353944447,0.394607156847497,0.441603450926149
55,1,70906,-0.163525222304403,0.261161967591737,0.531624590650883
56,1,74327,0.0548898961879777,0.16353612595681,0.73733884170891
57,1,74572,0.0569474268351802,0.163098603164842,0.727177751913073
