SNP,Chr,Pos,Effect,SE,ADE17_HYR1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.159455490336902,0.0930713774533875,0.087542662444
2,1,1035,0.102209238508021,0.0943232009961511,0.279278855719082
3,1,1074,0.221346601358453,0.159229223137349,0.165370503891346
4,1,1470,-0.0381071770843384,0.159076555196979,0.810816270706554
5,1,1475,-0.0399579601276354,0.117405598402387,0.73380204780228
6,1,1491,-0.110845700928882,0.102547161813865,0.28046877675039
7,1,21249,0.400212019537375,0.589307676382904,0.497505363839752
8,1,27243,0.0353313756544766,0.0804242596566237,0.660703979608031
9,1,27272,-0.0764394830773814,0.0791336056910244,0.334728114804659
10,1,27498,-0.204154699560744,0.723503991306242,0.777974732783643
11,1,27561,-0.466830162007034,0.546082574046361,0.393202374322105
12,1,27816,0.0692088413349684,0.0807710079662346,0.392107707388787
13,1,27822,0.0619866304210716,0.0806847729524945,0.442848231542824
14,1,27823,0.0798570380140862,0.0823058453485357,0.332587477793684
15,1,27825,0.0720185074355752,0.0806611697520299,0.372544555920326
16,1,27843,0.0964737333745329,0.0771927280203747,0.212208797807974
17,1,27848,0.0964737333745329,0.0771927280203747,0.212208797807974
18,1,28495,0.109734362079971,0.0771437927861979,0.155774278767449
19,1,28975,0.0944194618418338,0.0766829388188138,0.219031544099583
20,1,29283,-0.0352395639599719,0.172208744697401,0.83797693352954
21,1,29752,-0.175661189459015,0.17930677524368,0.327920733580989
22,1,29787,-0.509142965844849,0.48508713892415,0.294624359076831
23,1,30057,0.210398207409221,0.157129338738753,0.181428077064929
24,1,30479,-0.220762653287314,0.461425672794006,0.632636094351635
25,1,30706,0.0752295405633852,0.0792631951757313,0.343213667588318
26,1,31435,0.105971611422693,0.0764360094306511,0.166496893023465
27,1,35128,-0.0760757602553146,0.105560540253144,0.471581121654027
28,1,35129,-0.0117917237501421,0.105906830838592,0.911409588181303
29,1,36146,0.0828633774965289,0.0761209618648128,0.277083968272655
30,1,37255,0.0890421737695668,0.153829789837032,0.563069186624544
31,1,37409,0.110807554529434,0.0764336887955324,0.148024070457387
32,1,37478,0.0996145747601728,0.0765433814693417,0.193965745414989
33,1,39144,0.0249423268718685,0.0763651252693104,0.744149382615113
34,1,41499,0.0171573909397846,0.076159336974014,0.821889618880887
35,1,45359,0.199945837601599,0.127783233544017,0.118542996770663
36,1,45634,0.0377973239203102,0.117761880753685,0.748427610792374
37,1,51248,0.00390839592297721,0.0764887215708945,0.959276589049348
38,1,51462,-0.00924003596346511,0.0765911452366068,0.904043992525358
39,1,52124,-0.0276334748314319,0.0764748625561474,0.718060995765369
40,1,52667,-0.0264225777850103,0.0763534702044501,0.729506775098928
41,1,55470,0.00566540945599089,0.0784440903916309,0.942465933227902
42,1,59265,0.0929551085565374,0.0761673804598293,0.223125720408879
43,1,60165,0.058310037498363,0.0762070474563577,0.444691791646657
44,1,62308,-0.0409062046289342,0.0761552201533271,0.591507597775747
45,1,62869,-0.0371620992827709,0.0761510844768973,0.625849369416785
46,1,65431,-0.0612691301474546,0.0794921822452982,0.441366729310017
47,1,65451,-0.0401895891998702,0.0784017863996402,0.60854431584674
48,1,65719,-0.00198120798937129,0.0817888899754204,0.980688071107122
49,1,66841,0.0110207777613086,0.0762104115603738,0.885101430087174
50,1,66948,0.0155219428361611,0.076675944531014,0.839692800407028
51,1,68621,-0.0186745295226818,0.0764662065195391,0.807202802292188
52,1,69417,-0.0146741176078408,0.0762662178302382,0.847534425912224
53,1,69820,-0.81222892477588,0.295300075394904,0.00625665027754689
54,1,69821,-0.240123862632098,0.184733651046312,0.194504559288664
55,1,70906,-0.095840480003563,0.122412958105617,0.434194566711659
56,1,74327,-0.0785869503380086,0.0765753928607422,0.305467539268881
57,1,74572,-0.04567754746352,0.0764467243438925,0.550551198239654
58,1,75211,-0.0442586870816695,0.0763095963302449,0.562292386940483
59,1,76030,0.00440816445094787,0.0763455862612257,0.953988711077677
60,1,80108,-0.111660600799631,0.0760961710388934,0.143168081176474
61,1,81262,-0.0953760571102484,0.0761299815307726,0.211105779018934
62,1,81999,-0.0924651960163579,0.0763268748292854,0.22653832371932
63,1,82431,-0.124332524214634,0.0765619759428405,0.105279879111602
64,1,83284,-0.109649969844629,0.0760646686388452,0.150319787880897
65,1,83613,-0.118720747363523,0.0760176491526035,0.119242353623006
66,1,84112,-0.124042439743292,0.0760020114122342,0.103551354299731
67,1,84701,-0.183735536527144,0.08110399618555,0.0240915997557024
68,1,84858,-0.126776829236176,0.0762053821648702,0.0970757715820125
69,1,85751,-0.115599272637759,0.0765711881696977,0.132015372650062
70,1,87445,-0.10285187431173,0.0767854834420159,0.181279357538682
71,1,87467,-0.0613158946302542,0.0773145220074162,0.428269251315064
72,1,89070,-0.132288182713668,0.0765760309471487,0.0849453155488845
73,1,89616,-0.107182986112951,0.0762723265572962,0.160821328533001
74,1,89679,-0.124898564230034,0.0762056579388755,0.10211101637978
75,1,89880,-0.134836278102116,0.0761771346811681,0.077584276189353
76,1,91472,-0.155220362359144,0.0766383831446664,0.0435824097538704
77,1,93789,-0.0358056266787835,0.0762644201702563,0.639007008811751
78,1,94351,-0.0140021081225334,0.0764853737198484,0.854848904475855
79,1,99148,-0.0507537631128426,0.0762403852326395,0.506033114320835
80,1,101281,-0.243932805146537,0.834242686413613,0.77015236859813
81,1,106011,-0.0784583399638651,0.0793969036948424,0.323741913942493
82,1,106800,-0.0596563851237809,0.0763251146289768,0.434968391078243
83,1,107970,-0.0448754259221798,0.076127351905032,0.555917510250811
84,1,109000,-0.0231884694207287,0.0762890570603385,0.76134097172814
85,1,112549,-0.0344801243869994,0.0761905701085933,0.651150028269256
86,1,112742,-0.0947327760358537,0.0763432705430219,0.215474407552431
87,1,113050,-0.105096174000155,0.0761757814106614,0.168566682392993
88,1,113135,-0.119228854954963,0.0759215861171072,0.117213080465203
89,1,114076,-0.0949888603676944,0.0760184007744105,0.212291507906598
90,1,114628,-0.0802480788603201,0.0762595571640221,0.293380840280667
91,1,116283,-0.0788473740102686,0.0766891478697572,0.304586760997477
92,1,126880,-0.230162379547285,1.44100856490307,0.873190541721021
