SNP,Chr,Pos,Effect,SE,PMC1_CTR2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0605709665694211,0.198665690579499,0.760630439384183
2,1,1035,0.0412046458584379,0.20085354631826,0.837574962373821
3,1,1074,-0.135699162601046,0.339371740680751,0.689505862545286
4,1,1470,-0.0502068981004236,0.338215627696656,0.88207523205251
5,1,1475,0.13646675589759,0.249540997122375,0.584812828170882
6,1,1491,0.198793459991967,0.218120548760063,0.36271048602467
7,1,21249,-1.41178231472498,1.25143962506228,0.260032614075787
8,1,27243,-0.108755887528806,0.170931707147769,0.525023561373253
9,1,27272,-0.083017696084617,0.168403255193994,0.622340531290535
10,1,27498,-0.355224616863917,1.53823558399388,0.817503033276431
11,1,27561,1.59225884994877,1.15908530184005,0.170400301984045
12,1,27816,0.118647102848002,0.171782599620217,0.49021947022013
13,1,27822,0.108733904205874,0.171582583728922,0.526679326547881
14,1,27823,0.137296843165438,0.175063946758834,0.433409520366295
15,1,27825,0.125447788944284,0.171550269534207,0.465105699888904
16,1,27843,0.0869874653603116,0.164410183624007,0.597076898239577
17,1,27848,0.0869874653603116,0.164410183624007,0.597076898239577
18,1,28495,0.0835267674229733,0.164417931506628,0.611760148188663
19,1,28975,0.0935587367656213,0.163302677372762,0.567066234014681
20,1,29283,-0.332013945975667,0.365712913566793,0.364574690054127
21,1,29752,-0.101370252007231,0.381688128933059,0.79071466023312
22,1,29787,2.6953730797231,1.02289808356157,0.0087836719650089
23,1,30057,0.00655259226108384,0.33490600864456,0.9844010664956
24,1,30479,1.09551367202784,0.979580785586653,0.264178237473703
25,1,30706,0.0113445455905962,0.168728315685981,0.946432228269337
26,1,31435,-0.0290658457735215,0.162938370880565,0.858522551166947
27,1,35128,0.438407781657128,0.22337257308828,0.0504689688605032
28,1,35129,0.189690027538556,0.224936699845701,0.399629486490081
29,1,36146,-0.131738036026772,0.1619537849396,0.416519987399455
30,1,37255,-0.215765935778244,0.32699758275713,0.509787078836529
31,1,37409,-0.0752685148804889,0.162932736248843,0.644394101603784
32,1,37478,-0.085958546680061,0.163057913409878,0.598409631067522
33,1,39144,0.0231678242635964,0.162373035725296,0.886622180062218
34,1,41499,-0.0377259238623052,0.161914868092661,0.815897600671082
35,1,45359,-0.351282098134042,0.271967300424215,0.197329127540633
36,1,45634,-0.483824677920246,0.24907205323829,0.0528704765666513
37,1,51248,-0.0986487170427571,0.16253176948812,0.544274028438173
38,1,51462,-0.102453510297486,0.162745734488143,0.529408599260117
39,1,52124,-0.0260838019527199,0.162610629724237,0.872652621893843
40,1,52667,-0.098411521000218,0.16227142637874,0.544597543705565
41,1,55470,-0.155781587282124,0.166568087496377,0.350302575182343
42,1,59265,-0.00594944759212696,0.162273727199833,0.97077440523898
43,1,60165,-0.0226386048291199,0.162146933998724,0.889041567215163
44,1,62308,-0.0866363172973032,0.161907428865354,0.592919108863834
45,1,62869,-0.0525757884669413,0.161928558985241,0.745611746644856
46,1,65431,-0.0127757645046839,0.169142128680556,0.939833655177487
47,1,65451,0.00932551526449016,0.166744442089955,0.955431608012619
48,1,65719,0.0555066069063298,0.173859222796685,0.749716848698856
49,1,66841,0.0850256008932423,0.16196585315692,0.59994050557774
50,1,66948,0.0305708929343739,0.163015334543485,0.851349833732062
51,1,68621,-0.142719662272479,0.162404267480528,0.380111546287623
52,1,69417,-0.0569515740642338,0.162123075874948,0.725583336213289
53,1,69820,-0.52511590284039,0.633887546216646,0.40800065709933
54,1,69821,-0.274157588717838,0.393414262872681,0.486344406707531
55,1,70906,0.0942286708323472,0.260429016190998,0.717702330728772
56,1,74327,0.0232898887385156,0.16303819493309,0.886490718520773
57,1,74572,0.0511253182525062,0.162586065559581,0.753364446754881
58,1,75211,0.0796378944379748,0.162257058594413,0.62386359476906
59,1,76030,0.106802114228641,0.162212841802541,0.510705646884358
60,1,80108,0.015980506167241,0.162271807054331,0.921607153421081
61,1,81262,-0.0163649737649925,0.162210350242085,0.919697154565521
62,1,81999,-0.032446716138054,0.162599664315056,0.841947657954244
63,1,82431,-0.112296155289027,0.163269218027572,0.492032010535443
64,1,83284,-0.0645513633565092,0.162153307292284,0.690805615740246
65,1,83613,-0.0413230149957033,0.162156914138693,0.799000091606164
66,1,84112,-0.0905252439855936,0.162118118873981,0.576931646572124
67,1,84701,-0.0810401389210987,0.173623436319053,0.640960922620452
68,1,84858,0.026158863168592,0.162641491347184,0.872313334139679
69,1,85751,-0.0638256167591259,0.163280639228047,0.696110519667542
70,1,87445,-0.0457293627585065,0.163643113304734,0.780066469179236
71,1,87467,-0.0953054196863829,0.164439766160594,0.562569958979934
72,1,89070,-0.0660820847926442,0.163450482174565,0.686241217032521
73,1,89616,0.00749498471889893,0.162608345745839,0.963262785974238
74,1,89679,-0.0389595534593802,0.162616206294605,0.81079509798507
75,1,89880,-0.01986874135852,0.16266719576115,0.902854872466461
76,1,91472,-0.00947106934557465,0.163877326558489,0.953945694349959
