SNP,Chr,Pos,Effect,SE,PMC1_GTR2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0902450929149679,0.0682069412022489,0.186656127560572
2,1,1035,0.164904018847881,0.0685643976662742,0.016682250013076
3,1,1074,0.104302991064432,0.116682511883307,0.371982172746693
4,1,1470,-0.314469098530445,0.115184117326148,0.0066481362423423
5,1,1475,-0.196705725229928,0.0852706282156385,0.0216420763318629
6,1,1491,-0.162738554601773,0.074649286677798,0.0299145102720094
7,1,21249,-0.764966145131192,0.429508294561738,0.0757677386099995
8,1,27243,-0.0914082522830562,0.0586550509115496,0.1200336183617
9,1,27272,-0.140813404850626,0.0574860818426749,0.0147899093791317
10,1,27498,0.074336755737118,0.529378475010275,0.888406113297056
11,1,27561,0.21471083052202,0.399777678413271,0.591553761325469
12,1,27816,0.00959261688445245,0.059153302907764,0.871268417585645
13,1,27822,0.0129694527684532,0.059076288984061,0.826358368335865
14,1,27823,0.0131630921677549,0.060293178861672,0.82730742964753
15,1,27825,0.0141578706521394,0.0590755160168723,0.810735141774764
16,1,27843,0.0214876780923549,0.0565893784850347,0.704387389139558
17,1,27848,0.0214876780923549,0.0565893784850347,0.704387389139558
18,1,28495,0.0552939287732478,0.0565252886055659,0.328637529178487
19,1,28975,0.0210529579484886,0.0562123323870202,0.708238194442584
20,1,29283,-0.0692555533548669,0.125945755777618,0.582746691450174
21,1,29752,-0.102509799354858,0.131250169324979,0.435310641418981
22,1,29787,-0.241170442927716,0.355223359978491,0.497629506519285
23,1,30057,0.264985960465233,0.114385100858499,0.0210968030621185
24,1,30479,-0.0862589492316408,0.337668757683122,0.798520984872199
25,1,30706,0.0155704281453882,0.0580589618058291,0.788715084793687
26,1,31435,0.0310892273991593,0.0560501169878978,0.579472767102197
27,1,35128,-0.0854505864142654,0.0771535852532477,0.268815159550587
28,1,35129,-0.0610380424175161,0.0774173049229883,0.430975006594719
29,1,36146,0.00476364882427424,0.0557848167937382,0.931997141738732
30,1,37255,0.0608539066443274,0.112552516163908,0.589075200823809
31,1,37409,0.0415276526000643,0.0560434478407217,0.459191931142473
32,1,37478,0.0352155787125598,0.0561039309235404,0.530616336619913
33,1,39144,-0.0319198809511684,0.0558532393641688,0.568027429718523
