SNP,Chr,Pos,Effect,SE,HNM1_MAM33_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.258110141171001,0.191268738987143,0.178053029996839
2,1,1035,0.0740311580216427,0.193819267939203,0.702721057652586
3,1,1074,0.348003740622092,0.327084568440902,0.288075676761729
4,1,1470,0.0178408376718622,0.326427450723018,0.956444372952441
5,1,1475,0.0498620324974537,0.240924372820461,0.836159376128378
6,1,1491,0.191094487283384,0.21051446042263,0.364629626788974
7,1,21249,-1.31049128722605,1.20795247385554,0.27871230517307
8,1,27243,0.00922106314158877,0.165063433916837,0.955481950514663
9,1,27272,0.037718832395228,0.162572879321007,0.816663262395155
10,1,27498,0.0105466649887394,1.4846938513841,0.994336210994468
11,1,27561,0.670648695718811,1.12107434002156,0.550077005802588
12,1,27816,-0.024472920953914,0.165897683647366,0.882807267925516
13,1,27822,-0.0279354699771898,0.165685269559501,0.866203413676014
14,1,27823,-0.00526698617078381,0.169104605613643,0.975170451748488
15,1,27825,-0.00612049837968009,0.165691620688911,0.970554448486505
16,1,27843,-0.00921631117308243,0.15873769082643,0.953733683414827
17,1,27848,-0.00921631117308243,0.15873769082643,0.953733683414827
18,1,28495,0.0119470120768751,0.158739745442722,0.940049182358424
19,1,28975,-0.0602990319601768,0.157647261031485,0.702325636043517
20,1,29283,-0.488817439935604,0.352409560731537,0.166294971737195
21,1,29752,0.24874126371656,0.368173665921866,0.499731568846908
22,1,29787,1.94544929120341,0.991488992389007,0.0505304122596744
23,1,30057,0.000688905358446235,0.323224637402238,0.998300632672913
24,1,30479,1.14217732139658,0.945133211052686,0.227670474900013
25,1,30706,-0.0894615871880392,0.162774474367274,0.582938189358804
26,1,31435,-0.0745297314532248,0.157212119234106,0.635742257724289
27,1,35128,0.434308286438518,0.215518261788426,0.0446433144021098
28,1,35129,0.175649845474086,0.217108267272362,0.419035576627297
29,1,36146,-0.0769912848716842,0.1563975720216,0.622827938500139
30,1,37255,-0.00806119148544404,0.315786157951817,0.979648738406852
31,1,37409,0.0928405014963848,0.157219522259269,0.555223222022798
32,1,37478,0.0635590147920509,0.157396025912291,0.68659263397039
33,1,39144,0.0756063151559357,0.156662297618388,0.629673971089439
34,1,41499,0.114639067390697,0.156160123825747,0.463367621668194
35,1,45359,-0.0653285501828229,0.263077611404675,0.804027936401912
36,1,45634,-0.197316703367453,0.241437460740598,0.414332223909908
