SNP,Chr,Pos,Effect,SE,FMP45_MID2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.13443321435444,0.0676593274241745,0.047704655388259
2,1,1035,0.129781308050201,0.0684331922696913,0.0587145031870739
3,1,1074,-0.0123029591620281,0.116233083933211,0.915763622642915
4,1,1470,-0.160213460997841,0.11550199997247,0.166284766961712
5,1,1475,-0.249632472447092,0.0844458532694209,0.00332479516645958
6,1,1491,-0.192768018917426,0.0740700482327406,0.00964444170675984
7,1,21249,-0.254320575925517,0.429079754087219,0.553753630104136
8,1,27243,-0.0242553463196615,0.0585502311668342,0.678931216843518
9,1,27272,-0.0595352387476519,0.0575978584650964,0.302013819733225
10,1,27498,0.516277723997024,0.526049489521495,0.327055724568809
11,1,27561,-0.075419362926421,0.397936438574942,0.84978938699263
12,1,27816,0.0122336788303877,0.0588584060824203,0.835466495015016
13,1,27822,0.0167929470243005,0.0587804011784189,0.775283466727124
14,1,27823,0.0235015172203296,0.0599850452337096,0.695450087417093
15,1,27825,0.010446880757174,0.0587845665747071,0.859048984990539
16,1,27843,0.0474939495160406,0.0562633519410055,0.399164821322744
17,1,27848,0.0474939495160406,0.0562633519410055,0.399164821322744
18,1,28495,0.0575313223923521,0.0562377200167387,0.307007258351671
19,1,28975,0.036088974216771,0.0559115632368824,0.519045013267209
20,1,29283,-0.101106441373804,0.125258998009193,0.420106852518818
21,1,29752,-0.0940244035026581,0.130615932502073,0.472091219763359
22,1,29787,-0.219643034804936,0.353498371749413,0.534776301745855
23,1,30057,0.203727562057964,0.114165721344619,0.0752028344945996
24,1,30479,-0.290655150303607,0.335668181427846,0.387133008006789
25,1,30706,0.00769516725805608,0.0577753369075053,0.894118053533968
26,1,31435,0.0100279220635869,0.0557937715904634,0.857466153085233
27,1,35128,-0.0563450817470894,0.0768455639653571,0.46390790351657
28,1,35129,0.0437856639370229,0.0770657684622675,0.570287752836475
29,1,36146,0.0281740537022298,0.0554883563143498,0.611947788580564
30,1,37255,0.105504746321222,0.111899640778347,0.346401679325983
31,1,37409,0.0219391242079552,0.0557965249168003,0.694410046207187
32,1,37478,0.024914951842311,0.0558409742612726,0.655743037008347
33,1,39144,-0.0514454732450571,0.0555343665742397,0.354885674767277
