SNP,Chr,Pos,Effect,SE,ERG11_MID2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0527838007420808,0.153188294705908,0.73062427473122
2,1,1035,0.0326148678803942,0.154880475327265,0.833335828688336
3,1,1074,-0.121539133300438,0.261673592960197,0.642598475704033
4,1,1470,-0.30005102143328,0.260321523885497,0.249847541375489
5,1,1475,0.210839919123559,0.192178678308952,0.273343937435564
6,1,1491,0.340950167087217,0.167412910774472,0.0424377713499557
7,1,21249,0.00309854975849966,0.966740529065888,0.997444474076441
8,1,27243,0.165384158804071,0.131589291716135,0.209649523930505
9,1,27272,0.0534784884523067,0.129871602767737,0.680750825719014
10,1,27498,1.51790940976282,1.1834901679846,0.20048418967703
11,1,27561,-0.312588608083962,0.89601826038618,0.727399324639935
12,1,27816,-0.0291372673310748,0.132544361177981,0.82613038476913
13,1,27822,-0.0368283177687687,0.132370450449576,0.781005152607595
14,1,27823,-0.0444404601894351,0.135091102255059,0.742376017040138
15,1,27825,-0.0234637269853584,0.132379072405268,0.859416430729673
16,1,27843,-0.0103753214481894,0.126828042171144,0.934847181701103
17,1,27848,-0.0103753214481894,0.126828042171144,0.934847181701103
18,1,28495,0.0360351647238264,0.126816795353872,0.776460991619009
19,1,28975,0.042981321805525,0.125962731416825,0.733139076891416
20,1,29283,0.271996835598516,0.28196395479354,0.335379976088176
21,1,29752,-0.376014680719019,0.293673302237488,0.201250705256733
22,1,29787,1.2360928631852,0.79376883640262,0.120308294020711
23,1,30057,0.347022658534291,0.257589492741099,0.178782346811033
24,1,30479,1.05739720262351,0.754609601419719,0.162017668924688
25,1,30706,0.0699849097891165,0.130056259002928,0.590838438280244
26,1,31435,0.0450491455142555,0.125626833718841,0.720112504919297
27,1,35128,0.230675418951392,0.172747215272443,0.182627119573062
28,1,35129,0.0738228059743369,0.173581993622444,0.670883921735919
29,1,36146,0.00661359805476242,0.125001314752681,0.957834956790963
30,1,37255,0.150723733755187,0.252180283518408,0.550435046447687
31,1,37409,0.109574032192439,0.125542287591778,0.383362263161401
32,1,37478,0.0984642084704679,0.125676493301812,0.433874420351738
33,1,39144,0.159881077159952,0.124922224051246,0.201440145722423
34,1,41499,0.261538012551268,0.124086050701395,0.0357603119753769
35,1,45359,-0.139482717434944,0.210081635847378,0.507158724257334
36,1,45634,0.0793126726351625,0.193040568469024,0.681424392918766
37,1,51248,0.00674066544442714,0.125395381017894,0.957160537704635
38,1,51462,-0.0203432390815602,0.125561263663404,0.871384035848868
39,1,52124,0.00258238067405886,0.125395818928095,0.983581294583584
40,1,52667,0.0675175288193424,0.125143344527815,0.589867188343918
41,1,55470,-0.204166805563699,0.128142074104456,0.111991318494136
42,1,59265,-0.168012863786809,0.124811832595734,0.179124634819536
43,1,60165,-0.179845506727377,0.124670276233056,0.15002854109696
44,1,62308,-0.116234041084552,0.124746391905263,0.352095965620598
45,1,62869,-0.0800127906218447,0.124811380834748,0.521893395004372
46,1,65431,-0.05857149616652,0.130391647221007,0.653565432311697
47,1,65451,-0.0135469698516721,0.128577512779966,0.916149731387626
48,1,65719,0.001627476349637,0.134084597606284,0.990322624621913
49,1,66841,-0.0122831548951389,0.124941159992582,0.921740733592498
50,1,66948,-0.0205700903476586,0.125704891963984,0.870109817572125
51,1,68621,-0.233325445939403,0.124752516736526,0.0622686360689273
52,1,69417,-0.111570909366946,0.124896122201325,0.372299977361653
53,1,69820,-0.377838825477003,0.488860960512628,0.440100962139591
54,1,69821,0.000963365330163057,0.303575820881301,0.997469795687386
55,1,70906,-0.403282494959054,0.199707488030584,0.0442045429205131
56,1,74327,-0.160782277294277,0.125433081447192,0.200748043012067
57,1,74572,-0.097934215175759,0.125281550544323,0.434907254515823
58,1,75211,-0.16411145341623,0.124856202375185,0.189563777491414
59,1,76030,0.0124628407374492,0.125159608079526,0.92073780494069
60,1,80108,0.0312259758981707,0.125120734735689,0.803067569674995
61,1,81262,0.00286911253595945,0.125084373409338,0.981713153272671
62,1,81999,0.021788642038199,0.125384577620978,0.862142295676812
63,1,82431,0.0552066964505639,0.125949232554361,0.661418827489721
64,1,83284,0.0116196671723337,0.125065211642635,0.926028667681713
65,1,83613,0.0222888441934136,0.12504733208327,0.858634182312308
66,1,84112,-0.00678329493397722,0.125066219651165,0.956776525346361
67,1,84701,0.0421814498708617,0.133905942145626,0.752941664516981
68,1,84858,0.0738091100504302,0.125358177762236,0.556381561840384
69,1,85751,0.0160062120748499,0.125932343755107,0.898932293190963
70,1,87445,0.0388142667884797,0.126184533644129,0.758568699307012
71,1,87467,0.0476575627317763,0.126836752704356,0.707336351205402
72,1,89070,0.0600285123839093,0.12602763112772,0.634146571408784
73,1,89616,0.0338612241786292,0.125376987851512,0.787260165746611
74,1,89679,0.0320970105250293,0.125394182354397,0.798123949680442
75,1,89880,0.0406375993065372,0.125418944916074,0.746118693794941
76,1,91472,0.0519803136649574,0.126338400832027,0.681001690233242
77,1,93789,-0.0278215847973446,0.125057974144037,0.824077076310355
78,1,94351,0.0356832466213592,0.125381510721124,0.776119517491816
79,1,99148,0.0654218398687675,0.125018258477259,0.601095026852672
80,1,101281,-0.731178283543671,1.36726738343719,0.593143206977948
81,1,106011,0.0647771375535293,0.130297400480397,0.619393935939778
82,1,106800,0.0359755285985112,0.125220802447779,0.774053691562204
83,1,107970,0.0349995224289104,0.124850516873108,0.779387460071341
84,1,109000,0.121464055796051,0.124917289138178,0.331539357160123
85,1,112549,0.0630279397683473,0.124897827322823,0.614129382211864
86,1,112742,0.0338047377355269,0.125416742497623,0.787672211549932
87,1,113050,0.0727679258277105,0.125158727853696,0.561338501974963
88,1,113135,0.0468422998403934,0.124874814831024,0.707800911385211
89,1,114076,0.167753909235718,0.124580153474923,0.178987845371524
90,1,114628,0.182984925090288,0.124836337692142,0.143593337845478
91,1,116283,0.203294792206265,0.125446328027991,0.106002389550872
92,1,126880,1.16298506467922,2.361660363588,0.622711757460185
93,1,127853,-0.00329526313820028,0.125677555159541,0.97909669469016
94,1,128302,0.0309670662435738,0.125184080496724,0.804763971011892
95,1,128704,0.0176030485829992,0.125316050393273,0.888369383836865
96,1,128911,0.0484542232579567,0.125306886505784,0.699222826778206
