SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.101888526493599,0.0766098836421227,0.184388209793407
2,1,1035,0.101325016009459,0.0774542603577031,0.1916595022384
3,1,1074,0.166996071183476,0.130907751058425,0.20290835712562
4,1,1470,-0.28488815110064,0.129854351050459,0.0288935928676626
5,1,1475,0.0202918176898415,0.0964914238898517,0.833557524500396
6,1,1491,-0.0366681010286889,0.0843880501576434,0.6641780359686
7,1,21249,-1.08250305373149,0.481160580520221,0.0250787689563673
8,1,27243,-0.0242199320862202,0.0660965889878766,0.714261969763293
9,1,27272,-0.00818798366978535,0.0651148906478196,0.900004006843472
10,1,27498,0.363420388390379,0.594313884366354,0.541265057709399
11,1,27561,0.0472301947365756,0.449217302817349,0.916325340518301
12,1,27816,0.0453321413174836,0.0664012145914633,0.4952438949974
13,1,27822,0.0481647315375795,0.0663110528245319,0.468108360499564
14,1,27823,0.0501253068718852,0.0676749052147616,0.459381144018021
15,1,27825,0.0528298026002731,0.0663009881793377,0.426092487618972
16,1,27843,0.0824597431094699,0.0634240005325644,0.194403061361853
17,1,27848,0.0824597431094699,0.0634240005325644,0.194403061361853
18,1,28495,0.111044438461291,0.0633013858381011,0.080260836556384
19,1,28975,0.0824479599862548,0.0629990791098816,0.191481636557744
20,1,29283,0.0467699275965447,0.141504300160303,0.741203559255647
21,1,29752,-0.197066088923884,0.147177726854225,0.181443064081684
22,1,29787,-0.275942974029538,0.398986504158566,0.489637018139158
23,1,30057,0.2721306326152,0.128640514900116,0.0350929090120945
24,1,30479,0.450779053187088,0.378554020012657,0.234535411795176
25,1,30706,0.0401305467728728,0.0651850265486599,0.538528491627591
26,1,31435,0.0572168562774434,0.0629107440596791,0.363710714150978
27,1,35128,-0.0945169433306869,0.0866655130847149,0.27619516024822
28,1,35129,-0.0516904574631787,0.0869902093999224,0.552752244319235
29,1,36146,0.0407023160145348,0.0626221747749983,0.516136603433593
30,1,37255,0.123774695332992,0.126302619020712,0.327764579139766
31,1,37409,0.0592775318525559,0.06291937425001,0.346776064265898
32,1,37478,0.0406300305895279,0.0630154883039368,0.519499820411195
33,1,39144,-0.0270978567584973,0.0627482850519173,0.666113972294998
34,1,41499,0.00866561415876782,0.0625890630847915,0.889961730107431
35,1,45359,-0.185521130906531,0.104909648741722,0.077859432011247
36,1,45634,0.058519364080726,0.0967384174487249,0.54561833024192
37,1,51248,0.0384510816857677,0.062823852602707,0.540901398681789
38,1,51462,0.0280102369849416,0.0629247544393251,0.656492432666902
39,1,52124,0.0370200724350685,0.062826287528611,0.556073875795242
40,1,52667,-0.0136888096769285,0.0627522112605431,0.827445555703576
41,1,55470,-0.0130584273607315,0.0644605588257843,0.839579941851025
42,1,59265,-0.0368100804500007,0.0626941762746071,0.557486925681377
43,1,60165,-0.03302303780631,0.0626527331564874,0.598468720589485
44,1,62308,-0.00508259813520237,0.0626078665283831,0.93534364958695
45,1,62869,-0.0176118656904279,0.0625935689323239,0.778592548998008
46,1,65431,0.0429159099983621,0.0653401624540604,0.51173264937294
47,1,65451,0.0747192140335203,0.0643302314918905,0.246225601928225
48,1,65719,0.0426994777671623,0.0671741427533662,0.525414164709622
49,1,66841,0.0266456878756832,0.0626140315000063,0.670691766331882
50,1,66948,0.0202214099936951,0.0630052669280322,0.748439776463585
51,1,68621,0.0156280198068516,0.0628382462562981,0.80373565679498
52,1,69417,0.0131377885619332,0.0626734817196325,0.834083035874452
53,1,69820,0.0695891077582571,0.245230536230966,0.776752889225884
54,1,69821,0.150100076820674,0.151963546024567,0.323957813550512
55,1,70906,-0.174256170932177,0.100255803732651,0.0830624599900021
56,1,74327,-0.079738840095046,0.0628789120134694,0.205586099233634
57,1,74572,-0.09236158115788,0.062661658497613,0.141380110480483
58,1,75211,-0.0767908809327764,0.0626063452172926,0.220802860129728
