SNP,Chr,Pos,Effect,SE,GTR1_SLM4_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.152913746675395,0.0653348344089266,0.019816187949543
2,1,1035,0.065352003743564,0.0664691412374086,0.326185772244633
3,1,1074,0.137818100908985,0.11224243122948,0.220317266768613
4,1,1470,-0.283895860352249,0.111053545866022,0.0109944887688769
5,1,1475,-0.111623127927596,0.0825109154274798,0.176976219474654
6,1,1491,-0.0349124201375008,0.0723389528709865,0.629662809974697
7,1,21249,0.20758964487739,0.415284984063606,0.617476129062082
8,1,27243,-0.0210052125522258,0.0566624695794776,0.711077625093304
9,1,27272,-0.0578485427380991,0.0557374134125477,0.300038029650511
10,1,27498,-0.46541600536066,0.509155892718392,0.361291738321471
11,1,27561,0.358880266541768,0.384633221615883,0.351434262227677
12,1,27816,0.0467742243007253,0.0569070066993957,0.411665066504737
13,1,27822,0.0539878171154298,0.0568164239113633,0.342653134383714
14,1,27823,0.0469831505966134,0.058006955812863,0.418510439788987
15,1,27825,0.056129953832621,0.0568105429479475,0.323819576286067
16,1,27843,0.0555175483360543,0.0544214514055397,0.308360273359743
17,1,27848,0.0555175483360543,0.0544214514055397,0.308360273359743
18,1,28495,0.0749111083687066,0.0543564615557218,0.169031291548124
19,1,28975,0.0683626656300202,0.054015766301349,0.206488948585075
20,1,29283,0.00711105690983116,0.121325783340041,0.953294907348457
21,1,29752,-0.0913397708737564,0.12639781026663,0.470381233476368
22,1,29787,-0.270669656324477,0.341968102717434,0.429180541643879
23,1,30057,0.145847449228868,0.110704840847186,0.18854422525787
24,1,30479,0.0241469961644856,0.325172180311169,0.940846276086045
25,1,30706,0.0281010434487422,0.0558912488090071,0.61543196539239
26,1,31435,0.0533488247059739,0.0539200270391152,0.323141993315334
27,1,35128,-0.136301202375412,0.0740665021470384,0.0665702005641054
28,1,35129,-0.154612833323224,0.0741563093419807,0.0377912113076772
29,1,36146,0.0169379463770407,0.0537087545106938,0.752669688957041
30,1,37255,0.0709256803396539,0.108357086142944,0.513180500817179
31,1,37409,0.041403497109669,0.0539617784329967,0.443431197503661
32,1,37478,0.0417102670073348,0.0540075747800502,0.440451135273374
33,1,39144,-0.0216666097890723,0.0537941653238304,0.687362145863728
34,1,41499,-0.0198124432343197,0.0536469142474089,0.712116695384873
35,1,45359,0.0783869512238908,0.0902371452956459,0.385613921198775
36,1,45634,-0.00588356331707818,0.0829734714980733,0.943510359979329
37,1,51248,-0.0862342975777577,0.0536898407837671,0.109133618885754
